姓,名,家庭手机,工作手机
兴盛旅馆,,18981016731,
馨鸿客栈,,18683855769,
李梅农家乐,,15892854260,
金涛宾馆,,08386220623,
申贵家园农家乐,,15378111099,
龙溪驿站,,13281364515,
乌龟山庄,,13795918125,
旅行家客栈,,18781074036,
亚西亚酒店,,08383061111,
新崟瑞宾馆,,08388199999,6067888
格兰帝尔酒店,,08382202588,
宏祥宾馆,,08385246000,
华茂特宾馆,,08383270388,
舍汶酒店,,08382222830,
富远商务酒店,,08382207101,13508016895
长江宾馆（长江西路店）,,08382227989,
吉宏宾馆,,08382362256,
临园宾馆（中市街店）,,08387206232,
蜀广宾馆,,08385321738,5321739
新南轩宾馆,,08386101978,15982901636
佳缘酒店,,08382873737,2603737
蓝湾帆欣宾馆（仓山店）,,08387601123,18981051052
锦华宾馆（华山南路店）,,08383065266,
丽景商务酒店,,08385998666,8232080
剑南商务宾馆,,08386901677,
恒泰宾馆,,13890225786,
雅居乐商务宾馆,,08386105168,18016115655
森缘时尚酒店,,13281360880,
华达旅馆,,08385903203,
网点商务宾馆（工农村店）,,08382657503,
名蜀风情酒店,,08382272077,2270788
凤凰轩宾馆,,08385985968,
美客思酒店,,08385181888,
豪元商务酒店（钟山街店）,,08383082666,3082777
鑫和缘商务宾馆,,08382501222,
志和商务酒店,,08386132264,6132266
凯悦宾馆（泰山北路店）,,08382222096,
广汉京都假日酒店,,08385288999,
德阳贵兰格林印象酒店管理有限公司,,08383016666,
祥隆招待所,,08385257119,15883659831
恒鑫商务宾馆,,08386372921,18942896057
丽景月波宾馆,,08383210388,15386682620
亿东连锁酒店,,08383018888,
汇高精品公寓,,08382221115,13881013555
众鑫源宾馆,,08382222628,6165096
春福宾馆,,13689617399,
汉都宾馆,,08385501818,
金豪商务酒店,,08385297077,
汉西园宾馆,,08383456666,
新龙门客栈,,08385280999,
凯德宾馆,,08383066620,
云翔酒店,,08386933666,
莲升酒店,,08383080088,
东方假日酒店（雍城北路店）,,08388100088,
绵竹新源茗园酒店,,08386917127,
中林商务酒店,,08383605668,
沁园酒店,,08385352399,
7天连锁酒店（广汉中央欣城店）,,08385513888,
宜必思·尚品酒店（德阳店）,,08386828866,
天禧园宾馆,,08382223222,2228777
明悦尚景酒店（凯旋广场店）,,08383018666,3017666
酣噜噜时尚酒店（广汉店）,,08385225111,
7天优品酒店（德阳什邡广场店）,,08388606677,
延生商务大酒店,,08385880998,
鸿府商务宾馆,,08382558078,
顺风宾馆,,08387134533,
卡尔顿精品酒店,,08386666576,6902410
岷江·瑞邦大酒店,,08386097902,
翻天青年旅舍,,18190066032,
美斯特酒店,,08386920000,
家馨商务宾馆,,08386502321,13981036679
7天连锁酒店（德阳长江西路店）,,08386939777,
天盟商务酒店,,08382519111,
汉庭（广汉华地财富广场店）,,08385326666,
易程快捷酒店,,08386939666,
贵族公寓,,08386666996,
花随风飘大酒店,,08382500215,
怡家丽璟酒店,,08382201111,
小汉宾馆,,08385700558,18016150987
子上泰酒楼,,08386602415,
乐去快捷酒店（伊甸园店）,,08382200222,
翻天休闲LOVE公寓,,08382305385,18190066032
景好假日酒店,,08385292999,
花园饭店（客房部）,,08387203666,
天地人和·雒城汇酒店,,08385301111,18090721101
剑南春大酒店,,08386205625,6201688
凯圣豪酒店,,08386018666,
凯蒂酒店,,08385402996,
乐去快捷酒店（绵远街店）,,08386833777,
文华宾馆,,08382221008,
什邡市如家宾馆,,18048621571,
秀云宾馆,,08386593188,
金轩庭商务酒店,,08382876622,
幸福佳苑旅舍,,18011055398,13398488667
粒粒香旅店,,18090745006,
天缘宾馆,,08386289666,13518263133
六缘四季酒店（广汉六缘四季酒店）,,08385506860,5356599
美华大酒店,,08382515889,2229333
名豪商务宾馆,,15196395577,
新滨江酒店,,08385509999,
如家快捷酒店（绵竹店）,,08386100996,
奉献酒店,,08387208330,7203999
宜园宾馆,,08388263888,
几米酒店,,08382221657,18190505610
三鑫招待所,,08382231609,15386671355
温馨宾馆,,08387210428,
派酒店（广汉东门汽车站店）,,08385222288,13830354980
绵远商务宾馆（原连山招待所）,,08385800576,
凯瑞大酒店,,08387258888,
金陵宾馆,,08382306700,
城市之舟宾馆,,08383066777,
德阳名人酒店,,08382566666,
广汉华美达安可酒店,,08385513333,
蜀徽大酒店,,08382558899,
友道酒店,,08383211666,
景盛绵竹年画主题酒店,,08382591177,2591188
贵旺酒店,,08385882222,
凯乐迪客栈,,08387218588,
红豆树商务酒店,,08385102323,
博友酒店,,08386092777,
金莎大酒店,,08387539999,
爱家快捷酒店,,18781001683,
旌湖尚品酒店,,08386168009,6153319
雍和酒店,,08385963599,
锦江之星（德阳旌阳区政府店）,,08382558666,
德成宾馆,,08383062888,
物资宾馆,,08382870222,
旌湖国际酒店,,08382303888,
悦屋青年旅舍,,17713721995,
园中缘客栈,,15378114659,
苹果湘源客房,,08386010888,
伍城家园大酒店,,08387256666,
君安旅馆,,13458979938,
鹏程公寓,,18990278579,
华华宾馆,,08382232250,2207108
广汉芭芭美家酒店式公寓,,08385509977,
东升旅馆,,18981059478,
开运幸福之家酒店,,13881004803,
缘来客栈,,13890288202,
航校便民民宿,,18990212580,
爱尚酒店,,08386191688,13388134801
温馨时光旅店,,15386672776,15883608863
静林园家庭旅馆,,13568412755,
酣噜噜时尚酒店（德阳店）,,08383010999,
A8宾馆,,15108191688,
思雨商务酒店,,08382517791,
什邡拾翠人家农家院,,13540078745,13689645130
五洲商务酒店（衡阳路店）,,08386088555,
如家快捷酒店（德阳岷江西路店）,,08382231999,
广粮招待所（原粮食局招待所）,,08385222651,
旌湖宾馆,,08382303888,
泰源乡村酒店,,13408382495,
聚仙宾馆,,08387950085,13880706907
青年旅馆,,08382655762,
明清园酒店,,08386018628,13880410729
阳光青年旅舍,,08385191868,15883646177
唐门客栈,,15183651288,
城市便捷酒店（德阳广汉精华天阶店）,,08385308666,
忠恩大酒店,,08385400666,
博雅熙宾馆,,08386197707,18090059693
诗莱尔酒店,,08382302998,
金河宾馆,,08382508998,
五湖宾馆,,08382559933,
新境界宾馆,,08382560916,
新阳光招待所,,18990257037,
金三角宾馆,,15283814108,13990245090
菊园宾馆（屏山街店）,,08383067999,
印月商务宾馆,,08385990959,15183830763
枫叶宾馆,,08386821318,
品格酒店,,08386936666,
溢州商务宾馆,,08382537882,
晶熙大酒店,,08382517333,
鸿福客栈,,08382563595,
九洲商务酒店,,08385195881,
露天商务酒店,,08382516326,
图腾印象酒店（什邡店）,,08388309988,
金領飯店,,08382902970,
熙诚经济酒店,,08386933888,
四季商旅酒店,,08383012222,
溪乐韵客栈,,13981067946,
太平洋国际饭店,,08382908888,
锦华商务宾馆（安国街店）,,08386198768,
都市118连锁酒店（德阳开发区店）,,08383065118,
怡豪商务酒店,,08385101088,
润德宾馆,,08382502679,
楠桥风尚酒店,,08385657777,
友谊宾馆,,08382513718,
鑫源宾馆（西外街）,,08383068188,13281369998
利都宾馆,,08385321200,6095966
金凯瑞酒店,,08383500777,
上庭驿馆,,18728090871,
静和园家庭旅馆,,15883898543,
沁园春宾馆,,08383863016,15982905202
金苑商务宾馆,,08383065618,
兰竹商务酒店（中江店）,,08387131222,
佳福宾馆,,08387603338,
德重大酒店,,08382822666,
舒馨宾馆,,18281004557,
金谷汉都商务酒店,,08382223099,2313558
仁泽心悦酒店,,08383211118,3211888
绵竹岷山饭店,,08386600000,
朋来旅店,,18942896432,
速8酒店（德阳华山南路店）（原客运中心店）,,08386150888,2820056
冰川镇民宿,,15883437773,
君安商务宾馆,,08382653388,
临园宾馆（北塔店）,,08387131111,
广宇宾馆,,08385255888,
溪山农庄农家院,,13458961769,
箫氏酒店,,08383203288,
瞿上园园林酒店,,08385306999,
黍森豪丽酒店,,08382422222,6818181
怡景酒店,,08386297779,6297111
旌城家园酒店（长江西路店）,,08382312222,
东方碧苑宾馆,,08388266700,18990253832
鑫源小栈,,18781000792,
乐去快捷酒店（瑞祥达店）,,08383069666,
康桥宾馆,,08386102988,
京和林,,08388303111,
