姓,名,家庭手机,工作手机
金辰酒店公寓,,15840902079,
蜜罐公寓,,15754087654,18642825282
大连星海居悦公寓式酒店（壹品星海店）,,13478761989,13609865263
金梅饭店旅社（客房部）,,13610845675,
朋来客舍,,041184203035,13591163225
添缘旅馆,,18742061602,
永丰客舍,,041166836881,
俊宇旅店,,041189857127,
盛美旅店,,041183411918,
常来居旅店,,13322297088,
巴提雅海景公寓,,13889485731,
优雅公寓式主题酒店,,13804255741,
金园旅社,,041183110888,13889655907
迎宾旅社,,041183459327,
安心旅馆,,041183707279,
大学时代城客栈,,041166837199,13942051251
家之恋旅店,,15642346260,
临港商城客房,,041187516699,
玉春快捷旅店,,13840854846,
圣西罗酒店式公寓,,18698701615,18678638896
东电宾馆,,041187565118,
嘿店酒店公寓（星海广场店）,,13322261968,
1+1海景公寓（东方百合店）,,13130437750,
益铭旅店,,15541172318,
嘉源旅社,,041183411988,13942662030
简约时尚旅馆,,041162906926,
鑫福霖旅馆,,041139359670,
好璟旅店,,15541113335,
嘉瑞阁旅馆,,041189715668,
驿旅阳光旅馆,,041139047005,
金阳旅馆,,041189879198,
普兰店京都商务宾馆（皮口店）,,041183567777,13304262838
7天连锁酒店（瓦房店火车站店）,,041166521111,
金石滩爱心公寓,,13674240195,
亿家宾馆,,041189773456,
王子假日金海星酒店式公寓,,15904242552,
海湾客舍,,15040490606,
宜安居旅馆,,041186758686,
君福居旅馆,,13940991187,
椰海宾馆,,041139103050,
富有大酒店,,041187926000,
大连瑞诗酒店,,041182303388,
宏源旅馆,,15542327000,
汉城酒店式公寓（亿合城店）,,13840875463,
安盛商务酒店,,041187553888,
宏润商务客房,,13624253677,
天福旅馆,,041183150018,
船舶宾馆,,041162635777,
滨海假日公寓,,13332226261,
平安酒店式公寓,,13609865107,
满园春旅店,,13624083268,
佳华旅馆,,041162278777,15724589719
鑫佳旅店,,13147859777,
一番酒店式公寓,,041188034291,88034261
蓝色港湾（客房部）,,15134208372,
桃源休闲度假酒店,,041165899753,15840991117
名流客舍,,041189780808,
牡丹城休闲公寓,,18504283406,15840679808
兴满圆宾馆,,15042475277,
蓝海湾旅店,,041162656399,
星月湾海景度假酒店,,041189756789,
鑫盛旅店,,041187909286,15940932977
金海岸大酒店,,041183467888,
家缘客舍,,13795145878,
左岸经典芒果酒店式公寓,,13234111001,
华源隆快捷酒店,,041183397377,
金元大酒店,,041187618888,
大连水之韵客房,,041139119991,39119992
星海博览中心公寓酒店,,13079882300,13079883638
圣家旅店,,15698851836,
89快捷旅馆,,041139572547,
喜盈门宾馆,,041187900666,
昭日商务客房,,041187964377,13898663369
长兴岛鸿源旅馆,,041185280887,
哈仙岛新秀渔家,,13500783606,
海王九岛渔家乐园九号别墅,,13214288000,
大连之珠酒店式公寓,,041166854652,13591795580
同兴旅社,,041182829226,18641547681
红悦宾馆,,13322257879,
喜来旅馆,,15840817570,
