姓,名,家庭手机,工作手机
天一旅店,,04595878318,
恒悦宾馆,,04598645666,
五号店宾馆,,04598512585,
旭涛旅店,,04596202265,
隆鑫时尚旅馆,,04596190292,
月明招待所,,18345528885,
蓝蝴蝶时尚宾馆（龙凤公园店）,,04596409666,
吉运旅社,,04598522120,
圣家华宾馆,,04596755088,
悦家宾馆,,04598117766,15846183322
伟豪日租房,,13394638448,
圣达商务宾馆,,04598616168,
快捷日租房,,15845855617,13351898181
丽都宾馆,,04598619888,
凤阳居宾馆,,04596230166,
明珠宾馆,,04595722152,
金鑫日租房,,13329490929,
六间房家庭日租公寓,,13394641278,
紫瑞旅馆,,04593433416,18346619082
福来招待所,,18945613789,
金海清真旅店,,04598106348,
前来缘招待所,,04598990106,
福满招待所,,13694602092,
鑫汇旅店,,18345435384,
金瑞琪招待所,,13359596495,
有间客栈,,04596367158,
金溢旅店,,04596240348,18245980564
佳和旅馆,,04598352677,
发财招待所,,13224599215,
舒雅旅馆,,13845900636,
海之梦主题宾馆（实验中学店）,,04595858555,6668882
百度宾馆（乘风庄新玛特店）,,04596577111,5699888
金港湾招待所,,04594606958,
鑫顺源旅店（大庆师范店）,,04596118004,
泉之润温馨雅居旅馆,,04593328893,13115426616
君威旅店,,04596231129,
馨雅家庭旅店,,13836973009,
悦达招待所,,04596886086,
月源旅店（大庆东站店）,,04596247057,
比家美旅店,,13734554436,
阿香温馨旅店,,15164579002,
梦溪时尚旅馆,,13359931315,
姐妹旅店,,13936926439,
恋家旅馆,,04596230073,
鑫驰旅馆,,04592670808,
豪景快捷酒店（东风新村店）,,04596885555,
民和旅店,,13936731281,
博客旅馆,,04595713518,5073838
家舟旅馆,,04596138698,
新阳光招待所,,04594631533,
海之梦商务宾馆（萨区政府商务店）,,04598893222,
木子宾馆,,04596811789,
悠缘时尚宾馆,,04596305333,6330003
缘缘日租公寓（客运枢纽站店）,,13936706188,
海之捷宾馆（西站店）,,04596592222,
大庆福海金舟商务酒店,,04596666311,
奔腾快捷宾馆,,04598689999,
唐人快捷酒店（唐人中心店）,,04595977388,
和利招待所,,04598978319,
舒适客休闲宾馆,,04596699255,
时尚空间旅馆（大庆东站店）,,04596351777,
世纪时尚宾馆,,04598413611,
圣居旅馆,,13945611522,
星禾快捷宾馆,,17745566556,
如意宾馆,,13845934116,
浪佳主题旅馆,,13555521694,
旭日升宾馆（香榭丽店）,,04596363020,18945999941
小贵族时尚宾馆,,04595590678,6036777
小贵族时尚宾馆（远望香港街总店）,,04596525666,
丰园园招待所,,04595955888,
禧龙宾馆（开发区店）,,04596106666,6666161
亿来时尚宾馆（东风新村店）,,04594666662,
梦星缘招待所（中央商城店）,,04595000281,
梦桐雨招待所,,18345942791,
忆江东旅馆,,04596245238,
安然小住旅馆（东站店）,,04596234037,13555548705
时尚程宇招待所（新玛特店）,,04594620966,
缘君招待所,,04596887238,
大庆康巴宾馆,,04592630191,
宝昕超市旅店,,18745902205,
浪佳小住快捷旅馆,,04598986633,
林妍招待所（石油大学店）,,04594676911,
大庆乐群旅馆,,13359593496,
红都宾馆（原朗廷宾馆）,,04595517688,
千千宾馆,,13199069595,
九号宾馆（火车站店）,,15846162628,13936932670
鑫起点招待所,,04594603379,
百姓洗浴宾馆,,04596664902,
致青春假日宾馆（火车站店）,,04596883333,
世宝宾馆（乘风庄店）,,04596850678,
一休宾馆（远望店）,,04596517666,
留家客栈,,04594629101,
馨之月旅馆,,04598995566,
