姓,名,家庭手机,工作手机
速8酒店（岷县岷州中路店）,,09327724888,
西关宾馆,,09328236112,13830293029
宁静商务宾馆,,09325903288,
九九快捷宾馆,,09328625188,8625288
陇海宾馆,,09325981555,
顺兴和大酒店,,09327733000,13519027803
南天宾馆,,18109321091,18209321765
东安商务宾馆,,09328816668,
三鑫宾馆,,09328281602,15193262087
快9商务宾馆,,18394248134,18794299965
盈庭宾馆,,09328228588,5916562
东兴宾馆,,09326627888,
城市坐标商务宾馆,,09326958880,15569644666
怡景东方宾馆,,09325934666,5934999
琼林主题宾馆,,09326923000,
颐和丽景酒店,,09325927555,
人和宾馆,,09326951298,13830298822
7天连锁酒店（临洮城市金街店）,,09322237088,2237066
定西博新宾馆,,09325989215,
凯悦商务宾馆,,09322382661,
幸福宾馆,,18093225948,
凤城商务宾馆（西川店）,,09328331230,
锦绣商务酒店,,09327411666,13830233466
岭南商务宾馆,,09327785666,
金当归大酒店,,09325935888,5935666
金三角宾馆,,15193254628,
天缘阁宾馆,,09326619333,
渭滨宾馆,,09326618111,
西城大酒店,,09327736333,
渭水明珠商务酒店,,09325916888,
庄园旅馆,,09324863089,
巾川宾馆,,15809325821,
新华商务宾馆,,09325901555,
速8酒店（定西临洮汽车南站店）,,09325929800,
尚客优连锁酒店（陇西崇文路店）,,09326669869,
东晨商务宾馆,,09326636555,
一家快捷酒店,,09328213938,18909328911
银海岸精选宾馆,,09327729666,
中川快捷宾馆,,09328369221,
嘉禾快捷宾馆,,09322243999,
易佰连锁旅店（陇西火车站店）,,09326699888,
金豪宾馆,,09325557288,
薯都商务宾馆,,09325988118,
新潮宾馆,,09328329966,
都市花园连锁酒店（定西永定西路店）,,09325905555,15693237328
陇西大酒店,,09326601111,
恒安招待所,,09328228886,
嘉昕快捷宾馆,,09325978168,13321328000
灞陵商务宾馆,,18809320077,
永彪商务宾馆,,09324186999,
7天连锁酒店（定西火车站店）,,09325933333,
速8酒店（定西火车站民主街店）,,09328859958,
隆盛粮油宾馆,,09326656000,
辛巴达精品酒店,,09322233880,
上品商务宾馆,,09327574631,
佳和宾馆,,09326921666,
孙坪招待所,,15294281872,
亨泰精品酒店,,09326669111,
伊真堂商务宾馆,,09326690886,18209325260
陇欣宾馆,,09328226966,
华喜酒店,,09325925999,
单身公寓,,17793222596,
速8酒店（漳县县政府店）,,09324951666,
祥和招待所,,13209323336,
锦隆宾馆,,09326698999,
金波酒店,,09326683999,6659222
渭水源大酒店,,09324137688,4137666
华荣公寓酒店,,09327724066,
强生大酒店,,09326913333,
兰林苑宾馆,,09328859838,17793266618
伽嘉宾馆,,09326958666,
育林大酒店,,09325552222,
穗丰青年客栈,,09326666661,
铭源宾馆,,09328202486,
润园商务宾馆,,09324557555,17793276961
康威宾馆,,18993261415,
洮鑫宾馆,,09322243917,
军供宾馆,,09326658999,
嘉润宾馆,,09328321001,13993279917
君乐商务宾馆,,18193206789,
嘉瑞宾馆,,09328220932,
鑫源宾馆,,18193218819,
速8酒店（陇西火车站人民西路店）,,09326693333,
阳光假日商务酒店,,18393429482,
鑫泰商务宾馆,,09324868345,
宜家快捷宾馆,,09328322189,5983866
国宁宾馆,,09328869999,18909326299
百盛宾馆,,09328328686,18993208589
永兴宾馆,,09324481686,
纳百川商务宾馆,,09324482299,15509498088
飞天怡宾馆,,09328325999,
依林商务宾馆,,09325932138,18693226715
如家快捷酒店（定西解放路文祥家园店）,,09326923666,
定西天庆国际大酒店,,09328319988,
华盛国际大酒店,,09326695888,
洁净招待所,,15025830908,
八号公馆,,09326919336,15593236018
恒发国际大酒店,,09326918888,
东方大酒店,,09325927111,5927222
瑞佳宾馆,,13993201196,13830217687
馨源商务宾馆,,09328235558,
金百合商务宾馆,,09327862888,18393271115
富丽大酒店,,09326916666,8218822
翔云宾馆,,09328284443,
何家宾馆,,13239426488,15593274828
7天优品酒店（临洮城市金街购物广场店）,,09322237399,2237833
新兴宾馆,,13830288288,
艺城宾馆,,09327726789,13809321314
定西怡鑫瑞快捷宾馆,,09328281788,
欣悦宾馆,,09325929222,13519022444
凤城印象酒店,,09328284888,
海城宾馆,,18893230181,
瑞吉星商务酒店,,09325989377,15193276797
永业大酒店,,09325968288,
怡苑宾馆,,09324136099,
西金来快捷宾馆,,09328333889,
华城大酒店,,09325906666,
皇冠大酒店,,09325958555,
舒安宾馆,,13739326105,
凤城大酒店（交通路店）,,09328221111,
金田宾馆,,09325924000,5924111
力源商务酒店,,09327733388,
江源商务宾馆,,09322381111,
龙门商务宾馆,,09328216559,17793275157
肖老四商务宾馆,,09328232222,
陇源宾馆,,09325984888,13993293259
木森林宾馆,,09328316816,
隆锦宾馆,,09325983089,18093282338
丰瑞商务宾馆,,09328329880,
迎翔宾馆,,15294279696,
鸿鸣宾馆（东城店）,,09326609111,
海森宾馆,,09328322776,
爱东商务宾馆,,09322232088,18393266266
速8酒店（定西西川师专店）,,09328338899,
慧瑞宾馆,,13893409112,
南阳商务宾馆,,09328820188,15109327938
漳县大酒店,,09325932666,5932555
渭河酒店,,09326959777,13830275360
岷州大酒店,,09325903111,5901777
丽都商务酒店,,09326692222,
西锦宾馆,,09325930888,5930889
喜洋洋宾馆,,09328313555,
阳光商务酒店（定西友谊广场店）,,09328819666,
官堡明珠商务酒店,,09324481899,15822386496
瀚天宾馆,,09322383979,
雲海商务宾馆,,09328866666,
中天酒店,,09326621777,
永盛商务宾馆,,09327739222,15193219995
祥瑞大酒店,,09322236666,
东昇商务宾馆,,09324865555,
九洲商务宾馆,,09325988880,
皇冠假日酒店,,09326959000,
宁家宾馆,,13830284686,
凤城商务快捷宾馆（交通南路店）,,09328211888,
陇原情商务宾馆,,09326661199,
东晟宾馆,,09326666968,
雅阁快捷宾馆,,09326923456,
凯源宾馆,,09324531000,17793276961
香府快捷宾馆,,09326680111,
财源宾馆,,09328235099,8235011
速8酒店（陇西西园路店）,,09326658008,6618000
鑫润宾馆,,09328265407,15101780648
熙盛宾馆,,09327738588,7863888
光明旅社,,09328282983,15095489402
上品宾馆,,09325909866,
凯悦商务酒店,,09327416888,
阳光商务酒店（凤凰苑店）,,09328327555,8227555
兴盛商务酒店,,09327723269,13919710962
赛家快捷宾馆,,09326666377,13993206961
金达莱酒店,,09324134858,
一品阁酒店,,09326699919,
金元通商务宾馆,,09326611155,
鑫龙海商务宾馆,,09328327766,
广源宾馆,,09324133048,
陇西县如家客栈,,09326655888,
东辉商务宾馆,,09328316680,
豪俪商务宾馆,,09326923333,6923533
雅居安宾馆,,09322383009,
怡和宾馆,,09325981155,5982255
双星凯悦商务大酒店,,09328283666,
青年宾馆,,09327727666,18193290667
华茂商务宾馆,,09328316555,
百嘉商务酒店,,09324861888,
怡祥快捷宾馆,,09328626688,
豪爱宾馆,,09326665905,
馨悦招待所,,09326665885,
欣怡商务宾馆（原盛龙商务宾馆）,,09325982567,18809327788
开元宾馆,,09326681000,18719691899
银百盛大酒店,,09326921888,
家宁快捷酒店,,09325905888,5972038
舒雅商务宾馆（陇西南大街店）,,09326608116,
千禧商务宾馆,,09328819555,
花园商务宾馆,,09327725555,5905111
春江宾馆,,09326959890,6959156
海庆宾馆,,09328281116,15309320988
君悦商务宾馆,,09324138816,
海星宾馆,,09328222558,
政府宾馆,,09325552168,
红苑宾馆,,09326666343,
风光大酒店,,09327722250,
朋来宾馆,,18293200083,
兰庭商务宾馆,,15709328715,13399323839
金谷宾馆,,09328360100,8312002
鹏程商务宾馆,,09328261122,
商会宾馆,,09328218246,
南林苑宾馆,,18193211928,
凤城招待所,,09328200087,
鑫豪西概念酒店,,09328819999,
欣安宾馆,,13830283904,
京跃华大酒店,,09328222091,
定西宾馆,,09328284166,
景利达商务宾馆,,09326677777,
北辰商务宾馆,,09322235222,15293252289
盐川商务宾馆,,09324866111,
政府招待所,,09322246744,
天合商务宾馆,,09322383666,2383766
金阳酒店,,09325981876,
福荣山庄,,09328317789,
海天宾馆,,09328288898,8287099
星辰商务宾馆,,09322251666,
昱成招待所,,15593282535,
南山旅社,,09326628169,
富侨宾馆,,09322242709,
馨源旅馆,,093213993263,13993263811
高老庄山庄,,09328236000,
桂兰顺祥招待所,,09328211711,
商贸宾馆,,18809329969,
东巷招待所,,18193225180,
青苹果招待所,,093213919698,13919698065
弘也平旅馆,,13369329337,
振兴旅社,,13993201194,
天源商务宾馆,,093283633566,8363566
民族旅社,,15193278536,
建军旅社,,14709422386,
金凤凰宾馆,,09322248402,
民兴招待所,,09325556785,
百姓宾馆,,09327720603,
金星招待所,,09328224271,
三鑫招待所,,09322240528,
颐榭园招待所,,09324136208,
荣宁招待所,,09322234178,
鑫海旅社,,15193218956,
菜根香大酒店,,18993230889,
兴裕宾馆,,09322383142,
祥和住宿,,18215221521,
佰川招待所,,18193254063,
温馨旅社,,093218193225,18993269261
祥和居旅社,,15349325268,
嘉苑招待所,,18794958242,
荣盛快捷宾馆,,09325984666,
四海山庄,,18609329198,
佳瑞招待所（小西街店）,,09328333117,
悦来客旅馆,,093218293059,18293059697
双福源招待所,,18093289185,
博研宾馆,,15309320476,
芳沁园旅社,,09322233784,
岷县洮岷国际大酒店,,09327866666,
快捷宾馆,,09328261859,
通渭温泉度假村,,09325550666,
恒安宾馆,,09325989016,
平安家庭宾馆,,13919714105,
金源宾馆,,18152229273,13809323021
大席招待所,,09326910090,
乡野香旅游山庄度假村,,15101838815,15095488832
米苏假日酒店,,09325913888,15193227179
西城宾馆,,09328265277,
张家旅店,,13830283531,
宋晓军农家乐,,18993225241,15339725618
顺意酒店,,09327574009,
定西德利家庭宾馆,,09328318588,
仁民旅店,,13679326861,
易佰连锁旅店（定西火车站店）,,09326959559,
北门家庭公寓,,09325911000,
盛世阳光酒店,,09324879888,
龙腾快捷宾馆,,15825810109,
万华酒店,,09325933566,18793249909
御盛园大酒店,,18093297929,
鸿鸣宾馆（西城店）,,09325934888,
东润酒店,,09326673888,15593268116
金龙宾馆,,09326698186,
荣康宾馆,,13679325259,
馨寓商务宾馆,,17793240505,
福河主题酒店,,09322280888,
中元大酒店,,09326600666,
阳光假日酒店,,09327738777,
恒丰商务宾馆,,09325927888,15346923378
天久宾馆,,13321320635,
益兴招待所,,13993201016,
泰安招待所,,18993271685,
定西岷县宾馆,,09327722456,
随缘招待所,,09326620175,
聚源招待所,,09325987001,
俊山招待所,,09322232577,
福来招待所,,093218693222,18693222962
红新商务宾馆,,09328680055,
百顺招待所,,09326669300,15193483834
克林旅社,,15101821911,
平安快捷招待所,,09328876318,
红军旅社,,15025832847,
大川地招待所,,09328449521,
丽苑宾馆,,13679328290,
东升招待所,,13830255670,
君悦宾馆,,09327739988,
天华度假村,,09324865440,
盛源康宾馆,,09327861888,
清源刘老根山庄,,18693209190,
馨达快捷宾馆,,09325903255,5903225
富燧商务宾馆,,18993267878,
红什招待所,,18293262936,
西煜商务宾馆,,09326919988,
隆盛粮油公司宾馆,,13830264495,
五里铺招待所,,09322244288,
新雨宾馆,,18993250106,
新都宾馆,,09327722579,
福鑫招待所,,18993208489,
兴隆宾馆,,15693060101,
穗丰招待所,,09326610996,
升旗宾馆,,09326698618,
众鑫宾馆,,09328201122,
华隆商务酒店,,09328317999,
爱家宾馆,,09328280001,
东门宾馆,,09327728811,
金源山庄,,09328214695,
煌佳山庄,,09328331588,
人民政府招待所,,09327722456,
飞婷旅社,,09327574376,
心颜招待所,,13139329997,
西城宾馆,,09328265277,18993223955
东河滩宾馆,,15349428225,13712093318
永祥宾馆,,09327721342,
电力宾馆,,09326600966,
新园招待所,,09328264982,18193289681
南峰招待所,,13519028542,
永兴商务宾馆,,09328263332,15294299698
永康招待所,,09328366293,400833-6699
悦心大酒店,,09325912555,
林辉招待所,,18993230256,
怡家招待所,,15393226921,
鑫旺招待所,,18219725589,
客源旅社,,09325558431,
文和斌旅馆（定西）,,13369320286,
舒雅宾馆,,15393208578,
平安招待所,,09324136066,
林山招待所,,15025839358,
豪运宾馆,,15193291656,
康怡招待所,,13291075446,
怡馨宾馆,,18993220005,
会洲大酒店,,09325338888,5551560
鑫鑫商务宾馆,,09326623282,
永峰宾馆,,09328827784,
鑫盈招待所,,18093279162,
华西招待所,,09328215229,
称心招待所,,15101829520,
三盛和旅店,,09328220198,400833-6699
隆盛粮油宾馆,,09326689871,
嘉缘商务宾馆,,09328212277,
阳光招待所,,15025922187,
兰亭宾馆,,09325557686,5331299
文化路招待所,,09323669081,
鑫居源商务宾馆,,09326943111,
舒家招待所,,09328232307,13629329778
顺圆宾馆,,09327722994,
金明招待所,,18093283078,
陇西宾馆,,09326601111,
通渭县政府招待所,,09325552801,5553198
鸿运招待所,,09328222143,8213245
飞天快捷宾馆,,09328329289,
鑫源招待所,,09322383128,
仙客来宾馆,,09327722197,
洮电宾馆,,09322398000,
三和宾馆,,09326957888,
海清招待所,,15101799278,
阳光招待所,,09328280967,
金汇招待所,,09328328189,
诚信宾馆,,09326605666,
祥源招待所,,18193278887,
金太阳大酒店,,09328226160,
华兴宾馆,,09327728884,
金坛宾馆,,09327723838,
武阳宾馆,,09324862517,
富康大酒店,,09324862536,
电力宾馆（北关店）,,09322236866,
怡家快捷酒店,,09325982923,
康伊宾馆,,09327538888,
温泉宾馆,,09325550666,18629083005
华盛宾馆,,09326600868,
桥头招待所,,15095490611,
鑫明招待所,,09328211893,
陇中宾馆,,09326690919,
鑫跃华宾馆,,09325552216,
永泰宾馆,,09327722907,
旌盛招待所,,09328215540,
佳和宾馆（友谊北路）,,09328211639,
陇缘招待所,,09328227783,15569668523
荣景园招待所,,09326636966,
泰和商务宾馆,,09326698668,
舒雅旅馆,,09326609688,
洮阳招待所,,09322383081,
安逸宾馆,,09328366166,
侯家宾馆,,09325980098,
姜鑫源山庄,,09328316885,
朝阳招待所,,09328265791,
会琳商务宾馆,,09322243501,
东宫快捷宾馆,,09324862668,
温馨招待所,,18993269261,
宜佳招待所,,13993248700,
三余宾馆,,13993239889,
霸陵宾馆,,13321328000,
新盛源招待所,,18993249850,
步行街旅馆,,18089316606,
福兴招待所,,15095499457,
永康招待所,,15352035198,
保和招待所,,09328200087,
祥瑞招待所,,09324135162,
永康招待所,,15095490611,
欣大酒店,,09328216555,8284888
友谊招待所,,18719622536,
金鑫旅馆,,09325552434,
安康招待所,,15339320715,
大顺福宾馆,,13150110263,
海清招待所,,18794743747,
红星旅社,,09327721377,
百盛商务宾馆,,09322239997,
星辰招待所,,13109440912,
隆泰宾馆,,15009329998,
舒雅招待所,,13519321266,
锦泰宾馆,,18139919911,
元通招待所,,15193251732,
众友招待所,,09325553142,
陈家庄招待所,,09322383660,
永祥宾馆,,09327721342,
一宿宁招待所,,15349429356,
增辉公寓,,15668389039,
华丰印象宾馆,,09327739777,
昕旺招待所,,09328228886,18209426312
顺通宾馆,,13919689552,
永安大酒店,,09327722353,
海润招待所,,09325928235,
和谐旅社,,09324863696,
168招待所,,18993270098,
沁源旅社,,15025922262,
阳光旅社,,15025925779,
顺天旅社,,18152202591,
庆临招待所,,09322242720,
佳兴宾馆,,18193221962,
福乐招待所,,15193478296,
群艺招待所,,15095502137,
雅阁招待所,,093218009327,18009327177
和泰快捷酒店,,09327733688,
燕子宾馆,,13909321129,
华伊宾馆,,13679326006,
凤祥山庄,,09328328668,
大什字招待所,,15379125646,
迎宾住宿,,18093211269,
亨通旅社,,09322245428,
货运中心住宿部,,13079369330,
李正旅社,,09324861096,
渭河春佳源宾馆,,09324133650,
温馨旅馆,,18794283243,
西桓商务宾馆,,09326919911,
鸿钰招待所,,09328262967,
立交旅社,,18293275189,
恋家招待所,,13830282639,
水源旅社,,093218109321,18109321479
正茂宾馆,,18993259918,
万福住宿,,09322234314,
怡鑫旅馆,,09327727186,
祥麟旅社,,18993270310,
家和招待所,,18009326678,
怡嘉宾馆,,15178962204,
永乐旅馆,,18293220610,
速8快捷旅馆,,09322238211,
华泰招待所,,13993215953,
润苑宾馆,,09322248111,
永福招待所,,09325981304,
恒发旅社,,15339848815,
兴乐招待所,,15825822581,
洮水边三酒店,,09322235000,
天然居旅社,,09322243946,
瑞兴隆招待所,,15293236856,
金泰宾馆,,09327736778,
宝通宾馆,,09328846996,
新隆招待所,,15293209757,
阳光旅社,,15379105169,
祥和招待所,,09325552659,
新园旅社,,09322243341,
天赋招待所,,15809472576,
恒达假日宾馆,,09322382000,
奥鑫旅社,,13139322688,
淑娥旅馆,,18293280187,
百兴招待所,,13739327635,
嘉和商宾馆,,09322237111,
信息旅社,,18993205816,
君慧休闲宾馆,,09325983777,
惜惜招待所,,15593270510,
舒欣宾馆,,13893998528,
青和宾馆,,09325923111,
南街旅社,,09322241915,
