姓,名,家庭手机,工作手机
未起名青年旅舍,,04572826460,13624571615
北苑宏福商务宾馆,,04573566678,
北极兴旺宾馆,,04572889333,
北极光客栈,,13845741801,
达利快捷宾馆,,04573673888,
漠河县北极村七天宾馆,,15734578818,13555093228
君福家庭宾馆,,13329372346,
江畔人家旅店,,13846573290,
幸福宾馆（繁荣巷店）,,18604571113,
北红村记得客栈,,13261511725,
暖洋洋超市旅馆,,15245749860,
东方宾馆,,04578971111,13091732227
众兴宾馆,,04573745678,
漠河北极村53度半国际青年旅舍,,04572825888,18845747776
北极村陶然农家,,04572826318,
金利宾馆,,04576104100,2140201
漠河比邻宾馆检察官培训中心,,04572889898,
北红人家,,15945701905,
普罗旺斯主题宾馆,,04572128458,
520主题宾馆（加格达奇火车站店）,,04573739988,
铁电温馨宾馆,,04578997777,8934444
北极神话宾馆,,04572838666,
万客来宾馆,,04573646111,13846561153
北岸青年客栈,,04572882046,18724571516
汇金宾馆,,04572889588,
鸿鑫假日宾馆,,04572848888,13504561058
翠花轩国际青年旅舍,,04578917633,13845767517
拾叶知悠青年旅舍,,17704572321,
老村长农家院,,15094600795,18704579869
祥合宾馆,,13039931665,
北极村俄罗斯人家度假屋,,18714579888,17745672619
漠河北极村驴友之家国际青年旅舍,,04572826326,
隆福饭店,,13349371122,
北极村极点农家院,,15045702407,
北极泉度假村,,04572860888,
北极村咱家小院,,13555489219,
记得客栈,,13261511725,
北极居然之家客栈,,18904578003,
人和宾馆,,04578983567,13904574801
漠河县西林吉镇新如家宾馆,,04576712345,
在路上青年旅舍,,15609861891,
锦江快捷宾馆,,04573677797,
一方客栈,,13555098346,
旅友驿站,,13555098327,
小逯农家院,,13614577959,
骞雯农家院,,15604575323,
北极时间青年旅舍（北极村店）,,15094617617,
寻北之旅客栈青年旅舍,,18714576153,
北北国际青年旅舍,,04572886933,
乡村农家院（北极广场店）,,13846552078,
君悦客栈,,13614578078,
迎宾宾馆,,04572711888,
北红村牟家客栈,,15094617004,
鸿鹏宾馆,,18845746869,
村里人家客舍,,15094617178,18714575737
大兴安岭漠兴宾馆,,04572885003,
北极村寻北驿站,,13555484475,
李大妈农家院（北极店）,,04572826505,13904572910
村口王家院,,13555072963,15804571296
陌客青年旅舍,,13384571399,18310719838
万福楼宾馆,,13845782328,15094617458
北极和泰宾馆,,04572881595,
山城宾馆,,13845766929,
东北小饭庄,,13504563355,
和泰快捷宾馆,,04572165553,
文秀快捷宾馆,,04573661188,
唱家大院酒店,,04576114555,
和平旅社,,04573614668,15045704668
北北国际青年旅舍,,13845769790,
随心旅游户外青年旅舍,,13845782891,
随心旅游户外青年旅舍,,13845782891,
行者驿站青年旅舍（北红村店）,,13504561071,
忆乡农家院,,13845711436,
沁园客栈,,18645708544,
一方砚快捷宾馆,,13845702388,
涌泉宾馆,,13311200091,
迎宾宾馆,,13846557580,
漠河北极双兴宾馆,,15645707888,
北极村小左农家院,,04572826333,
双桥宾馆,,04572817277,
熙座宾馆,,04578999111,
宏杨快捷宾馆,,04572825678,
如家云上四季连锁酒店（北陲家园店）,,13846573329,18904572558
北极冰蓝莓酒庄（北极村店）,,15714677333,
北国红豆家庭宾馆,,04572889800,18704579997
万豪假日旅店,,13555489516,
鑫源宾馆,,04572889519,
第三家旅店,,13845711738,
锦宏酒店,,18604570465,
税缘酒店,,15094617004,
漠河北极村鹿祥园驴舍,,13555481532,
福和宾馆,,04573645678,
美居时尚旅馆,,04573616088,
龙源宾馆,,04572881196,
温鑫假日宾馆,,13039931588,
金陵宾馆,,04572882677,
鹏程假日酒店,,04573513666,
龙顺源客栈,,15094617004,
中国最北青年旅舍,,18693092792,
玖隆宾馆,,04573614420,
宏鑫之家客栈,,13845712634,
金客来宾馆,,04573509168,
北极村时光之旅青年旅舍,,13845782544,
最北边疆农家乐,,13845712130,
四季旅店,,14704576838,
金谷宾馆,,04573560666,
漠河国际会议中心,,04572877222,2877333
北极村老木头青年旅舍,,13804841364,
漠河北极山庄,,04572818888,15045702779
圣源宾馆,,04572848000,
诚信商务酒店,,04573668000,
红金鼎大酒店,,04572865555,
金马饭店（人民路店）,,04572758888,2758777
天竹假日宾馆,,04572843333,13945701110
鑫达宾馆（正棋路店）,,04573510088,
北红村杨哥农家院,,15204571197,
漠河金马饭店,,04572828888,
北方客栈,,13845781938,
宜家时尚宾馆,,04573501000,
金昭然宾馆,,04573518666,13104572222
漠河北极村张仲景养生院,,04572822000,2822221
漠河新禧龙宾馆,,04572821119,
缘梦北之旅青年俱乐部,,13846588892,
华兴酒店,,04573518081,
北极村最北哨所青年旅社,,15804579552,13846588892
北极金谷宾馆,,04572885677,13845701661
缘聚客舍,,04572826496,13555099951
漠河北极村索金大酒店,,04572877999,
北极村得意居农家院,,04572826138,
上海滩酒店,,04573439000,
北红村韩家大院,,15094617004,
北红村大波农家乐,,15094617004,
金海宾馆,,04578981555,
迎君来宾馆,,04578946555,
北山宾馆,,04572145888,
北红村漫时光青年旅舍,,13845769790,
北极春宾馆,,15304579998,
佳家快捷宾馆,,04572885157,
吉顺农家院,,18804575186,
找北户外俱乐部,,04572889468,
好客农家乐,,15094617004,
知青宾馆,,04573519200,
漠河老村长农家院（老村长农家院）,,13124574446,
朋来缘客栈,,13846573597,
鑫利宾馆,,04573638858,
龙江源宾馆,,13845702922,
金花农家院,,15094617004,
中心青年公寓,,04572852498,
迎宾宾馆,,04576668688,
寻北之家,,13845711398,
秋暮阁商务宾馆,,04572869666,
漠河县图强中心宾馆,,04572852498,
复兴快捷宾馆,,13845711798,
金运大酒店,,04573637666,
北红宾馆,,13604871977,
绿海假日酒店,,04573632111,
燕莎宾馆,,04702105555,
旭东农家院,,15045701188,
天天顺旅店,,13604875440,
爱家日租公寓,,13384570006,
李大妈农家院（总店）,,04572826559,13136701687
孙家大院住宿,,17704572688,
贵宾楼酒店,,04573649998,
漠河升辉旅饭店,,15304572728,
漠河北极村沈家大院客栈,,04572826572,13945701231
加格达奇区淞林快捷宾馆,,04572137772,
小木屋家庭宾馆,,04578921518,
北红村田园人家,,15094617004,
迎宾招待所,,04573661408,
漠河小鱼旅游包车北方客栈,,15094621166,
岭上人家,,04573434999,
北极村之家,,045710106666,
乌苏里浅滩卡伦小镇宾馆,,13604871063,
1+1时尚宾馆,,15124576668,
户外驴社,,04578920706,
北极村农家乐客栈,,13845712450,
老妈农家院,,13555071658,
假日快捷宾馆,,04572146000,
瑞奇楼招待所,,13804843316,
村里人家,,15245771774,
寻北e栈,,13352598221,
林大宾馆,,13845709367,
吉祥人家老妈农家院,,13846573188,
金都宾馆,,04576108828,13045266266
书香园宾馆,,15245761101,
迎宾宾馆,,04573515068,8961768
欣悦客栈,,13624571665,
林缘农家院,,13555081201,13555098359
丰成山庄,,04572856666,
富乐旅店,,04573613487,13845744678
大白山宾馆,,04573433666,
福之源宾馆,,04573510222,
江缘家庭宾馆,,04573566699,
大兴安岭地区乡村农家院,,18704579686,
北极冰蓝莓酒庄（总店）,,18945705661,15714677333
驿站山庄,,13846566812,
凤和缘旅店,,04573668883,
行者驿站青年旅舍（繁荣巷店）,,13504561071,
行者青年旅舍,,13504561071,
漠河小鱼户外俱乐部快捷宾馆,,13089921806,
富临宾馆,,04578996000,
小木屋宾馆,,13845702166,
慢时光青年旅社,,15645706555,
国秀宾馆,,04573645999,
一方砚客栈（北陲市场店）,,15094611988,18701479697
煤矿张家店友佳旅店,,04573519038,
鹏晟商务宾馆,,04578932222,
金冠人家家庭宾馆,,15245771317,
凯悦宾馆,,04573612222,
霞媚日租房,,13604870698,
客家宾馆,,18714571999,
保护局宾馆,,18645725099,
川娃子农家院,,18845745513,
驿缘宾馆,,04573611166,
人合宾馆,,04573505100,13604870005
喜来登旅馆,,13845726060,
祥和农家院,,13555072513,
建华旅店,,13845777230,
腾通旅店,,04572811881,
图强宾馆,,18804576486,
渔江春农家院,,04572826441,
老地方农庄,,15094617004,
北极民宿,,13845781676,
吾友日租房公寓,,18814570867,
东哥宾馆（三店）,,13555081855,
乌苏里卡伦小镇别墅1号院,,04572855632,13136701288
俺家地窨子宾馆,,13945701115,
东哥宾馆（二店）,,13555081855,
兴安岭招待所,,04573692888,
长城宾馆,,04572118889,
华融旅店,,13846550111,
畜牧招待所,,04573511777,
站前快捷宾馆,,15245773888,
京都宾馆,,04573619995,13555483992
家悦快捷宾馆,,04573667797,
优雅旅馆,,04573509290,
鑫通旅店,,04573183131,
凯宾旅店,,04573613468,
呼玛美玲客栈,,18714579966,
漠河驿站,,04578920706,
白鹤宾馆,,04573641333,
鸿跃宾馆,,04573508777,
双悦招待所,,04573658777,
北尚宾馆,,04572883818,
北极村喜庆农家宾馆,,04572885989,
北极村未名农庄,,15094617077,
龙腾宾馆,,04572850999,
鹏鑫旅店,,13845740477,
春城旅店,,04573512329,3515725
禄乔快捷酒店（北极路店）,,04572888517,13845741691
28号知青别墅公寓,,04572822226,
龙源宾馆,,04573626666,
洁雅旅馆,,04573567000,
塔河宾馆（永乐路店）,,04573630001,
松苑绿色宾馆,,04572816000,
鑫良缘宾馆,,04572813333,
如家招待所,,04573695000,
鑫岩宾馆,,04572873222,
祥云旅店,,04573439778,
金海棠宾馆,,04573534689,
家园宾馆,,04573534590,
福顺家庭宾馆,,13284570909,
顺达兴旅店,,04573607879,
龙凤时尚快捷宾馆,,04702739997,
龙滨旅店,,13555086297,
悦隆旅馆,,04572817078,18714576210
天和宾馆,,04573563399,
雪花旅饭店,,13845782978,
宏鑫商务宾馆,,04573671188,
北极村吉祥客栈,,13845701335,
朋来缘客栈,,13624571609,
大兴安岭漠河小周旅游宾馆,,13846569072,
北极村农家院（分店）,,15094617617,
呼中金马饭店,,04573438006,
金山旅店,,04572196988,
客运旅店,,04573516933,
北极星旅店,,04572888115,
财政招待所,,04572884493,
金雨旅馆,,04572886769,
明苑宾馆,,04572883032,2814777
吉街家庭宾馆,,15245761101,
北极村潘家小院旅馆,,04572885989,
今盛缘时尚宾馆,,04573645555,
水电招待所,,04578981993,
北极圣源宾馆,,045715904574,15904574884
金红农家院,,045715094617,15094617004
保险招待所,,04573127666,
富华宾馆,,04573688868,
鑫东方酒店,,04573606555,
鑫海宾馆,,04572854666,15804572677
吉街别墅区,,15245761101,
鑫安招待所,,04578941472,
北红村最北龙江客栈,,13555092492,
大伟自助游俱乐部客栈,,13555093169,
特汇宾馆,,04572885688,
北极村客来居快捷酒店,,13614577967,
宏霞客栈,,15094617004,
田江旅店,,13845739394,
漠河庆治农家饭庄,,13904572646,
爱家宾馆,,04572149905,
金满客栈,,13555070859,
北苑宾馆,,04573656777,
最东客栈,,15094617004,
加格达奇鑫华快捷旅馆,,13329379995,
老刘客栈,,15945708531,
北极星宾馆,,04573630111,
清真楼旅店,,04572882007,
佳鑫宾馆,,04572870666,
仙鹤楼招待所,,13845733080,
福龙宾馆,,04573696618,
刘师傅客栈分店,,13304571998,
金都大酒店,,04573511058,
漠河东哥青年旅舍（一店）,,13555081855,
北极村丽山庄（园）,,04572826196,
天园宾馆,,04572885378,
兴业旅店,,04576676989,
联达货运招待所,,04573667866,
宏宇旅店,,04573514048,
小杨驿站－找北,,15204571865,
假日宾馆,,15245753938,
北极村缘来客栈,,13845781754,
家兴旅馆,,04578982808,
中亿军招宾馆,,04702144888,
找北宾馆,,04572889468,
驿站,,13845741132,
北极假日宾馆,,04572862222,
八一宾馆,,04572168181,
金马快捷宾馆,,04573156666,
福顺家庭宾馆,,04573513188,
