姓,名,家庭手机,工作手机
盛华快捷宾馆,,05548680588,
夜涩主题宾馆,,05548899605,
车友宾馆,,05548111888,13705547901
金缘阁宾馆,,05548558588,
美霞旅馆,,05548619937,
008商务宾馆,,05548310222,
曹庵宾馆,,13855411861,
意顺快捷宾馆,,05548398688,
银凤楼,,05548989333,
金福源快捷宾馆,,05548238777,
林鑫商务酒店,,05548887666,
沁园商务宾馆,,05548882099,
梦吧网络宾馆,,05548885338,
亿联新画面连锁酒店,,05548918001,
拉菲酒店,,05548880666,
诚信旅馆,,18255457086,
岸香怡景宾馆,,05548556666,
皇冠花园假日酒店,,05548889999,
一路同行商旅酒店,,05548916288,8916299
威斯汀假日酒店,,05548898888,
格林豪泰快捷酒店（凤台中山北路店）,,05548898998,
良子宾馆,,18715546116,15955404456
睡吧宾馆,,05548333555,
凯斯勒国际酒店,,05548229999,
飞程宾馆,,05548271715,15955482733
茶花宾馆,,05548017666,15956670267
客来馨宾馆,,05548444629,
凤台电厂人和旅馆,,18255459333,
凤台国际饭店,,05548685788,8685555
紫云楼会所,,05548277777,
胜芝长城大酒店,,05548018888,8018999
翊丰宾馆,,05547100788,
兰雅宾馆,,05548687866,
金盛商务会所（客房部）,,05548646666,
花莲大酒店,,05548975888,
三子快捷宾馆,,05548915929,
缤果主题宾馆,,05548889000,
海鲸宾馆,,05548629191,
群星大酒店,,05542310669,
绿岛快捷宾馆,,05548880088,
闲居宾馆,,05548686582,8687866
毛集新睿商务宾馆,,05548263888,
如意旅馆,,13625549904,
CC主题宾馆,,05547106666,
鸿祥商务宾馆,,18355449880,
康泰宾馆,,05548262626,
118宾馆,,05542310111,
108时尚宾馆,,05548015666,
新家园宾馆,,05548617333,
凤城宾馆,,05548015555,
幸宜酒店,,05548990799,
金旺角宾馆,,05548211388,
青玉轩宾馆,,05548235566,
百嘉宾馆,,05548396999,
碧连天宾馆,,05548167888,
909商务宾馆,,05548886555,
玫瑰红大酒店,,05548619829,
正祥商务宾馆,,05547102111,
华之都宾馆,,05548688987,
华兰宾馆,,05548625618,
奥蓝宾馆,,05548890777,
蓝泥湾快捷宾馆,,05548889588,
锋庆宾馆,,05548611888,
老寿星大酒店,,05548163999,
都市风情宾馆,,05547106999,
洪福招待所,,05547107669,
祥福旅社,,05548612008,
鑫港宾馆,,05547107999,
振华旅社,,05548621509,
候车旅馆,,05548614249,
格美商务酒店,,05548997999,
安润宾馆,,05548895777,13956463111
蓝豪宾馆,,05548612344,
金龙泉商务会所,,05548011888,
鸿源快捷宾馆,,05548398880,
朋客宾馆,,05548564316,
小味鲜酒店,,13966454666,
林亚招待所,,05548619503,
八一商务酒店,,05548886929,
天翼宾馆,,05548010636,13909645194
胜帅宾馆,,05547110688,
鹏源商务宾馆,,05548228222,
宜家宾馆,,15155437567,
江淮旅馆,,18119523105,
瑞东商务宾馆,,05548113699,
金淋雨休闲会所,,05548552111,
粮宏大酒店,,13956464832,
金凤宾馆,,05548618672,
安梦宾馆,,13855457880,
馨莱宾馆,,05548161618,
花园宾馆,,05548684666,
凤桥旅社,,05548977722,
凤淮宾馆,,05548619265,
大同旅社,,05548612448,
红宝宾馆休闲会所,,05548233332,
吉祥酒店,,05548391673,
春天大酒店（淮滨东路店）,,15505545405,
天上人间宾馆,,15655474126,
海鸣宾馆,,05548982399,
