姓,名,家庭手机,工作手机
松江河家庭旅馆,,15043985285,
长白山参花旅馆,,13843934679,
新华宾馆,,04396255668,400833-6699
长白山吉晟宾馆,,04396333288,
枫林时尚宾馆,,04396338897,
桔子宾馆,,04396224111,
枫林宾馆,,04396867555,
金朗时尚宾馆,,04395070577,
万山莲起旅店,,04395079617,13894021644
长白山8090时尚宾馆,,04396318090,
长白山九洲宾馆,,04396557333,
长白山通达宾馆,,04396688888,
浩然宾馆,,04396557755,
长白山颐居宾馆,,04396178989,13943954717
长白山星月宾馆,,13644498032,
顺达宾馆,,04396379999,
原始部落宾馆,,04396553282,
威龙宾馆,,04396238999,
时光驿青年旅舍,,18525473833,
足迹时尚旅馆,,13894025995,
鑫琪宾馆,,04396173977,13843939307
长白山大饭店,,04396230789,
长白山尚国际青年旅舍,,18743979996,
西苑宾馆,,04398941999,
聚鑫旅馆,,04396310989,
金地迎河旅店,,04395079807,
明珠宾馆（松林大酒店店）,,04396335555,
抚松雅居宾馆,,04396364999,13804498867
东升海澜旅店,,04395079705,15944940359
天马宾馆,,15944949256,
金德瑞时尚宾馆,,04396867666,
长白山狩猎度假区客房,,04396129688,
新贵族宾馆,,04396615267,13894028955
长白山龙江宾馆,,15604333756,
长白山松花江宾馆,,04396327555,
丽艳旅馆,,04396217442,15143906781
高山假日宾馆,,13943953192,
长白山星河宾馆,,04396179126,
福地假日宾馆,,13843936379,13943953192
长白山天沐戴斯温泉酒店,,04395103555-8555,5025333
长白山锦江宾馆,,04396328888,
长白山舒馨旅馆,,18743989966,
长白山凯悦酒店,,04396981888,6121234
天池水山庄,,04398767023,
福地之旅,,04396333998,
松峰旅馆,,04395076150,
松江河林业宾馆,,18643946508,
长白山万达宜必思尚品酒店,,04396983666,6983626
宜家时尚入住店,,13843936577,
长白山汉拿山温泉酒店,,04396985333,
云霞小镇度假公寓（长白山北纬店）,,15943932020,
东润时尚宾馆,,04396555566,
富隆源宾馆,,04396680999,
西麓酒店公寓,,15143991007,
长白山丁香1公寓,,15943934465,18643962205
沃尔斯宾馆,,04395012999,
星期五时尚宾馆,,04396336000,18743985666
鹿鸣时尚宾馆,,15944953686,
金福宾馆,,04396636777,
长白山老马公寓,,18743979996,
好家宾馆,,04395100909,
鹏缘商务酒店,,04396529999,
格林快捷宾馆,,04396866666,15843911789
蓝天旅馆,,13894029553,
棒槌鸟休闲宾馆,,04396576222,18443506333
合顺宾馆,,04395065111,13664398490
万合时尚旅馆,,18743988221,
东北宾馆,,04396176666,6322747
松乡宾馆,,04396366111,13943972777
天成时尚旅馆,,15943959175,
东方时尚宾馆,,04396884888,18643960186
抚松欧林假日宾馆,,13943958728,18343901186
聚兴源旅馆,,13664491710,
白桦林小宾馆,,15304396977,13843936351
朝韵酒店,,04396571777,15043948000
蓝天宾馆,,15844928666,
长白山御景假日酒店,,04396687777,
马迭尔时尚旅馆,,15943952269,
长白山蓝景花溪酒店,,13674493861,
祥瑞度假别墅,,18843911511,
滑雪度假公寓,,15944949923,
嘉园旅店,,15043921231,
三江宾馆,,15048502769,
松江河圣山宾馆,,04396336666,
长白山天顺大酒店,,04396310666,
抚松途家斯维登度假公寓（北纬41度店）,,04396107272,
长白山悠游公寓,,18643942820,
