姓,名,家庭手机,工作手机
燕京旅馆,,15234659333,
凯悦快捷酒店,,03563268888,
唯爱主题酒店,,03565858999,
重庆大酒店,,03565243633,
铁东招待所,,03565297088,18335601499
星光旅馆,,03565244877,13133364517
四季旅馆,,15135617222,
龙城宾馆,,03565232228,
福来顺休闲会所（客房）,,03563232606,
羊头山景区宾馆,,13513561877,
君悦大酒店,,03565929999,
九龙大酒店,,03565244229,5244239
H精品酒店（高平店）,,03566908866,6908855
TH精品主题酒店,,03565280088,
嘉美快捷酒店,,03562298888,
如家睿柏.云酒店（高平丹河路店）（原长平商务会馆）,,03565858888,
丽然旅馆,,13935634299,
德福旅馆,,15935067658,
今祥商务宾馆,,03566906666,5227777
雅园快捷酒店,,03565886688,
忆家宾馆,,03565227776,13203563232
霖杰宾馆,,03565295588,
朝阳旅馆,,13994720111,
绿茵生态园,,03565892800,13453638399
绿晶宾馆,,03565220299,
三巷旅馆,,03565223692,
康隆旅馆,,13096553778,
银河快捷酒店,,03565881188,
佳苑宾馆,,03565921578,
馨雅旅馆,,03565921807,15635678990
天景宾馆,,03565280099,
高平澳林大酒店,,03565926888,5926999
三叶草客栈,,03565921480,13753688181
清水湾休闲会所,,03565250777,
粮苑宾馆,,03565224840,
交通宾馆,,03565239688,
红星旅馆,,03566915352,
昔日情怀时尚酒店,,03565291222,5297333
九龙世纪会所酒店,,03565244229,
秦庄快捷酒店,,03566901777,
逸龙大酒店,,03566905555,6905999
白云旅馆,,03565220418,15513567279
金都宾馆,,03565224845,
啸云大酒店,,03565224222,
麒麟大酒店,,03562266000,5860666
太行快捷酒店,,03566908077,
金地宾馆,,13453630233,
高平宾馆,,03565241039,
龙圣大酒店,,03565287888,
广场旅馆,,03565284262,
广秋旅社,,03565229072,
南湖人家商务休闲苑宾馆,,03565921539,
翔云旅馆,,13233466263,
老兵旅馆,,03565222293,
佳易旅馆,,13835613699,
谊仙商务,,03565289777,
茂盛旅馆,,03565221512,
桃苑宾馆,,03565249777,
友谊宾馆,,03565242808,
米山镇忠江旅馆,,03565842707,
长影招待所,,03565244555,
微星旅馆,,03565225991,
文明旅馆,,03565225162,
天惠旅馆,,13191267357,
金坤旅馆,,03565226251,
城北旅馆,,03565242204,
云帆旅馆,,03565228581,
华阳旅馆,,13835638096,
市场旅店,,03565228634,
鼎鼎旅店,,03565227252,
古城浴池旅馆,,13935626820,
永凌旅馆,,15934064883,15235623328
豪鑫旅馆,,13835637302,13100164696
昌盛旅馆,,03565224872,
恒宇旅馆,,03565221983,
鸿薪旅馆,,03565246611,
腾飞旅馆,,03565227011,
如意来旅馆,,03565220266,
