姓,名,家庭手机,工作手机
鸿润旅馆,,07757838838,
华理宾馆,,07754220708,4220707
东湖公寓,,13377367793,
瑞发大酒店,,07757826480,7812308
明兴大酒店,,07754202268,4202188
精通酒店,,07756031888,
尚有房旅馆,,13788662058,
阳光宾馆（港宝店）,,07752921198,13768156953
朗家花园式平价公寓,,18070970608,18074885300
喜来登宾馆,,07752934092,
上上精品酒店,,07754590012,
柏丽大酒店,,07757838888,
大起旅馆,,07753327637,
泉宝宾馆,,07752922268,
嘉和大酒店,,07752922666,
凯度便捷酒店（原粮食大酒店）,,07754522000,13978548652
银恒精品公寓,,07754201866,
都市假日公寓酒店,,07754228288,
友园宾馆,,07756791738,
万福楼旅馆,,07757837268,
现代便捷酒店,,07757980988,
鸿鹏宾馆,,07757839588,
港珠宾馆,,07752931788,
德安商务酒店,,07753338088,
永平宾馆,,07757835088,
唐人街公寓酒店,,07754242122,6780833
浪漫制造酒店,,07753336000,15577566600
鸿雁宾馆,,07757861688,
生活港假日宾馆,,07752913688,2913108
99旅馆连锁（桂平西山店）,,07753388333,
郁江宾馆,,07754590888,
朝洋酒店,,07753336655,
鑫铭宾馆,,07754220588,4256366
世达宾馆,,07757832288,
吉祥城市便捷酒店,,07756790868,6791198
华逸酒店,,07752986998,
欧啦啦精品酒店,,07754215555,
宾悦便捷酒店,,07757698999,
龙潮宾馆,,07754582839,
雅斯特酒店PLUS（贵港桂平西山店）,,07753369933,3369966
嘉和便捷酒店,,07752919333,2919338
雄华宾馆,,18178004379,
怡景宾馆,,07754268788,
广汇商务酒店帝豪娱乐城,,07756787988,
牧羊人时尚酒店,,07752930999,
卧龙居宾馆,,07757850222,
和蔼大酒店,,07757981888,
友缘宾馆,,07752933188,
阁柠商务酒店,,07755959188,
舒豪宾馆,,07752933988,
天成商务酒店,,07752995888,
贵港国正酒店,,07754358666,
龙翔宾馆,,07752935678,
仁安宾馆,,07753509288,3509038
沃顿连锁酒店（荷城店）,,07754220899,
都市118连锁酒店（桂平沙岗路店）,,07753399399,
万洋短租公寓,,07757866728,
江华宾馆,,07754342938,
艾丽酒店（凤凰一街店）,,07754228088,18078572203
英特酒店,,07752912266,
摩登酒店,,07753388822,
宜家客栈,,07753377778,13788454832
天河商务大酒店,,07756058000,
桂苑酒店,,07754572222,
嘉耀商务便捷酒店,,07754277588,
欧琳帝精品酒店,,07754216666,
金龙宾馆,,07754211880,
L印象酒店,,07754851588,2939988
金莎假日酒店,,07754728898,
比特花园酒店,,07753370000,3373333
极度私人公寓,,07754231788,
壹号便捷酒店,,07754235588,4233777
雅斯特酒店（贵港中央广场店）,,07756802666,
新天骄酒店,,07754216088,
沃顿连锁酒店（桂贵路店）,,07753369088,
城市便捷酒店（贵港唐人街店）,,07752939999,
城市便捷酒店（贵港世纪广场店）,,07752939666,2939888
银丽苑商务酒店,,07757701688,
贵港叮当酒店公寓,,18177595267,
城市便捷酒店（贵港中山高铁站店）,,07754368111,
皇冠假日宾馆（贵港店）,,07754256688,4533388
皇冠假日国际酒店,,07753325555,
明珠酒店,,07754202488,
华信商务酒店,,07757866888,
维也纳国际酒店（贵港荷城路店）,,07755958888-0,
她他连锁酒店式公寓,,07754570606,15578503053
汇笙酒店,,07753366606,
滨湖商务宾馆,,07754277188,
三叶草假日酒店,,07756766699,
港腾商务酒店,,07754205488,4521488
桂平宇鸿商务大酒店,,07753367388,
金湖精品商务宾馆,,07754660088,
索特来文艺酒店（桂平凤凰店）,,07753393988,
城市便捷酒店（贵港平南城湖路店）,,07757868000,
捷登宾馆,,07754878889,
连子公寓,,15277606100,
联邦酒店公寓,,07756780833,18078004202
阳光主题欧式酒店公寓,,07754365792,18978585710
明悦大酒店,,07754568666,
龚州公寓,,07752988988,
阳光99连锁酒店（火车站店）,,07755902999,5905901
维也纳酒店（贵港中央广场店）,,07755918888,
南部都市商务酒店,,07754327188,
三月花酒店,,07754367188,
庆隆居旅馆,,07757933668,
百盛旅馆,,07753568208,
新源便捷酒店,,07755950888,
贵港富苑宾馆（汽车西站店）,,07754299668,
新天地假日酒店,,07753387899,
盛湖便捷酒店,,07757928368,15622298757
俊美国际大酒店,,07752773888,2775588
沃美酒店,,07752932888,
悦顺旅馆,,07757839228,
金景湾商务酒店,,07757836668,
胜利宾馆,,07752998111,
新世纪酒店,,07757738999,
自家酒店,,07754211555,
保时达酒店,,07754236688,4352888
吉田酒店,,07754928888,
雅图便捷酒店,,07756766388,
华庭便捷酒店,,07752988088,
宇源连锁公寓（华泰官邸店）,,18078771526,
宜居精品酒店,,07753390378,3383355
安美商务酒店,,07757776668,
金灿旅馆,,07754322018,
白天鹅酒店,,07754586888,4585999
京华旅馆,,07757838008,
大藤禅境文化酒店,,07753361888,3363666
广西贵港文华凯莱大饭店,,07752930888,2920888
尚客优连锁酒店（桂平西山景区店）,,18070958288,
天天公寓,,07757860683,
丘比特主题酒店,,07754220988,
金龙大酒店,,07753368112,
红阳宾馆,,07757830508,
华联商务大酒店,,07753369888,
璟汇商务宾馆,,07756791777,15807858090
凯悦宾馆,,07754296989,4296016
大唐文化酒店,,07752920668,
迎宾馆,,07757637922,
城市便捷酒店（桂平凤凰店）,,07753369588,
历山旅馆,,07753331373,
玫瑰假日酒店（西江农场店）,,07754275999,
悦宇宾馆,,07757638016,
花果山庄,,07754782368,
云翔宾馆,,07754550880,
皇都商务酒店,,07753555888,
尚堡时尚酒店,,07753369008,
迎君宾馆,,07754579889,
梦想湾便捷酒店,,07757831188,
君澜宾馆,,07757688999,
喜相逢酒店（分店）,,07754213888,
煌嘉商务大酒店,,07753393388,2488000
圣展酒店,,07752918988,
玫瑰假日酒店（荷城路店）,,07756790888,
君悦商务宾馆,,07753333322,
布迪便捷酒店,,07756766668,6766667
温港旅馆,,07754296080,
聚一聚宾馆,,07754554378,
左右咖啡（船厂店）（客房部）,,07753376320,
恒通旅馆,,07753399900,
鑫盛宾馆,,07756799099,
众悦宾馆,,07753508868,
喜相逢宾馆,,07753338866,
华悦商务酒店,,07754520188,
湖畔人家旅馆,,07754211358,
喜相逢商务酒店（国际生活港店）,,07752931698,2913666
阳光99连锁酒店（石羊塘店）,,07755966999,
