姓,名,家庭手机,工作手机
纵恒宾馆,,04555585588,15860969444
万豪宾馆,,04555568888,
尚都宾馆,,04555886000,13836445872
康隆小宾馆,,04555565959,13704555959
海政快捷宾馆,,04555537999,
坤城商务宾馆,,04555814444,
18°阳光主题宾馆,,04555588777,
天源宾馆（总店）,,04555061111,
天源宾馆（二店）,,04555766668,
春天连锁宾馆,,04555014444,
金巢时尚宾馆,,04555866789,5876789
鼎城时尚宾馆,,04555552555,
益源宾馆,,04555853999,
万隆快捷宾馆,,04555866666,
东都商务宾馆,,04553585111,
辉煌快捷宾馆,,04555765333,18945516660
海伦帝豪宾馆,,04555589988,
海伦苹果宾馆,,04555018333,
壹号公馆,,04555555522,
春满旅馆,,04555738188,15694553499
秀水假日酒店,,04555097666,5098666
康旭宾馆,,04552987777,
金源商务宾馆,,04555046789,
皇冠假日主题宾馆,,04555052222,
永洁旅店,,18724354445,
天意宾馆,,04555042666,
凯悦快捷宾馆,,04556699444,18045520220
鑫禹快捷宾馆,,04555568222,15636916522
锦源旅馆,,04555783766,15146523766
凯韵快捷宾馆,,04555898000,13704555558
丰缘旅馆,,04555045566,13945540703
福泰园旅馆,,04555723788,
盛世年华快捷宾馆,,13674552534,
怡人主题旅馆,,04555563399,
美好家园宾馆,,04555019999,5750505
盛翔快捷宾馆,,04555013999,13624555333
航天快捷宾馆,,04552703201,
德粮大酒店,,04555055555,
胜龙时尚宾馆,,04555894444,
海伦鸿福家庭式宾馆,,13089948567,
鼎盛便捷旅馆,,04555849777,
爱尚快捷旅馆,,04555763443,
福隆旅店,,15765782000,
佳佳林快捷旅馆,,04555837000,
福客轩休闲旅馆,,15845064114,
天吉旅馆,,15946113434,
情缘时尚旅馆,,04555751688,
日鑫旅店,,04555578777,
仔凤旅店,,04555012222,
桃花源旅店,,15846676332,
三缘旅店,,04555765638,
大犇旅馆,,13125953344,
纳英旅店,,04555766698,
天鑫旅店,,04555720685,
众源旅馆,,04555793188,
阳光旅馆,,18245839333,
泽韵旅馆,,04555888588,
佳梦旅店,,04555577000,
同福旅店,,04555790876,
新亚旅馆,,04555768576,
社区招待所,,15945546636,
万明旅店,,13614554587,
欧雅旅馆,,04555755088,
中缘旅店,,15046526958,
雅阁旅馆,,04555760033,
嘉旭旅馆,,04555792166,
隆腾旅馆,,04555588855,15045568850
家丽旅店,,15145715270,
新华旅店,,13836409349,
金鑫便捷旅馆,,15184536958,
隆源旅店,,04555750408,
友来旅馆,,15945522266,
宏杰旅店,,04555733335,
金灿旅店,,15845549328,
鑫果旅店,,04555747373,
同来顺旅店,,04555768800,
雅阁旅店,,04555760033,
润源旅馆,,13763791121,
静鑫旅馆,,04552816363,
嘉荟旅馆,,04555790078,
馨逸宾馆,,04555754555,
众源旅店,,04555793188,
天禧宾馆,,04555813888,
仔风旅馆,,04555012222,
凯盛快捷宾馆,,04555546666,
鑫淼旅店,,15214505730,
雅居快捷宾馆,,15636630333,
缘媛时尚旅馆,,04555586333,
合鑫旅店,,04555570666,
小敏旅社,,04555742600,
嘉鑫旅馆,,04555018000,
天浩便捷旅店,,04555034666,
驿家旅馆,,04555781066,
小房子旅馆,,04555739978,
金韵旅馆,,04555773322,
鸿运旅店,,04555728750,
海伦广宏旅店,,13845582488,14784651392
鑫隆旅馆,,04555582777,
天和旅馆,,04555556111,
佳韵宾馆,,04555042222,
贸易宾馆,,04555739969,2832555
明珠宾馆,,04555799222,
鑫达旅店,,04555555555,
金豆大厦,,04555744888,
幸福老年公寓,,04555780505,
千隆宾馆,,04555522244,5822999
俊杰时尚快捷宾馆,,04555054999,5844567
意隆快捷旅馆,,04555558666,
七日旅店,,04555552223,
金嘉园渡假村,,04555020000,
鸿益旅馆,,04555750489,
通源舒适旅馆,,04555799066,
禧隆宾馆,,04555766668,
幸福宾馆,,04555726338,
乐安居旅馆,,04555551111,
居来福旅馆,,04555066111,
嘉尚快捷旅馆,,04555557222,
海派时尚快捷旅馆,,04555899777,
鑫旭旅店,,04555779333,
金满圆旅馆,,04555722227,
新阳旅馆,,04555791600,
希望旅店,,18245503648,
锦绣旅店,,15046527759,
比家美旅店,,13614557455,
日新旅店,,04555578777,
鑫悦旅店,,04555799009,18245837778
海燕旅店,,04555760048,
双盛旅店,,04555013666,
鑫客源快捷宾馆,,04555757000,13836444934
华玉旅店,,04555816688,
海铁家园旅馆,,04555019998,
佳馨旅馆,,04555566111,
金城旅馆,,04555883999,
东市场浴池旅店,,04555792988,
鑫鑫旅店,,13136913339,
裕隆旅馆,,04555532000,
宏达旅店,,14784651388,
绿海招待所,,04555740011,
坤达旅店,,04555752789,
东方快捷旅馆,,04555560999,
客运招待所,,15774569922,
嘉荟旅店,,04555790078,
保险宾馆,,04555735885,
益客快捷旅馆,,04555046777,
宏丰客栈,,04555720444,
天麒居家旅馆,,04555554333,
恒发宾馆,,04555018888,
振兴快捷旅馆,,04555884444,
会鑫聚快捷旅馆,,04555516111,
晨枫旅馆,,04555053456,
秀水宾馆,,04555749000,
好再来旅馆,,04555075000,
金叶旅店,,04555750775,
站前招待所,,04555792899,
