姓,名,家庭手机,工作手机
鑫爱宾馆,,18696616939,
小苹果主题酒店,,02385133777,
濮福宾馆,,02342876255,
寓江楼商务酒店,,02342710988,
银城宾馆（交通街店）,,02342826777,
家园酒店式公寓,,13594357285,
天子宾馆,,02342712111,
2046主题公寓,,13372627699,13996214918
滨海商务宾馆,,02342867588,
星期八宾馆,,02342882838,
学府中央宾馆,,02342897798,
栖臣宾馆,,02385187739,17783255938
IU酒店（重庆合川瑞山路塔耳门广场店）,,02342835588,42879888
重庆义乌商务酒店,,02342669666,
尚层酒店,,02342870222,
7天连锁酒店（重庆合川汽车中心站店）,,02342852777,
外滩商务酒店,,02342739999,
金瓯酒店,,02381661966,81661988
华君商务酒店,,02342665566,
棕榈岛酒店（步行街店）,,02385136999,
IU酒店（重庆合川步行街大润发店）,,02342817088,
合州大酒店,,02342820666,
阿富尔连锁酒店（合川环球广场店）,,02342666168,17774946839
骏怡连锁酒店（重庆步步高财富广场店）,,02342880988,42880899
都市118精选酒店（重庆合川财富广场店）,,02342668866,
520主题酒店（合川店）,,02342611520,
阿富尔连锁酒店（东方店）,,02342666192,17783065793
怡莱酒店（重庆合川汽车客运中心店）,,02342824888,
缤果城酒店,,02342838877,42871788
优优家庭公寓,,18523780773,
卡洛城市酒店,,02342821888,
帝臣花园酒店（四季君澜合川大学城店）,,02342587777,
铂金环球精品酒店（合川汽车站店）,,02342586888,
重庆欧典精品商务酒店,,02342819800,18523809678
汝家小院酒店公寓,,18677332845,13811128117
源清主题酒店,,02342666766,
美穗宾馆,,13502820797,
盛家宾馆,,02342840968,
君逸假日酒店,,02381661888,42839566
美宁酒店式公寓,,17358301745,
重庆宝龙戴斯大酒店,,02342589999,
北方宾馆,,02342837298,
竹园小屋旅馆,,18996105336,
天子酒店,,02342823888,
艾娜公寓,,13098766295,
企鹅公寓,,15213180774,
微爱情侣主题公寓,,17316724688,
合川区恋如家酒店,,02342588088,
移通茶苑客栈,,15213603544,
蔚泰酒店,,02385181666,
重庆蓬莱客栈,,02342606699,
明君宾馆,,02342572375,
暖心·公寓,,18375795707,18996214723
润兰旅馆,,02342822745,
恩爱公寓,,18883872764,
唯美印象,,18084075207,
如家快捷酒店（重庆合川步行街店）,,02342812888,
8090青春公寓,,18883886346,
一家人酒店,,02342855943,
重庆文悦（法国）度假酒店,,02342588888,
重庆前方商务酒店,,02342860111,
e站酒店式公寓（北汽银翔城店）,,02342669898,17723971688
金龙酒店（体育馆店）,,02385139988,
宝贝湾日租,,18084075207,
红翡翠时尚酒店,,02342730108,15123378118
俊龙旅馆,,18983350866,13696477714
晴天公寓,,15123899400,
平米酒店式公寓,,13527554144,
天天日租,,18232302717,
君临商务宾馆,,02342885233,
恭州大酒店,,02385135888,
蜗居公寓,,18202332717,
爱里公寓（缤果城店）,,18883886346,
涪江宾馆,,02342829129,
盛世商务宾馆,,02387101710,
爱情公寓（缤果城）,,18723061665,
汉庭（重庆合川行政中心店）,,02342818666,
小资公寓,,18323287552,
臭干子酒店式公寓,,13114009018,
米兰时尚酒店（金马MINI时代店）,,02385138168,
三十三天公寓,,13096985201,
圣瓦伦主题酒店,,02342460920,15086667664
栖梦湾公寓,,18102322834,
方缘宾馆,,02342868626,
庭苑商务宾馆,,18184781568,
凹凸家庭公寓,,18883354702,
龙天怡尚酒店,,02342827888,
书香商务宾馆,,02342861181,13752835347
上轩酒店,,02342592666,
友缘山庄,,02342752211,
重庆合川华地王朝华美达广场酒店,,02385136666,
南城宾馆,,02342705336,
天天酒店式公寓,,15923396668,
彩虹商务宾馆,,02342838798,
爱里公寓（mini时代店）,,18883886346,
安兴宾馆,,15123146038,
天芝恋商务酒店,,02342868816,
独家公寓（大学城店）,,18996216837,
君悦宾馆,,02342819219,
Plosion青年酒店式公寓,,13452428130,
天然居宾馆,,02342832786,
梦美宾馆,,02342898906,
云徒公寓,,15520018324,15736447906
星期六驿站,,15922699144,
景鑫商务酒店,,02342865998,15922727267
龙凤缘商务宾馆,,02342819188,
派大星公寓（大学城店）,,18580967605,18883261486
华美家酒店,,02342853188,
茂亿商务酒店,,02381660277,
君爱酒店,,02342831313,
喜悦酒店,,02342819777,42819007
锦豪宾馆,,02342828608,
蓝金·鑫钻商务酒店,,02387108333,42615615
西格曼酒店,,02342850111,
微爱公寓,,18523120012,15823076708
华府酒店,,02342876999,
微忆酒店式公寓,,15696117286,
爱尚公寓,,18883121313,
君安商务宾馆,,02342850978,
得月楼宾馆,,02342820530,
江州宾馆,,02342863333,
金林宾馆,,02342841598,
南方宾馆,,02342825222,
亦君宾馆,,02342588801,
地久宾馆,,02342712111,
回龙客栈,,02342561999,15215070888
广润商务宾馆,,02342738888,
君临商务宾馆（重庆二店）,,02342812988,
喜气洋洋宾馆,,02342891008,
雅居客栈,,02342716633,
立信酒店式公寓,,02342881111,18223145350
鸿泰宾馆（重庆合川店）,,02342884881,
爱丁商务宾馆,,02342849088,
温馨缘旅馆,,15320293106,
益家休闲宾馆,,02342890010,
168假日宾馆,,02342891326,
合都商务宾馆,,02342831818,
洋洋公寓,,15340506254,
鑫宇宾馆,,02342727698,
综贸宾馆,,02342826488,400833-6699
名翔酒店,,02342829199,
东邦花园酒店,,02342876188,
长兴宾馆,,02342834929,
锦城宾馆,,02342899802,
江城明珠酒店,,02364286666,
凯尊商务大酒店,,02342473888,
渠江农家乐,,15523318198,
加洲宾馆,,02342422229,
三洋大酒店,,400833-6699,
重庆别凡溪旅馆,,02342820420,
阳洲宾馆,,02385182728,17302331508
翰林旅馆,,02342893511,
威格城大酒店（滨江店）,,02342829608,42828368
今顺宾馆,,02342721133,
承畅宾馆,,02342820420,
鑫二马旅馆,,02342828909,13320359090
鑫马宾馆,,13389659090,
芙蓉宾馆,,02342731725,
维尼家庭公寓,,15123128228,
艾薇尔家庭公寓,,15823056262,
吉姆睿驰酒店,,13224011420,
艾易酒店式公寓,,13758150266,
怡园酒家旅馆,,02342413191,
龙天宾馆,,400833-6699,15823185957
治国宾馆,,15523533088,
田园居公寓式酒店,,15338620388,
去哪儿住公寓,,15696161325,
阳光宾馆,,02342421348,
梦幻花园酒店,,02381661919,18996017629
私人影院式主题酒店,,13648363671,
钓鱼城宾馆,,02342746777,
东方酒店,,02342690999,
川粮宾馆,,02342429223,
房兴宾馆,,02385132548,
龙城宾馆,,02342568688,
福源居商务宾馆,,02342850598,
凉缘宾馆,,02342826064,
滨江宾馆,,02342849799,
晶禧商务酒店,,400833-6699,13262126928
竹梦园宾馆,,02342887880,
杰邦旅馆,,02342737633,
水云轩公寓,,13368071874,
清风寨休闲度假村,,02342749988,
长鑫宾馆,,02342838878,
南津旅馆,,02342725966,
栖丫阳光宾馆,,18503519189,
美雅商务酒店,,18723055320,
宾爵日租公寓,,18584594009,
三块石旅馆,,02342821194,
聚贤庄,,13883262400,
长松旅馆,,02342848547,
