姓,名,家庭手机,工作手机
丹帝国际别墅酒店,,07523526666,
碧海住宿（黄金海岸店）,,18928305238,
西湖大酒店（惠阳店）,,3827999,3822996
天涯住宿,,18029985092,
豪景酒店,,07523825555,
青旅住宿公寓,,13542782217,
惠康旅店,,07523367073,
珈汇商务酒店,,07523912728,
丽丰商务宾馆,,07523919733,
惠州万客来酒店,,07525536888,18933239708
99优选酒店（惠州淡水高铁南站店）,,07523347888,
月亮宫大酒店,,07523727888,3727818
爱上山海主题客栈,,18948298880,
金港龙宾馆,,07525555679,
新洲宾馆（爱民东路店）,,07523872555,
百合公寓,,18818805708,
乐雅轩商务宾馆,,07523331918,
城市便捷酒店（惠州淡水高铁南站店）（原紫丽阁酒店）,,07523917333,18129698383
城市便捷酒店（惠州淡水高铁南站二店）（原好运来酒店）,,07523699111,
芝兰园酒店,,07523872999,
忘途客栈,,13528826862,
霞涌海月客栈,,13352991659,
纵横ADV驿站,,07523911873,18928375866
惠州优咖民宿,,5571623,18922861669
富达旅店,,13631963987,
乐家商务宾馆,,07523535909,
客欢旅店,,07523367575,
COCO公寓,,18902665867,
鲁惠宾馆,,07523822099,
维也纳酒店（惠州淡水白云路店）（原嘉豪酒店）,,07523056888-0,15820727561
朝阳客房,,13322621255,
鑫元商务酒店（演达店）,,07525952333,
开城大酒店,,07523252888,
金秋湖宾馆,,07523560258,18998106166
星空公寓,,07523366186,13827487880
福鑫住宿,,13421656198,
时代公寓,,18948569139,
嘉应大厦,,07523398806,
德兴商务公寓,,07523833393,
京都酒店,,07523303648,
日华大酒店,,07523872888,
家园时尚公寓（中博商厦店）,,07523800698,
新开心大酒店,,07523769838,
乐家酒店式公寓,,13825288281,
新冠宝酒店,,3119333,
金棕榈公寓酒店,,07525553838,5556118
基顿酒店,,07523382333,
南洋大酒店,,07523821188,
7天优品酒店（惠阳国际材料城店）,,07523535777,
惠鑫大酒店,,3333939,
富来乐酒店,,07523829333,
培根大酒店（原南湖大酒店）,,07523823388,
吉利酒店,,07523768885,15220703046
苏惠酒店,,07523368388,
金丰威尼斯酒店,,07523333329,
余公馆电梯公寓,,8493366,18129500988
鑫元阁林酒店（惠阳路店）,,07523835998,
麗枫酒店（惠州南站店）,,07523818318,
惠州圆点万豪酒店,,07523110818,13669560690
海逸酒店,,07523816688,
和泰宾馆,,18948236138,
尚客优快捷酒店（惠州惠阳中山一路店）,,07523500666,
7天连锁酒店（惠州大亚湾澳头店）（原7天阳光）,,07525587977,
尚客优快捷酒店（惠阳市政广场店）,,07523345699,
广成酒店,,07523818666,
维也纳国际酒店（惠州南站店）,,07523105888,
7天连锁酒店（惠州淡水好宜多开城大道店）,,07523365320,
维也纳酒店（惠州惠阳淡水店）,,07523836988-0,18026693303
家田园公寓,,07525571238,13642888619
