姓,名,家庭手机,工作手机
盛发宾馆,,18098775757,
鼎耀商务宾馆,,05646668555,
阳光快捷宾馆,,05646034789,
瀚城商务酒店,,05646016555,
舒雅大酒店,,05646887208,
蓼东快捷宾馆,,05646068555,
幸福商务宾馆,,05646063222,
7+1商务宾馆,,05646066777,13905649087
万豪宾馆,,13305640502,
金色阳光快捷宾馆,,05646068222,
安美特商务宾馆,,05646640888,
霍邱一家快捷宾馆,,05646078777,
胜富快捷宾馆,,05646024568,
龙迪商务宾馆,,05646646666,
紫荆花主题宾馆,,05646491668,15256402099
德重假日宾馆,,13035421999,
铮鑫宾馆,,13329237988,
明珠快捷宾馆,,05646495626,13966312000
东岳客栈,,05646037799,
动感商务宾馆,,05646556000,
叶集天成宾馆,,05646550567,
金领主题宾馆,,05646099555,
锦江商务宾馆,,05646588887,6588880
阳光之星商务宾馆,,05646030777,
森美源宾馆,,15656443930,
龙王宫商务宾馆,,05646660555,
东方之星精品宾馆,,05646077222,
祥顺宾馆,,05646021306,
壹加壹商务酒店,,05646396699,
会宾楼商务酒店,,18365511600,
家之都商务酒店,,05642778888,
霍邱县新店镇七天宾馆,,05646859888,
鹏程快捷宾馆,,05646015257,
风雅蓼城商务宾馆,,05646090222,
宇航宾馆,,18269802631,15905644588
城市之家连锁酒店,,05646080622,15212901667
皇家快捷宾馆,,05646453067,13170194666
高老庄商务宾馆,,05647251188,
亿龙商务宾馆,,05646551988,
强盛商务宾馆,,05646456123,
七巢精品酒店（霍邱店）,,05642775555,
龙潭凯悦宾馆,,05646731188,
蓼城假日商务宾馆,,05646069666,
合叶宾馆,,05646488089,
宜家商务宾馆,,05646267888,
双华徽商商务宾馆,,05642770666,
兴星商务宾馆,,05646760555,
五星宾馆,,05646027808,
四通鑫宾馆,,05646496131,
美佳商务宾馆,,05646755999,18712347757
尚客优连锁酒店（霍邱新商都店）,,05646012668,
长林商务宾馆,,05646944066,
鑫苑商务快捷宾馆,,05646062333,
正国宾馆,,05646088966,
安泰商务宾馆,,05646491808,18555886657
叶集鑫泰宾馆,,15855938526,
东方宾馆,,13685644019,
滨湖精品主题酒店,,05642776666,
蓼都国际大酒店,,05646081888,
金湖宾馆,,05646011922,2776000
霍邱县城关镇如家主题宾馆,,05642776999,
大江商务宾馆,,05646288999,
工商大酒店,,05646499222,
天都宾馆,,05647253999,
瑞鑫商务宾馆,,05646068789,6068999
格林豪泰快捷酒店（霍邱建兴路店）,,05642772222,
美丽家园商务快捷宾馆,,05646095888,
合力工贸宾馆,,15055971314,
金泊岸假日酒店,,05646886888,
夏威夷宾馆,,05646069888,
K8商务酒店,,05646288666,
金陵骨头煲,,05646667977,
鑫怡商务宾馆,,05646259999,
同庆宾馆,,05646019098,
雅迪快捷宾馆,,05646067555,
恒悦宾馆,,05646454369,
振海大酒店,,05646741393,
爱家商务宾馆,,05646288777,
江淮旅社,,05646741108,
叶集轩辕大酒店,,05646499222,15385941049
蓼城嘉利大酒店,,05646062888,
名扬商务酒店,,05646746966,
永友快捷宾馆,,05646741672,
金辰宾馆,,05646482111,
家园宾馆,,05646745999,
义江商务宾馆,,13956105122,
九龙宾馆,,05646496719,
宾都家园旅馆,,05646499915,
鑫鑫宾馆,,05646494825,
长城快捷宾馆,,05646023344,
春来乐酒店,,13856472226,
皖西宾馆,,05646491088,
静馨园快捷宾馆,,05646017088,6019831
皖西旅馆,,15856485190,
西山金云商务宾馆,,05646399588,
开元商务宾馆,,05642770999,
民丰酒店,,13733002502,
金凯悦商务宾馆,,05646457188,13581436768
家庭排档,,05646018058,
兴旺宾馆,,15212816311,
居家客,,15956457266,
荣盛小院,,18205640000,
红楼梦大酒店,,15992809386,
阳光假日宾馆,,05646495729,
2013假日酒店,,05646587999,
小鱼驿站,,18056416603,
蓼城家园快捷宾馆,,05646068666,
半岛商务宾馆,,05646038888,
和家商务宾馆,,05646480666,
汉路酒店,,05646091999,
金满园山庄,,05646941611,
新翠园宾馆,,05646015188,
金临商务宾馆,,05646282588,
星月大酒店,,05646551625,
中心旅社（叶集改革发展试验区司法局东北）,,05646494114,
鹏飞商务宾馆,,05646518999,
国光大旅店,,05646089099,
为民食府商务宾馆,,05646581777,
万和大酒店,,05646633999,
石店宾馆,,05646918888,
国宏小宾馆,,05642720166,
昊鑫快捷宾馆,,05646066222,
新天地宾馆,,05646858444,
中华旅馆,,05646022133,
鸿兴快捷宾馆,,05646911691,
鸿运宾馆,,05646491066,
派客宾馆,,05646026166,
华安商务宾馆,,05646066789,
盛景商务宾馆,,05646083666,
步步高商务宾馆,,05646453888,
远和宾馆,,05646518666,
丽都快捷宾馆,,05646019222,400833-6699
蓼东招待所,,05646011107,6068555
9+1快捷宾馆,,05646079888,
优雅休闲宾馆,,05646730966,
君再来大酒店,,05646949793,
叶集广场宾馆,,05646488453,
凤凰商务宾馆,,05646497833,
美客美家商务宾馆,,05646858858,
国正快捷宾馆,,05646088966,
叶集帝豪宾馆,,13345642555,
叶集168快捷宾馆,,05646496168,
厚友快捷宾馆,,05646493566,
喜宝宾馆,,05646498882,
水岸假日商务宾馆,,05646038666,
叶集九州商务宾馆,,05646631777,
阳光旅社,,05646497117,
联华商务宾馆,,05646488168,
金鑫宾馆（叶集店）,,18297899968,
启新宾馆,,05642722868,
叶集宝城宾馆,,05646480333,
万宝商务宾馆,,05646550888,
七日商务宾馆,,05646497778,
四方宾馆,,05646497711,
叶集9号商务宾馆,,05646494001,
港湾商务宾馆,,05646940999,
叶集东利宾馆,,13470882759,
新龙园快捷宾馆,,05646088789,
68商务快捷宾馆,,05646029468,
百代商务宾馆,,05646497868,
66宾馆,,14755470428,
鑫怡宾馆,,05646485888,
皇廷假日酒店,,05642736888,
四海商务宾馆,,05642736222,
