姓,名,家庭手机,工作手机
798丽原酒店（德令哈汽车站店）,,09778200777,
鸿运招待所,,15722328111,
华东商务宾馆,,09797259966,7212789
德龙商务宾馆,,09798498555,
7天连锁酒店（江源中路店）,,09795994999,
华锋商务大厦,,09798418222,
明珠宾馆,,09778335000,
长江商务宾馆,,09798455550,8446555
7天连锁酒店（格尔木昆仑路店）,,09797215777,8428777
兴华源商务宾馆,,09797255777,
紫金阁宾馆,,18919582416,
怡苑宾馆,,09797258880,
银海商务宾馆,,09777770077,13897761444
如意宾馆,,09778332618,13897372020
福盛商务宾馆,,09798428555,18935594888
金发源商务宾馆,,09797259996,18709790361
苏杭宾馆,,09798418878,
宏盾宾馆,,09797211888,
南郊饭店,,09798463773,
江河龙饭店（客房部）,,09798411118,18397158888
丰湖宾馆,,15349771825,
万豪假日宾馆,,09778333123,
海马宾馆,,09798462052,
文盛宾馆,,09795998777,
益君宾馆,,09797226111,
华丰宾馆,,09798481456,8469456
金盾宾馆,,09797229888,
怡景品质酒店,,09798417111,
健豪商务宾馆,,09797229999,
德令哈森元品质酒店,,09778225555,
昆玉大厦,,09798421870,
伴旅途精品青年旅舍（火车站店）,,18297297508,
匆匆那年主题青年旅舍（火车站店）,,13119790558,
假日宾馆,,09798413999,
滨地大酒店,,09795999999,18297185036
唐融商务宾馆,,09798462777,8496222
青港宾馆,,09797239888,
格利宾馆,,09797245998,
爱旅行青年旅舍（火车站店）,,18897099630,
中山宾馆,,09798463555,8466666
伴旅途精品青年旅舍（黄河路店）,,13309798589,
爱旅行精品客栈（火车站店）,,18897099630,
海西坤谊尚品酒店,,09778215111,
华德商务宾馆,,09778331088,13309779160
远方的家青年旅舍,,15009776076,15500677786
鑫苑宾馆（江源南路店）,,09797239666,
汉庭（德令哈新源路店）,,09778900111,18097376607
驴友之家青年旅舍,,18997491515,
茶卡乡缘农家乐,,13639771634,15909771230
爱客品质酒店,,09778330199,13177399918
天银商务宾馆,,09798491111,
爱之旅家庭宾馆,,13309771524,
永萍宾馆,,13897378880,
永兴家庭宾馆,,13709779449,
德令哈一夜青年旅舍,,09778211262,18919589110
西行不二青年旅舍,,09778331338,15110903131
百利凯商务宾馆,,09798425000,8483222
格尔木玲珑湾酒店,,09797227777,
格尔木大漠孤烟客栈,,18809795558,
海友酒店（格尔木火车站店）,,09798413111,
腾威宾馆,,09797239000,
福良宾馆,,09798492203,
如是酒店,,09797259933,7246333
圣达商务宾馆,,09778261999,13107578333
财苑宾馆,,09777770999,
安泰商务宾馆,,09778333866,8333899
爱客商务宾馆,,18609772917,18909772660
格林豪泰商务酒店（青海海西自治州格尔木八一中路店）,,09797225555,7235555
茶卡草原之家,,18209771082,15009770838
羊驼青年旅舍,,18109795481,
舒雅家庭宾馆,,13619795906,
茶卡鼎盛酒店,,15909771363,
昆仑驿站,,15003670801,15309770662
中和源饭店,,09797259999,
旅安居家庭宾馆,,13734671710,
万和馨悦酒店,,09777774111,
格尔木蜗居家庭旅馆,,13107565888,
海康商务酒店,,09778217888,18909779212
玉珠假日宾馆,,09798498444,
乐尚商务宾馆,,09798412205,7255333
逸景商务宾馆,,09778219166,
三合商务宾馆,,09778245400,18297078114
路鑫宾馆,,09777771222,18697157373
恒源宾馆,,09778221111,
皇庭假日宾馆,,09795998999,13086212221
平安驿客栈,,17609722917,13909795211
天成主题酒店,,09798436688,13982606230
西源假日宾馆,,09798488999,
海鹏商务宾馆,,09798435901,15597296999
汉庭（格尔木八一西路店）,,09798462802,
巴特青年旅舍,,09798461890,8455599
小城客栈,,09778286981,13909787733
华盛宾馆,,09778240688,
金天利宾馆,,17797071657,
金世界国际大酒店,,09778335888,
锦尚恒悦快捷酒店,,09778283777,8283123
拾光客栈,,13209797658,
红晶天宾馆,,09777312333,7312666
丰瑞公寓宾馆,,09778286199,
如家快捷酒店（格尔木昆仑中路店）,,09798481000,
乌兰驼泉商务宾馆,,09778246668,13709771688
