姓,名,家庭手机,工作手机
粮贸宾馆,,15347245558,
明珠商务宾馆,,07163325100,15871666555
群贤宾馆,,07163662222,
馨悦宾馆,,07163292111,
荆华酒店,,07163545818,
喜多多超市宾馆,,15872140333,
温馨家园宾馆,,13972148446,13728205079
艳阳天宾馆,,07163698888,
同福公寓,,13997588898,
钻石假日宾馆,,07163269218,
红灯笼宾馆,,07163610555,
怡心居宾馆,,07163778888,
雅斯特酒店PLUS（湖北监利店）,,07163858555,
雅居城市旅馆,,15827875875,
金丽都宾馆,,07163273638,
穆萨宾馆,,13972382429,
汉庭（监利江城大道店）,,07163270000,
吉司利主题酒店（原可利饭店）,,07163807777,
威豪宾馆,,07163321588,
古德城市酒店,,07163717111,
花台商务酒店,,07163273377,3389383
美之国花园酒店,,13872383238,
尚景酒店,,07163300588,
富硕公寓,,13227675678,
餐军府宾馆,,18186565360,15327685920
家乐佳超市宾馆,,18772599642,
农家饭馆,,13872243040,
茉莉花开连锁酒店（监利店）,,07163186777,
金瑞达宾馆,,07163385288,
阳光大酒店,,07163329666,
吉楚连锁酒店（监利店）,,07163188999,13377901777
城市便捷酒店（监利江城路店）,,07163557777,3253333
阳光宾馆,,15027082255,
迎客宾馆,,15880017269,
伍子胥宾馆,,07163500555,
迎朋商务宾馆,,07163565666,13164171803
石头剪刀布城市旅店,,07163301999,
香贤居嘉宾馆,,07163281555,15307211509
天悦宾馆,,15572097206,
好好宾馆,,15827794069,
宏运宾馆,,15027174084,
521宾馆,,13872218287,
爱情公寓,,18827119455,
监利翔得V酒店,,07163617777,18086201969
皇统宾馆,,07163323708,
泓远时代商务酒店,,07163510123,
金源宾馆,,07163328108,
柠檬商务宾馆,,15572030066,13135764707
金鸿宾馆,,15872154982,
金帝宾馆,,07163270708,
水乡大酒店,,07163384093,18827458242
迎江宾馆,,07163273666,
7天连锁酒店（监利玉沙大道店）,,07163567777,
花之林连锁酒店,,07163300666,
千禧时尚酒店,,07163571222,
锦江酒店,,07163323222,
恒大宾馆,,07163661555,
九龙宾馆,,07163779999,
广源旅馆,,13135796748,
荆南大酒店,,07163268666,
五月花酒店,,07163181818,
楚天宾馆,,13593835500,13797262608
华开大酒店,,07163579310,
君乐宾馆,,07163786899,
国民宾馆,,18972309219,
都灵岛宾馆,,07163322211,
聚缘宾馆,,15972742679,
月满楼旅馆,,07163784128,
友谊客栈,,07163261698,
阳光宾馆（沙洪北路店）,,07163544599,
荣华大酒店,,07163611777,
公元前宾馆,,07163562111,
监利宾馆,,07163277777,
佳缘宾馆,,07163786668,
荆楚宾馆,,07163277777,400833-6699
大唐宾馆,,07163320388,
百胜宾馆,,07163265588,
荆州监利华茂宾馆,,07163180515,
逢源客栈,,07163283700,
金泰宾馆,,13257210555,
奇天公寓,,071688575181,3788018
金凯瑞宾馆,,07163783331,
全心宾馆,,07163786969,
朋来客栈,,07163301886,15827739886
春天宾馆,,15927905707,
荆州监利水晶宾馆,,13117178583,
亚美宾馆,,07163181122,
百度商务酒店,,07163278787,
名劉宾馆,,13533331843,
鑫豪商务酒店,,07163796666,
蓝天宾馆,,07163545966,
福源宾馆,,07163327810,
祥云宾馆,,07163324011,
好百年商务酒店（监利店）,,07163388666,
久红宾馆,,07163251567,15027137472
东荆宾馆,,07163784789,
我家小团,,15907216388,
茶庵招待所,,15927817546,
尚一特连锁酒店（宜必思店）,,07163717777,
中天宾馆,,07163252888,
思雨轩酒店,,07163643555,
梦之家商务宾馆,,07163819888,
金芭来宾馆,,07163785111,
多多时尚酒店,,13872325475,
中发源宾馆,,15927740150,
天乐便捷酒店,,07163781777,15926586777
书香宾馆,,07163579800,
金宝利饭店,,07163325058,400833-6699
红丽湖商务宾馆,,07163325979,
美鑫酒店,,07163817693,
水果旅社,,07163277262,
天都酒店,,15827106608,
近水楼旅馆,,18972301468,
东山宾馆,,13545666661,
幸福大酒店,,07163088888,
佳园,,07163327779,
卧龙宾馆,,07163577168,
金龙玉凤酒店,,07163566111,3301477
佳和宾馆,,07163301188,
华顺宾馆,,07163300988,18696463909
嘉裕花园酒店,,07163278855,
天明酒店,,07163818878,
城中城招待所,,15927987918,
皇都宾馆,,07163577266,
剑桥宾馆,,07163575030,400833-6699
鑫瑞宾馆,,07163673777,
王子宾馆,,07163256508,
三联宾馆,,07163266830,
国庆宾馆,,07163328603,
雅居宾馆,,15027143981,
金色公寓,,07163785818,
