姓,名,家庭手机,工作手机
康乐居宾馆,,15863001920,15963286968
爱客100连锁宾馆（胶州店）,,053282292588,
易佰连锁酒店（郑州东路店）,,053283286666,
罗莎主题宾馆,,053255780069,
来雅商务主题酒店,,053282206666,
景得旅社,,15853226158,15763955187
新嘉商务宾馆（胶州大润发店）,,053287216888,
可临宁连锁酒店（胶州火车站店）（原广富商务宾馆）,,13606308231,
升级商务宾馆,,053287259029,
怡情苑宾馆,,053282211257,
温凉河旅馆,,053286226617,13791928089
百家立宾馆,,13791913331,
尚客优快捷酒店（青岛胶州苏州路中心店）,,053286260777,
美尔希顿主题商务酒店,,053287209577,87229577
都市花园连锁酒店（青岛胶东新机场李哥庄店）,,053288287778,
雅居旅馆,,13668857368,
日月居商务宾馆,,053283989666,15621083111
他她客栈,,053287239222,
宇林旅馆,,053287209210,13863968663
时光机主题宾馆,,053287778665,18764299665
春光宾馆,,053282271513,
迎祥商务宾馆,,053287250051,
金江宾馆,,18906487711,
锦坤商务宾馆,,053287251162,
尚品商务酒店,,053282262226,
兴源宾馆（胶州东路店）,,053287200789,
陆港商务宾馆,,053282295008,
金海宾馆,,053282269077,
雅逸宾馆,,13206383538,
尚客优快捷酒店（胶州北环路店）,,053282292277,
桃源居宾馆,,053287251818,
德源商务宾馆,,053287268727,
吉祥源宾馆,,053287215877,
铁达商务宾馆,,053287270877,
胜利桥宾馆,,053287210390,
依家宾馆（澳门路店）,,053282208227,13206375577
鑫古城商务宾馆,,18366208968,18661837686
锦江之星（青岛胶州市胶州东路店）,,053258982999,
玮豪商务宾馆,,053288288898,
都市118连锁酒店（禧徕乐博览城店）,,053286253333,
居家风尚酒店（北京胶州店）,,053286621299,18661999965
都市118连锁酒店（汽车总站店）,,053282275558,
泓润达商务宾馆,,053285262359,
阳光大厦,,053287299118,87299666
清华园宾馆（福州南路店）,,053287208818,13061218238
青年都市迷你连锁酒店（徐州路店）,,053287266118,
城市79连锁酒店（汽车总站店）,,053286620299,18353289759
都市118连锁酒店（胶州火车站店）,,053282276118,
金达商务酒店（香港路店）,,053282200111,82200808
银座佳驿（青岛胶州火车站店）,,053255591818,
鑫龙假日酒店（胶州汽车总站店）,,053281120888,
爱尊客连锁酒店（兰州西路店）,,053287255888,
尚品怡然居主题酒店,,053287278811,
速8酒店（胶州北关汇英名郡店）,,053268661888,
格林豪泰快捷酒店（胶州大同大厦店）,,053286206666,87295735
华韩大酒店,,053286628662,86628733
海悦公寓酒店（胶州宝龙广场店）,,18953290089,13375575986
格林豪泰快捷酒店（胶州汽车总站海尔大道店）,,053282262998,
欧飞连锁酒店（胶州三里河商业街店）,,053282225566,15053207743
汉庭（胶州广州南路店）,,053287209977,
都市118连锁酒店（胶州市中心大润发店）,,053287290118,
平安旅馆,,13695426266,
名人之星连锁酒店,,053282212555,
青岛佳铂主题酒店,,053282268588,
博文招待所,,053287205889,
御憬商务酒店,,053282270088,
友情宾馆,,053287202592,15063038522
格林豪泰快捷酒店（胶州新机场店）,,053288216789,
如家快捷酒店（胶州广州路店）,,053287205555,
都市花园酒店（胶州梧州路店）,,053255599118,17660455759
十安短租公寓,,15589892119,
君悦商务宾馆（胶州东路店）,,053287201166,
一品商务宾馆,,053255780005,
富民商务宾馆,,053287278889,87278333
尚品假日酒店,,053282290966,
如家快捷酒店（胶州海尔大道汽车站店）,,053258982111,
纳一家旅社,,15564862055,
佳辰商务宾馆,,053286629555,
小金州酒店（广州南路店）,,18660217088,
陆达大酒店,,053285268118,
利泽旅馆,,13235326703,
胶州宾馆,,053282208777,82208999
金凤凰商务宾馆,,053282271278,82270088
如家快捷酒店（青岛胶州福州南路店）,,053287218888,
青岛胶州绿城喜来登酒店,,053282289999,
方井宾馆,,053287263132,
客顺旅馆,,053287292376,
祥龙宾馆,,18506489518,
胶州贤雅居宾馆,,053282215666,15953281577
隆昌悦商务宾馆,,053286622588,
朋来宾馆,,13156288788,
永福客栈,,18663960795,
龙子商务宾馆,,053285252688,13361202129
阳光假日宾馆,,053288288859,
增华商务宾馆,,053287298685,15762267823
惠金宾馆,,15053246856,
澳琳商务宾馆,,053287236696,83986669
鑫凤招待所（鑫古城店）,,15953261265,
青岛胶州市南宾馆,,053283219007,
聚君阁宾馆,,053285260357,
贝瑟芬妮宾馆,,053287222920,
世博商务宾馆,,053285218678,18661731988
以琳商务宾馆,,13573858470,
金鑫宾馆（广州北路店）,,053287220999,
惠嘉宾馆,,053288210001,13791965809
大众宾馆（郑家小庄店）,,13280898383,18661619588
西岳商家宾馆,,053287251813,
铭宇商务宾馆,,053282299518,13658651609
金地宾馆,,13658667395,
朋悦来商务酒店,,053282270888,
天成宾馆,,053287232561,
茂林旅馆,,15053247232,
沁春宾馆,,15650168387,
青岛三联宾馆,,053282271088,
凯运来宾馆,,053288222258,
布丁酒店（胶州国货店）,,053287228588,
尚客优快捷酒店（胶州澳门路店）,,053282209099,
东岳大酒店,,053282237878,
维也纳酒店（青岛胶州店）,,053287253333,
都市118连锁酒店（胶州广州路店）,,053282291333,
国利商务宾馆,,053287258398,
富杰商务宾馆,,053282263866,
金昆盛筵,,053282212598,
高丽商务宾馆,,053287230508,13869871546
7天连锁酒店（胶州兰州西路店）,,053287278777,
供销宾馆（苏州路店）,,13969790878,
少海商务宾馆,,15166399899,13210055277
佳宾宾馆（财富中心店）,,053287206972,
嘉友商务宾馆,,053287281258,86626670
福临招待所,,15092247876,
日月旅馆,,053282215138,
贝王汉姆宾馆,,053282282888,
佳驿商务宾馆,,053282287777,
东方商务宾馆（渔乐园桥店）,,053288262666,13105168388
顺利旅馆,,18562517650,
金缆商务宾馆,,13573859717,
鸿运大酒店（福州南路店）,,053287217778,
凯旋旅馆,,053282212551,
龙凤旅馆,,053282210090,
华城宾馆,,053287222300,
途家118商务宾馆,,053282260999,
市中旅馆,,15288978817,
青岛丹诺商务宾馆,,053287260988,13687657551
胶州海霖轩连锁酒店（国货店）,,053287260099,
金都桃源商务宾馆,,053282285988,
小苹果宾馆,,15606482756,
世纪元茹商务酒店,,053287222088,18669825835
格林豪泰快捷酒店（青岛胶州三里河公园店）,,053287209888,
金胜利商务宾馆,,053282222688,13210106363
宏源旅馆,,13505427920,
杰元商务宾馆,,053287227067,
汉庭（胶州汽车总站店）,,053287290277,
鑫全洲大酒店宾馆,,053287233888,
胶州世纪大酒店,,053287260718,87269188
大众宾馆（温州路店）,,15689459987,
新城宾馆（香港路店）,,053282205235,
腾飞旅馆,,053282299936,
怡嘉宾馆,,053282208227,
杨柳青宾馆,,13806392711,
千百惠宾馆,,053268811155,
一品香酒店,,053288229108,15253266178
福客来酒店,,13863931165,
吉瑞旅馆,,053282220804,
圣马龙农庄,,053285258866,
富华园旅馆,,053286620267,
盛溪源商务宾馆,,053287276822,
百盈商务宾馆,,053286286677,
锦江酒店,,13156866818,
龙港商务宾馆,,18866621062,
家之园宾馆,,053287258177,
晓惠旅馆,,053243667825,
杭州路宾馆,,053287251235,
海缘宾馆,,13792868785,
克山欢庆旅馆,,15245297277,
豪利宾馆,,053283221208,
羽轩宾馆,,053287261818,
禄丰旅馆,,13583285181,
鑫盛源酒店,,13969689125,
三珠大酒店,,053288223878,
欧亚商务宾馆,,053288281510,
异乡之家旅馆,,13506427702,
超胜商务宾馆,,13305421900,
学院宾馆,,053282285318,
国荣旅馆,,053288282220,
鑫祥和旅馆,,053283233308,
胶州艺洲假日宾馆,,053287298678,82282888
德燕旅馆,,13210846332,18854253503
梅悦旅馆,,18053231733,
东升招待所,,053287207563,15092227028
和贵招待所,,053287222833,15866883268
荧光金湖洗浴住宿,,053282222888,
鑫凤招待所（杭州路）,,15153288495,
