姓,名,家庭手机,工作手机
丰乐农家院,,15239117905,18137201313
信息旅社,,13203989882,
豆捞时尚酒店,,03917297399,
随意旅馆,,13903892520,18903911558
金科宾馆,,13639627371,
小城青旅（火车站店）,,13839171622,15893031246
温馨之家旅馆,,15239006012,
温馨驿站旅馆,,18336851528,
鸿鑫宾馆,,03912973351,15639166680
馨馨宾馆,,15893086531,
隆鑫宾馆,,15236782839,
顺鑫宾馆,,03912629298,
孟州同福宾馆,,03913868583,18239133171
朱村宾馆,,18236899487,
银环招待所,,13782671152,
曼哈顿酒店,,03916800222,6800555
汉华丽泽酒店,,03913522301,
家园旅馆,,03915692869,
愚公快捷商务酒店（商业城店）,,03916651222,
世纪快捷宾馆,,03912049397,
潇瑶酒家,,13462458288,
万佳主题宾馆,,03913818333,
华谊商务酒店,,03915569988,
阿波罗快捷宾馆,,03916661811,
佳和公寓,,13782855868,
宏旺宾馆,,15538966354,
湾湾宾馆,,18272726777,
温馨小站旅馆,,13523345566,
五叶宾馆,,13569143451,
馨佳旅馆,,13653917763,18339797325
青龙峡龙腾居宾馆,,15039123369,
聆山居宾馆,,03912311556,
新华宾馆（解放中路店）,,03912935884,2900980
新区旅馆,,13137918999,
水立方快捷宾馆,,03916656658,13838927199
喜成宾馆,,03913884567,
瑟文龙源宾馆,,03913551198,
怡晴宾馆,,03918867899,
月伴湾主题酒店,,03912782666,
春光小城时尚酒店,,15239732157,
新良子济源至尊店（客房部）,,03915568889,
永福旅馆,,13333913722,
王家客栈,,03918191670,
天源旅馆,,03918366657,13639628076
欣悦宾馆,,15978786701,
万通宾馆,,13393863898,
速7连锁酒店（太行路店）,,03913686698,2926698
御泉湾商务酒店,,03916631898,
草根宾馆,,03912068833,
海角七号主题宾馆（济源店）,,03915575556,15517759666
碧海云天酒店,,03915666333,18939199382
美好时光休闲宾馆,,03913133399,
五岳山庄宾馆,,03913888560,
海天假日酒店（丰润园店）,,03912993888,
舒馨旅馆,,15139127261,
佳贤聚旅社,,13803917960,
润泽宾馆,,17335515988,
舒怡宾馆,,03915658161,
97号公寓,,03916299889,13838927775
QQ公寓,,15238701076,
聚鑫宾馆,,18272732352,
