姓,名,家庭手机,工作手机
海霞招待所,,13020683012,
丰收旅社,,15065472166,
明珠旅馆,,05372346613,18766875967
博莱仕商务酒店,,05375195066,5256266
园区大酒店,,05377700202,
江南春宾馆（火炬路店）,,05375127188,5127199
宜家365快捷商务酒店,,05375096999,3108388
怡然之家宾馆（汽车南站店）,,05372277722,
新运河旅社,,05372931010,
舒克贝塔青年旅舍,,18353723726,15854795156
君悦宾舍,,15376553273,
金新宾舍,,18678716872,
强子招待所,,15954711166,
春润旅社,,13625371292,
光辉宾馆,,18053766758,
建国宾舍,,15853735288,
亚洲宾馆（汽车北站店）,,05372230278,18605378354
祥和宾馆,,13793793608,
永盛招待所（汽车站火车站店）,,13205376958,
华兴旅社,,05372281859,18653775396
四海春招待所,,13505371697,
相国招待所,,13853705522,
祥意宾舍,,05372282250,
大学招待所,,18653678865,15553720800
新亿招待所,,13665377016,
春光客栈,,18354712321,
豪门洗浴宾馆,,05373330718,
振斌旅社,,05372276619,
万达万家宾城soho公寓酒店,,05376016789,
万胜宾馆,,05378262635,
尚客思公寓酒店,,05376311333,13087747777
玉珠招待所,,15898629568,
君悦商务大酒店,,05377626888,
丽雅宾馆（火车站汽车站店）,,05373200221,2368676
海天招待所,,13385475220,
永辉宾馆,,13953756942,
良银招待所,,05372329548,
万达佳人国际豪华公寓,,05373161733,
豪泰商务宾馆,,05373965555,3301608
鑫源商务宾馆（火车站店）,,05373166499,
兴旺旅社,,15254783867,
月半弯时尚客栈（南门店）,,05375125555,
尚嘉商务酒店（原店连店养生连锁酒店运河城店）,,05375152999,
同城国际酒店,,05378786677,15554436677
谢营招待所,,15588797340,18764795613
白云商务宾馆,,05377939288,
万达C座温馨之家酒店式公寓,,18654779479,
鑫通快捷宾馆（汽车南站店）,,05372251155,
东风旅社,,15154758919,
东方宾馆（兴隆庄镇店）,,05373880488,
金池商务宾馆,,05372166668,
温雅旅社,,05372105318,18863700811
春秋商务宾馆,,05375217681,
68越河宾馆,,15853762012,
恒盛宾馆,,15853716508,13954791898
蓝旗宾馆（唐口店）,,13863783077,18463793363
红花宾馆,,05373438801,
天福宾馆（太白路店）,,05373209933,
四平商务宾舍,,05372365119,
忆家商务宾馆,,05372898766,
金穗源商务酒店（火炬路店）,,05372881000,
宏达商务酒店,,05375176767,
机装招待所（火车站店）,,05373164688,13805378016
龙兴宾馆（东店）,,05376343999,15562345657
鸿顺商务宾馆（火车站汽车南站店）,,15965710966,
润和宾馆,,15153742549,
永悦宾馆,,05372633639,
五里屯家庭旅馆,,15053722879,
同辉商务宾馆（原友客商务宾馆）,,05372071234,
南门旅社,,15153735995,
太东招待所（万达刘庄路北店）,,05373200218,
联邦快捷酒店（济宁北店）,,05373287000,400063-7818
瑞丰大酒店,,05377200000,18678765316
永青宾馆,,05376751119,15069730356
唯爱主题宾馆,,05373507288,
凯莱主题宾馆,,05375179777,13258027433
QQ商务宾馆,,15553770207,
宏苑宾馆,,05376816166,
奥发旅社,,05374016899,
和谐宾馆,,15063732826,
玉满阁商务宾馆,,05372226000,
济宁万达密思密特主题公寓式酒店,,05378186999,
港湾印象连锁酒店（邹城店）,,05375584567,
鑫悦宾馆,,05373388162,
四和招待所,,15953713095,
都市118（太白国际沃尔玛店）,,05377970999,
奥冠商务宾馆,,05372710889,2710888
万达万丽溪谷酒店公寓,,05373165699,
柠檬树情侣主题酒店,,05375191118,
鑫通商务宾馆（汽车南站店）,,05372251188,
杏花村大酒店,,05377316999,7367777
玉贤招待所,,13853726870,15063767833
5618商务宾馆,,05375675618,
福利厂招待所,,13953705876,
迎春宾馆,,13853729695,
正泰商务宾馆,,05373652678,15953749289
圣泰宾馆（琵琶山路店）,,05372908999,
济宁万达相遇主题酒店公寓,,05372351518,13020672057
万达JK主题酒店,,05372888813,13355127338
金缘商务宾馆,,05378700660,
家贵缘商务宾馆,,05375311877,
水校旅馆,,05373189662,13863790257
怡然之家商务宾馆（唐口店）,,05372510006,
怡然之家商务宾馆（车站东路店）,,05372317166,
小巴里宾馆,,05372350022,
万达维眠音乐主题酒店,,05372200520,
爱情公寓（万达店）,,05375151088,18105478160
豪庭商务酒店（古槐路店）,,05372255777,2255888
豪庭主题酒店（海关路店）,,05373208899,3208866
万达鲁美公寓,,13290303350,15910002802
乐家青年客栈（附属医院古槐路店）,,05372775000,
似家商务宾馆,,05378017777,
伍捌同城商务宾馆,,05375185858,
聚谊居宾馆,,05378722560,13583746360
乐家青年公寓,,05376595118,
友柱宾馆,,05374367597,
金海湾住宿,,05375198866,
馨居商务宾馆,,05373417999,5178889
启升商贸宾馆,,05373896588,13792302877
兴隆商务酒店,,05377975588,
鑫通宾馆,,05372251166,18266803337
舒鑫宾馆,,05373133688,
瑞庭快捷宾馆,,05372882882,
嘉利佳商务宾馆,,05372566886,2566889
