姓,名,家庭手机,工作手机
7天连锁酒店（毕节金沙河滨路店）（原7天阳光）,,08577258168,
好旺角平价酒店,,08577217788,
威乐号商务酒店,,08577120689,18230770704
金辉酒店,,08577251999,
龙腾酒店,,08577230688,
黄金大酒店,,08577258888,
爱尚咖啡酒店,,08577219333,7240777
星鑫商务宾馆,,08577386555,
祥盛宾馆,,08577254899,
腾达酒店,,08577362888,
府城商务酒店,,08577233555,18580146338
乾坤宾馆,,18984798755,13385172282
嘉富快捷酒店,,08577369668,
金丰酒店,,08577411777,
时代宾馆,,08577253422,13118576883
同心商务酒店,,08577445566,17785704936
君悦宾馆,,08577258111,
西雅图酒店,,08577431333,
一家快捷酒店（河滨路店）,,08577368666,7224461
美林酒店,,08577233999,
艾尔顿酒店,,08577232888,13708576029
金茂伯方酒店,,08577178777,
金世源商务酒店,,08577230888,
澳古斯塔宾馆,,15085395683,
聚源酒店,,08577400356,
黎明澳斯特酒店,,08577213888,7212888
印象时尚酒店,,08577388888,
宏泰商务酒店,,08577386138,18984013179
富豪大酒店,,08577235555,2224666
西半岛酒店,,08577400999,
一逸连锁酒店（金沙店）,,08577362166,18748564562
华盛商务宾馆,,08577358539,
忠进商务酒店,,08577258358,18230843520
金沙假日酒店,,08577386333,
帝雅维客主题酒店（金沙店）,,08577385555,
金沙丽豪宾馆,,08577250116,13765856000
鸟巢大酒店,,08577124999,
杭州湾商务酒店,,08572222111,
英杰纳酒店,,08577120777,
金缘酒店,,08577361666,15934617318
贺佳宾馆,,08577243256,
蓝天大酒店,,08577379888,
金凯悦酒店,,08572224000,13885785193
安舒旅社,,08577222986,
河滨招待所,,08577228883,
静雅居客栈,,15085504696,
洁静招待所,,08577220250,
幸福驿栈,,15186184248,15186665753
华源大酒店,,08577319999,
汇华商务宾馆,,08577225883,
四方旅社,,08577223887,
天豪商务酒店,,08577345999,
单身房住宿,,08577228991,
