姓,名,家庭手机,工作手机
利群招待所,,15288877123,15169151290
安居旅馆（济微路店）,,053187957438,
昌盛宾馆,,18764086652,
菏泽牡丹宾馆,,18053182859,15098763032
顺发旅馆,,053182501146,
志群招待所,,053189005659,
洁家宾馆,,15336411738,
济南文苑旅馆,,053187068417,
济南加张床宾馆,,15854142252,
朋源招待所,,053185932980,13156192345
祥和旅馆,,053188300713,
鑫梦圆招待所,,15288860114,
鑫泉宾馆,,053185993168,13695313597
婷婷宾馆,,13127156954,
益民旅馆,,15275131811,
青青宾馆,,053187161588,
雅梦招待所,,15668341881,
华逸招待所,,053186938286,
西源宾馆,,053187984932,15806673763
建华旅馆,,18560128186,
雅居苑旅馆,,15966059690,15508631769
舒适雅豪华商务公寓,,13305319425,
彬居全旅馆,,18553104843,18764133004
北山宾馆,,053183210215,18660119681
华丰旅馆,,053158820398,15562538226
佳乐家学生公寓（山师三店）,,15098985353,
济南西客站鲁杨宾馆,,15314113510,
供销大酒店,,053184280078,
信义旅社,,13156193351,
玉龙珠宾馆,,053186427865,13406060117
琉璃之夜旅馆,,13210535393,
泉城振东宾馆,,053185986356,
金源宾馆,,053182518268,
家园招待所,,15069025457,
顺驿商务宾馆,,15725121812,
同安宾馆,,13854185188,
长斌宾馆,,053188903359,
于氏家园公寓,,15564115080,
鑫洁宾馆,,13505404998,
怡硕宾馆,,13082740291,15863797728
万鑫宾馆,,053155556321,55556320
法国雅高·宜必思酒店IBIS HOTEL（经五路店）,,053167894388,
一个旅馆,,17865316273,
圣玺宾馆,,13953140864,
忠邦商务宾馆,,053185664168,15665759808
新四方宾馆,,18753138033,15610159015
莱友宾馆,,053161361518,
壹毛商务宾馆,,053162313699,18631608758
和东宾馆,,053187034050,13605313553
荣泰商务宾馆,,053187505211,
顺河宾馆,,18264126696,
好客宾馆,,18678831862,
华宇宾馆,,13573789476,15154140836
未定名客栈,,17864162986,
爱家公寓,,13256149225,
安全岛客栈,,053187910569,
恒运宾馆,,053168813028,
金都大酒店（英雄山路店）,,053186139188,
龙亭招待所,,15726129705,
五岳宾馆,,053185606166,
中鲁鑫华宾馆,,053185669385,18888338636
满意旅馆,,13173002791,
依轩宾馆,,13553191895,
佳怡招待所,,15005415066,
亿豪宾馆（大观园店）,,053188205551,
逗号家庭旅馆,,13805405291,
龙腾宾馆,,053186953317,88898909
阳光旅馆,,15863185798,
GO HOME精装酒店式公寓（万豪店）,,13127156078,
中豪大酒店（解放路店）,,053186968888,
佰乐公馆,,13964112789,
鑫润源商务宾馆,,053166571188,
金鸿客栈,,053185713477,15864793508
宏福宾馆,,053158769116,13688629965
泉城青年公寓（清河店）,,15562630188,
泉城青年公寓（诚基中心店）,,15562630188,
泉城青年公寓（名士豪庭店）,,15562630188,
玉明贤生态庄园宾馆一店,,053186951913,18364195591
西凤宾馆,,053158797256,
林海商务宾馆,,053186411888,81930088
鑫平安招待所,,053169901599,15588858203
温斯青年旅舍,,053186025999,
七月七主题式公寓,,18866129577,
丁豪家庭日租公寓,,18654503874,
8090时尚公寓（宝华新区店）,,15662621718,18354191999
速8酒店（济南国际机场店）,,053188115858,
锦俪宾馆,,053187503280,
舜祥商务酒店,,053181311111,
馨悦公寓,,13287755573,
济南尼雅度假酒店,,053182150777,15866732700
济南和生庄园酒店,,053158961111,87390000
天发舜和酒店,,053168800000,
PaPa电竞网络公寓,,15098900420,
银座佳驿（济南山大闵子骞路店）,,053162302666,
锦江之星（济南英雄山路店）,,053182029999,
温馨满屋旅馆,,13402201538,
吉梦旅馆,,053186924000,13176017500
馨怡家宾馆,,15866606228,18805314995
