姓,名,家庭手机,工作手机
吉祥宾馆,,02352287111,
云江宾馆,,02352987999,
968商务宾馆,,02352992388,
星期天商务宾馆,,02385879788,
科协商务酒店,,02352678555,15823724293
豪都宾馆（西街中学店）,,02385879688,
红城宾馆,,02352999488,
金瑞宾馆,,02385517222,
如家快捷酒店（重庆开县长途汽车站店）,,02352686888-9,
体奥宾馆,,02352555522,
艾美主题酒店,,02385509188,
富豪商务宾馆,,02352737666,
英才假日酒店,,02352687333,
亚太酒店,,02352982666,
悦华大酒店,,02352803222,
品德大酒店,,02352381998,18223944971
雄悦宾馆,,02352787788,
君莱商务酒店（吕氏春秋店）,,02352803000,
豪景商务宾馆,,02352389988,
发盛宾馆,,02352010828,
永福宾馆,,02352356008,
长城宾馆,,02352662219,
志鑫宾馆,,02352666876,
名都丽景精品酒店,,02352800555,
旭鑫商务宾馆,,02352780711,
月坛宾馆,,02352666879,
君莱商务酒店（中央国际店）,,02352669222,52558222
锦弘宾馆,,02352298520,
爱尚宾馆,,02352797678,
万服宾馆,,02352256398,13212588868
朋来商务宾馆,,02352992668,
永兴宾馆,,02385927788,
蓝天宾馆,,02352208858,13340306577
丽苑宾馆,,02352995666,
红星酒店,,02352615888,
588商务宾馆,,02352262827,
新华酒店（开州大道店）,,02352216888,
龙兴宾馆,,02385921818,
康美宾馆,,02352656868,
锦江宾馆,,02352662538,
美地商务酒店（开县店）,,02352656789,
凤凰宾馆,,02352358688,15310728785
城市宾馆,,02352792299,
彼岸商务宾馆,,02352555766,
亚丁休闲宾馆,,02385508166,
锦湖假日宾馆,,02352890899,
悦庭商务酒店,,02352686333,
法苑宾馆（市政广场店）,,02385878999,
发金商务宾馆,,02352973126,
开州商务宾馆,,02352977999,
回忆宾馆,,02352255111,
金都精品酒店,,02352970099,
手握手大酒楼宾馆,,02352413564,
998商务宾馆,,02352127998,
皇冠大酒店,,02381759999,
馨安酒店,,02352798678,18223719999
锦苑宾馆,,02352255555,
学苑公寓酒店,,02352999333,
文盛宾馆,,02352299234,
丰安宾馆,,02352813678,52652789
五洲商务酒店,,02352615555,
君豪宾馆,,02352386999,
君莱商务酒店（新天地店）,,02352559222,
时代酒店（大时代店）,,02352015999,
顺美宾馆,,02352486888,
688商务宾馆,,18996576520,
金源宾馆,,02352258030,
渝粤宾馆,,02352638888,
九州商务宾馆,,02352482555,
夏威夷宾馆,,02352793238,
918商务宾馆,,02352013918,
有根酒店,,02385505858,
平桥宾馆,,02352603666,
凯雅宾馆,,02352127666,
ZMAX潮漫酒店（重庆开县店）,,02381755999,
