姓,名,家庭手机,工作手机
开心公寓酒店,,18088329199,
美家客栈,,18988092077,18988091077
青青驿栈,,18213514330,
昆明自由村青年旅社,,087168358716,
赢融印象酒店,,087165164555,
云之端国际青年旅舍,,087167360039,15368263683
战友之家青年旅舍,,18083817512,
世纪水汇温泉酒店,,087167010666,
千紫客栈,,18987106831,
银河公寓酒店,,18887161416,
临江家庭旅馆,,087165643689,18487380969
巷遇青年旅舍（火车站店）,,18987583252,15925178797
加洛斯酒店（火车站店）,,087163336065,13099996990
香ing青年旅舍（南屏街店）,,15559835280,
特安呐酒店,,087167011999,
启程小宿,,15911458522,
旅行家,,13099908577,
家合青年旅社,,13708454559,
淳悦会酒店,,087165110318,
小龙旅社,,087163313594,
洲际假日SOHO俊园服务式公寓,,087165623248,
羊甫宾馆,,087163334556,
兆祥居时尚酒店（长水机场店）,,087167391529,13668792055
福轩宾馆,,13769103898,13548998118
豆豆旅馆,,13888679133,13529217649
青年计划家庭客栈,,13987685726,
艾梦主题酒店,,087167198869,63920006
贵宾招待所,,13629487390,15925150591
清风徐来青年旅舍,,13099996990,
昕吉精品酒店（六甲店）,,15198910898,
龙凤祥酒店,,18287744276,18206763867
华意宾馆,,087167173090,18183827528
宝乐酒店,,087165302222,
学府短租公寓,,15287178058,13529416844
星期8宾馆,,15808861915,
紫云轩青年公寓,,18377381888,
甲舟快捷旅馆,,13888096846,
鸿源通宾馆,,18313842668,18860788219
途安快捷酒店,,087168188810,
隆祥旅社,,18687608876,
旺都旅社,,13529204356,
一家人酒店,,087162123900,62150988
泉世纪大酒店,,087163848999,
佳星旅社,,13888779456,
留恋公寓（火车站店）,,13619641898,18108813743
云宫旅社,,18083807378,
兴宗招待所,,087168215176,13099997687
富禄招待所,,087164625705,18669273801
聚福源宾馆,,13529169556,
四海沐歌宾馆,,087163923181,13888068509
虹源商务酒店,,087163925013,13518767418
凯源宾馆,,087163330601,15288460978
富源招待所,,15198991330,
和谐招待所（二分店）,,13669779152,13378713952
好又来公寓（火车站店）,,18987475089,18987690261
百顺酒店,,087163337787,
永都酒店,,087165611111,
钰鑫招待所（兴苑路店）,,13577191138,18788179392
19度国际青年旅舍,,13759190300,
以梦为马青年旅舍,,18088407668,18765923915
芳芳源宾馆,,087168243083,
鑫兵商务酒店（北仓村店）,,087165811319,
仁际酒店,,087165615333,
旺旺招待所,,15908893963,
途趣青年旅舍,,18788122810,
八方缘宾馆,,13708452405,
鑫阳宾馆（原同春招待所）,,15911602018,
润宏公寓酒店,,18860706009,
兴迎宾馆,,087163330739,
星宇招待所,,13619612877,
新乐宾馆,,15758577879,
胜行龙都大酒店,,087165700998,65658178
金欣宾馆,,13668773024,
临云旅馆,,13619697074,
欣瑞仙桃宾馆,,15687604054,
墨奇青年旅舍（人民西路店）,,18388059546,
驴友之家青年旅社,,13987685085,13577633355
永辉酒店（长水机场店）,,18388013248,13211702586
庭家商务宾馆,,087168222788,
阳旺宾馆,,13759599690,
遇见时光青年旅舍,,18115620879,
勇刚宾馆,,15911633668,
