姓,名,家庭手机,工作手机
鑫花宾馆,,02982728281,
万嘉宾馆,,02982821111,13909254888
上林宾馆,,18189245168,
天津宾馆,,02982837198,13547652007
客都宾馆,,02982752662,
云都商务宾馆（蓝田店）,,02982955999,
怡家宾馆,,02982740888,
长虹宾馆,,02982988000,
西安汤峪湖崔家大院,,13572528338,
汤峪天赐宾馆,,02982837191,
莲花山避暑庄园,,13572160108,
御城宾馆,,02982732009,
汤峪旭阳阁宾馆,,02982838333,
牛人村舍宾馆,,02982728822,
华庭酒店,,02982872777,
东焱宾馆,,02982726813,13379033363
桃花源宾馆,,15091059400,
7天优品酒店（西安蓝田蓝新路店）,,02982737077,63668088
蓝田锦辰商务酒店,,02982956888,
易居时尚快捷酒店,,02982888887,
蓝川宾馆,,02982737253,
天潭宾馆,,02982838088,18291813220
万豪主题酒店,,02982825678,
福州宾馆,,13119111002,
汤峪梦金圆宾馆,,18291861191,
长虹洗浴中心宾馆,,02968016777,
富山香居宾馆,,02983524700,18192271178
汤峪会议中心,,02982838811-8888,
重庆宾馆,,13363972881,
昆明宾馆,,13891884800,
驻吧宾馆,,18717338212,
腾达商务宾馆,,02982925188,
福乐宾馆,,02982837499,13474645021
四季商务酒店,,02982981699,
汤峪温馨宾馆,,02982837969,
萬茂商务酒店,,02982703900,
白鹿原快捷酒店,,02982703020,
汤峪天锦小院,,13772545292,13772545725
耀辉宾馆,,02982957555,
西安白鹤家园,,02982837078,
蓝盛快捷酒店（北环路东段店）,,02962245688,
馨雅居宾馆,,02982738366,13468606009
好来屋宾馆,,18710509964,
洗脸潭酒店,,02982837800,
鑫源商务会所（客房部）,,02982818666,
天品酒店,,02982888886,
风情园宾馆,,13402955993,
汤峪天潭温泉酒店,,02982836800,82836868
罗马假日酒店,,02982738886,
蓝田宾馆,,02982751396,
汤峪湖森林公园汤峪湖酒店,,02982838015,
汤峪温泉·南山会馆酒店,,02982838331,82838332
金元宾馆,,02982732444,18991178444
光华宾馆,,02982888889,
金池温泉酒店,,02982822678,63605999
德鑫宾馆,,02982752350,13186009626
汤峪温泉·御宾苑酒店,,02985233303,18092139709
海悦酒店（蓝田店）,,02982737899,18092533922
蓝田网城宾馆（新车站店）,,15289282433,
金林宾馆,,13309242205,
蓝新路招待所,,15829923200,
汤峪鸿福居宾馆,,18792955465,
蓝田汤峪御宾苑酒店,,02982879999,
明星宾馆,,02982733769,
宏福宾馆,,02982723157,
汤峪温泉宾馆,,02982837040,82836888
梦金圆宾馆,,18729278280,
汤峪听雨轩招待所,,02982838050,18991323171
温雅人家,,15809258317,
蓝鑫宾馆,,02982728982,
汤峪温泉洗脸谭酒店,,02982837555,
吉利农家宾馆,,13720767351,
润谦宾馆,,13709222183,
驿旅阳光住宿,,18049454947,
鹿和原舍酒店,,02982956111,
汤峪金地宾馆,,13474131787,
交通宾馆,,02988220504,
蓝田宏源宾馆,,02982722105,18220812503
健康宾馆,,02982734515,
汤峪水云涧农家乐,,02982837042,
百顺宾馆,,13572040683,
丽江宾馆,,15249083270,
清逸雅居农家乐,,13488106991,
汤峪湖华岳山庄,,15353730833,
汤峪清新小社,,15809258317,
兰亭快捷酒店,,02982737800,
蓝田县葛牌山庄b区3号大院,,02982813008,
汤峪湖山城农家乐,,15191433949,
华都宾馆（汽车站）,,18292176137,
鑫诚宾馆,,18202982777,
原下人家客栈,,15991343559,
好来屋旅社,,02982881012,
蓝通宾馆,,02982723280,
深圳宾馆,,13992889449,
悦诚商务酒店（蓝田分店）,,02986027777,
朋友圈休闲酒店,,02982815777,
清风山寨风情度假村,,13289844508,
兰山房文化客栈,,18192645388,
东方宾馆,,13572068352,
东岳宾馆,,02982735152,13991272801
大众旅馆,,02982730607,
蓝鑫快捷酒店,,13709222877,
玉山蓝河山庄,,02982825858,82683800
汤峪杨家客栈,,02918729357,13572418257
福临宾馆,,13772130787,
春东宾馆,,15991613583,
蓝田县葛牌山庄b区4号小院,,02982813008,
白古松农家乐,,02982942694,
汤峪湖枕溪阁农家,,13363968728,
阿郎宾馆,,13402986470,
俏终南农家乐,,02982836191,
金晟宾馆,,13468761996,
竹子沟生态园（客房部）,,02982978191,18189268302
代寨福利浴场酒店,,17791806240,
源人宾馆,,02982971659,13324524238
蓝田蓬腾生态园区（客房部）,,02962904888,
天赐休闲居,,13572961058,
杏林酒店,,02982836500,82943333
南山宾馆,,15829362392,
蓝港酒店,,02982734188,
天缘宾馆,,13474687632,
慧源招待所,,02982720369,
汤泉居宾馆,,02982837720,
红磊宾馆,,15829919948,
红云旅馆,,02982723640,
元宝宾馆,,02982728052,
泊客尚品宾馆,,02982732556,18192200609
汤峪绍兴宾馆,,02982837387,
朝阳宾馆,,15349203623,
宁静轩宾馆,,02982838658,
雅荷宾馆,,13572001951,
恒鑫宾馆,,02982731352,
明晨宾馆,,13228017788,
车站宾馆,,02982723763,
7+1快捷宾馆,,02982730528,
顺心宾馆,,13772158009,
福祥宾馆,,15229339204,
智能公寓,,02982738331,
西安宾馆,,02982836789,
锦瑞宾馆,,02982837232,15028297412
阳光宾馆,,02982735735,13519151604
鹿塬农家乐,,02982919199,
兄弟宾馆（汤峪镇店）,,02982837089,13991124734
桂林宾馆,,18792401164,
欣欣旅社,,02982837301,
鑫兴宾馆,,02982732400,
敦煌宾馆,,02982838168,13572098168
新港宾馆,,02982738355,15929485777
源外园宾馆,,15129482889,
佳鑫招待所,,02982733277,
汤峪德福楼宾馆,,13991242813,
枫林宾馆,,13991258474,
清雅宾馆,,15809257642,
王家大院,,02982867666,
上林金鳟度假山庄,,02982836345,
韩家客栈,,18717310863,
友缘宾馆,,18706879561,
汤峪活泉宾馆,,13484599436,
鸿运宾馆,,13572466063,
龙泉宾馆,,15309270813,
终南人家,,02982838310,
闲聚楼农家乐,,13468822802,
龙兴宾馆,,13709222425,
汤峪湖农泉山庄,,02982836153,
汤峪熙凤宾馆,,13572453567,
山泉人家农家乐,,02982836036,
馨苑宾馆,,13571980984,
祥云宾馆,,13659297221,
万源宾馆,,02982736499,
雁翔宾馆,,02982732313,
汤泉宾馆,,13468773003,
农家宾馆,,02982838338,
汤峪山水人家农家乐,,18991325720,
蓝华宾馆,,02982728799,
盛源渔庄,,02982927555,
桃源宾馆,,13636712337,
聚香楼宾馆,,02982720680,
颐园宾馆,,13488130399,
汤峪樱桃园客栈,,15909293969,
黄河宾馆,,02982725068,15129057521
虎子宾馆,,13720405575,
