姓,名,家庭手机,工作手机
栖息地民族特色客栈,,15181500394,
粮贸宾馆,,18113275528,
君鸿酒店,,13881496507,
金成公寓,,08346361397,
龙源商务酒店,,08346367113,13989255064
香江国际大酒店,,08345468888,13568667789
永丰旅馆,,08342180062,13550457337
英宏宾馆,,08346103777,13881548862
四海居宾馆,,15881553533,
马湖奥盛宾馆,,08348855588,
汇源聚客栈,,08342231588,15378511788
泰昌源宾馆,,18283451555,13198490820
海景酒店,,15756845522,
窝窝頭宾馆,,18081616400,18608348956
西昌市美如家连锁旅馆凯乐路店,,08342684666,
宏福宾馆,,15760266967,15183439657
丽景假日酒店,,08343206688,6999909
东河苑宾馆,,08343803889,15882763165
腾达酒店,,08346999992,13550422666
芳宇宾馆,,08342685566,13708149455
维维客栈,,08343332111,15881532600
客来福商务酒店,,08348888012,18728923968
花雨阳光格调酒店,,08346196888,15984975584
西城阳光宾馆,,08342516668,
渝西酒店,,08348593888,13981587598
沁园宾馆,,18081635255,
柒贤客栈,,08342338898,
天悦酒店,,08343332116,15328156233
喜月驿站,,08342228899,
实力商务酒店,,08342502737,
似家快捷公寓,,08346198188,3235180
西昌海天假日酒店,,13795668859,
江湖人家客栈,,08343369258,13795663308
逸兴苑假日酒店,,18989268055,
梦之旅商务宾馆,,08343366377,13981519300
春泉宾馆,,08343333262,18628050110
乐巢主题宾馆,,08345696968,
林和宾馆,,08343333680,13881467326
茂悦酒店（原临月酒店）,,08348106888,
新元酒店,,08346198111,18981519980
蓉祥商务酒店,,08343444411,18282884411
湖中天邛海度假酒店,,08346955556,13795600705
洪洲大酒店,,08342170088,
四季阳光假日酒店,,08342580666,
名扬假日酒店,,08346950333,
君祥商务酒店,,08342532088,
瑞尔商务酒店,,08342161680,
西昌怡馨主题公寓,,18583882731,18283448456
咖啡墅客栈,,15559891126,18981523900
五月假日酒店,,08342688158,
雄祥宾馆,,08342193182,13881568286
华太酒店,,08342181818,
马湖骏景酒店,,08346970018,18989260592
聚友楼商务酒店,,08348822065,
东浩商务酒店,,08342925088,2222855
亿达商务宾馆,,08342928688,15196161999
7天连锁酒店（西昌航天大道旅游集散中心店）,,08343332777,
海韵客栈,,08343950919,18081636368
尚客优快捷酒店（西昌邛海湿地店）,,08343955828,
天盛商务宾馆,,08342173006,13881525581
春之意主题公寓,,18113326771,18981543833
金锦阁宫廷复古酒店,,18090667695,18383469425
西昌印象快捷酒店,,08342516655,
伐木累客栈,,08346196899,18282863254
芭厘岛别墅主题酒店（邛海湿地店）,,08346956999,
豪威商务酒店,,08348888950,8888951
西昌精品主题公寓,,17828522207,18781588575
小时光家庭公寓,,18113207777,
丽豪假日酒店,,08348218888,
佳源大酒店,,08348630116,
潇海客栈,,08342183727,15378501120
锦苑京川酒店,,08342333888,3229777
听海小筑精品客栈,,08342222345,
向明假日连锁酒店,,08348889990,
365商务酒店,,08342282888,
月都假日酒店,,08343234888,3239669
唐圆商务酒店,,08342898885,
锦程交通商务酒店,,08346725888,6730777
绿沣大酒店,,08342224777,13568665721
邛海爱情海假日酒店,,08343958555,3957888
彝州缘大酒店,,08348888050,
丽都假日酒店,,08348888138,13881508777
爱莱客主题客栈,,08343803456,
金色稻城酒店,,08346199999,
康恩大酒店,,08342500898,
玛微酒店,,08343332028,
美客美家连锁酒店（航天大道店）,,08342507888,
龙洲酒店,,08342898666,
凤凰御庭连锁酒店（西昌月城广场店）,,08342585888,
西堤岛酒店旗舰店,,08342228555,2229333
香佰利大酒店,,08342283666,2184111
音乐花园公寓,,13881514395,
观海湾别墅酒店（玫瑰花园店）,,18113296579,13882377258
18度假日酒店,,08348888318,
海滨假日酒店,,08348221666,13881542014
柏悦阳光酒店,,08342220111,
朗燊酒店,,08343333338,
盛世阳光酒店,,08348888991,
南红湿地酒店,,08342188388,
港湾居休闲客栈,,13684368368,
航天酒店,,08348889998,
远华酒店,,08348889288,
名轩商务酒店,,08346199996,18481596888
流金岁月精品酒店,,08348226666,
弘海大酒店,,08342928666,18383408987
玲珑主题酒店,,18892857006,
速8酒店（西昌西客站集散中心店）,,08343333616,15183420810
7天连锁酒店（西昌航天大道吉祥路店）,,08346199777,6191177
城市中心主题公寓,,18328884499,18096288966
马可旅行酒店,,08343366777,
观海驿站,,18113378260,
金色阳光酒店,,08343808899,3809988
美意家宾馆,,08343301899,
泸海苑客栈,,13881561832,
丰源酒店,,08343245588,
越昌酒店,,08342228889,13981564688
顺巷主题酒店,,08346725999,
戈尔顿酒店,,08348888018,
如家快捷酒店（西昌航天大道店）,,08342926999,
客运酒店,,08342167098,18908157717
永逸客栈,,08343333279,15282900981
月城丽景家园酒店,,08343333663,
佳禾商务宾馆,,08342288111,2922288
尚雅酒店,,08343288666,
芭堤雅商务酒店（春城路店）,,08342178888,
邛海湿地酒店,,08343601111,3791888
速8酒店（西昌航天店）,,08348886006,
金兰达酒店,,08348886618,
春天印象酒店,,08348889800,
美伦阳光酒店,,08342233999,
建昌丽都酒店,,08343225888,
锦宏酒店,,08342191288,2190166
邛都大酒店,,08342183999,
紫金石酒店（西昌健康二环路店）,,08342199777,
邛海碧海月酒店,,08343958058,13778626622
西昌世纪阳光大酒店,,08348889918,
第一王朝大酒店,,08348618225,6953160
月苑假日酒店,,08343333883,13708145779
天德源酒店,,08343356777,
梦之蓝酒店,,08342181555,2181666
壹壹捌商务快捷酒店,,08343239903,
泸沽湖阿文家园,,13881586477,
鸟杉鸣主题客栈,,08343333766,
豪麟酒店,,18304365888,18113257707
西昌海舍假日客栈,,08343243999,18011077757
涘锦客栈,,18113326815,
云里客栈,,15390475917,18181200810
阿祖客栈,,18781560038,
乐途士客栈,,18244404798,
金胜宾馆,,08343333736,18349670000
田园主题宾馆,,08346996868,13508201882
达达春天爱情公寓,,13881520736,
U酒店精品连锁,,08343339888,
桔子酒店·精选（西昌领地邛海店）,,08343808333,18113357771
尚座商务宾馆,,08345677281,18981557256
玛里阳光客栈,,18227643883,13980667335
湖畔青年客栈（赵家湾店）,,13808004749,
金色小院,,13398471312,
盐源宾馆,,08346366888,
鸣鹤酒店,,08343237699,2222992
田园客栈（西昌学院北校区店）,,13881599620,13550409628
海尔明珠客栈,,15082290809,
悠然居客栈,,08346302193,18723358023
灵山阳光酒店,,18113236299,
泸沽湖印象摩梭客栈,,18181218628,18787662448
喇氏祖母苑客栈,,15828768683,
鑫芸商务酒店,,08343291610,18683489101
思忆民俗家庭客栈,,13881509711,18349626672
木楞房精品客栈,,18398483561,17723380313
泸沽湖草海安静客栈,,18228715189,
西昌树舍客栈,,13808061347,
泸沽湖天海酒店,,15828798000,
蓝天湖酒店,,13881459199,18048995255
汉庭（西昌邛海湿地公园店）,,08343950888,
老渡口酒店,,13698263892,
安静酒店,,08342230870,
马可旅行酒店,,08348588885,
索玛花开国际青年旅舍,,08343958188,18113252835
7月客栈,,15882077555,
华泰酒店,,08346222226,
阳光温泉商务酒店,,08343333966,
