姓,名,家庭手机,工作手机
广源便捷酒店,,07776987999,
环宇便捷宾馆,,07776886188,
凯悦便捷酒店（灵山店）,,07775181388,
步步高商务酒店,,07776283988,5182631
华都商务酒店,,07775181616,
银城酒店,,07776881888,6881688
林江酒店,,07772575666,2575777
格子微酒店,,07776520988,
环宇精品酒店,,07776899899,2577888
朗德悦酒店,,07776662888,
威尼斯酒店,,07772575888,13977716811
广场旅业部,,07776518382,6527229
星照宾馆,,07776899888,
豪庭商务酒店,,07776685099,
富丽旅业,,07776521123,
城市便捷酒店（钦州灵山汽车总站店）,,07775181818,
荔苑商旅宾馆,,07776513918,
7天连锁酒店（钦州灵山汽车总站店）,,07775181888,
进旋商务宾馆,,07775181222,
恒峰商务酒店,,07772575533,
国光便捷酒店,,07776899988,
钦州灵山县正久大酒店,,07776982999,
灵峰大酒店,,07776421288,
城市便捷酒店（钦州灵山江南路店）,,07776886088,
双鹤城便捷酒店,,07772575588,13014972619
江南商务酒店,,07776887666,6887688
华天旅业,,07776528580,
桂祥商务酒店,,07776987888,
方正旅业,,07776516699,
正久财富酒店,,07776983999,
铭兴宾馆,,07776285222,
银山商务大酒店,,07776282111,
桃园商务宾馆,,07775163688,
翠园宾馆（广场店）,,07776660086,15677795753
金龙宾馆,,07776521618,
正久宾馆,,07776517699,
荔乡宾馆,,07776520001,
环宇便捷酒店,,07776886688,
新翠园宾馆（鸣江路店）,,07776661086,13807770970
进旋旅业,,07772576088,
瑞华国际大酒店,,07776426168,
国鹏大酒店,,07776427688,
华东旅业,,07776502588,
杨馨宾馆,,07776285908,
湘江商务酒店,,13788099009,
泰东宾馆,,07776593777,
灵山国际大酒店,,07776426168,6426108
兴隆旅社,,07776251388,
永成宾馆,,07776519892,
凤凰宾馆,,07776529388,
龙源便捷酒店,,07775186888,
灵山宾馆,,07776528558,
灵东旅游度假村,,07776322368,
邦德便捷酒店,,07776251758,
泰安旅业部,,07776512688,
广大商务宾馆,,07776596888,
华兴旅社,,07776526465,
金湾旅业,,07776524033,
影城宾馆,,07776515333,
峰城旅业,,07776523826,
天岚居宾馆,,07776516655,
香格里旅业,,07776523178,
金燕旅社,,07775162446,
金谷酒店,,07776652555,
燕山旅社,,07776523705,
天山旅社,,07776521594,
济阳豪辉旅业,,07776527623,
广和宾馆,,07776285133,
俊良旅业,,07776503689,
恒河商务宾馆,,07776889688,
桃花阁,,13367678686,
三盛旅社,,07776523909,
坚达旅社,,07776650731,
双鹤之星宾馆,,07776426633,13877749933
华福旅业客栈,,07776283555,
天天乐宾馆,,18077716600,
