姓,名,家庭手机,工作手机
金叶子宾馆,,13857084188,
金马宾馆（华敦街店）,,05782311288,13857059382
美云宾馆,,05782710519,13757868797
东苑商务宾馆,,05782558777,13600602290
云中大漈朋来阁农家乐,,15925760824,
欧丽商务酒店（东站店）,,05782568888,
丽之星主题酒店,,05782391111,
松源宾馆,,05782526878,
皇马宾馆,,05785628288,
友谊小宾馆,,15205889702,
朝花宾馆,,05782201335,
蓝天宾馆,,05785081348,15857848577
百山祖宾馆,,13059623697,
宏红宾馆,,18057812141,13884349884
大成宾馆,,05782189588,
小芳宾馆,,05782127963,
安乐宾馆,,15305782762,
红叶小宾馆（夏河店）,,05782178320,13857057804
振北宾馆,,05782789856,15857882729
双盈时尚酒店,,05782690888,
蔓菲尔精品酒店,,05785666888,
金沙宾馆,,05782187266,
望湖名都精品酒店,,05782106888,
瑞兴大酒店,,05782107888,2107999
为民宾馆,,05782225599,
红旗宾馆,,05782132588,
光明宾馆,,15305782762,
青年宾馆,,05788665388,
升元宾馆,,18057878706,
松强宾馆,,05782071086,
来运宾馆,,15314889165,
凯迪商务宾馆,,05782225888,
祥和人家,,13454355408,
红叶小宾馆,,15957811483,
丰荷宾馆,,05787112937,
顺达宾馆（丽青路店）,,05782520588,13757838698
东山商务宾馆,,05788807988,
华敦商务宾馆,,05782503666,
和睦宾馆,,05785115356,
假日宾馆,,05785115777,
新阳光宾馆,,05785513250,
陌上人家民宿农家乐,,18806880578,
标溪宾馆,,05782220268,
信用宾馆,,05782635786,
新舒宾馆,,05785889637,13587143089
新月时尚宾馆,,05782279008,13157865167
腾龙宾馆,,05782311050,
新都宾馆（丽青路店）,,05782356888,13967054799
富泰宾馆,,05782311955,2311667
安顺达宾馆,,05782232728,
金红豆宾馆,,05782179666,
胜家商务宾馆,,05782695566,
名门商务宾馆,,05782352666,2352333
成源宾馆,,05788128286,
绿瓯宾馆,,05782905987,
飞云宾馆,,05783138809,
升升宾馆,,13454358777,
益泰宾馆,,05783140758,
新东方宾馆（缙云店）,,05783288998,3139998
江南商务宾馆（人民路店）,,05782295888,15325155955
金林时尚宾馆,,05782710076,13819985595
城南宾馆,,05788181400,13867086718
明月宾馆,,05788328988,
吉意宾馆,,05782538988,13857051108
凯悦故事酒店,,05782608588,2608599
金城宾馆,,15957818121,
遂昌沁醇阁农家乐餐馆,,13575388592,
麦莎小宾馆,,15905880416,
银河宾馆（缙云壶镇店）,,05783161378,
龙松宾馆,,18358242820,
水阁宾馆,,05788170933,
东钱湖宾馆,,05782608078,
金芒果宾馆,,05782188383,13957074133
