姓,名,家庭手机,工作手机
康乃馨旅馆,,13975924331,15773981765
新月宾馆,,07398156599,
银海家庭宾馆,,07398187778,
668旅馆,,07398957668,
金贸商务宾馆,,07398165555,
大富贵宾馆,,18073929355,
回龙贵宾楼,,07398168455,13036719779
长丰宾馆,,07398165168,18273966601
凯顺旅馆,,18975965133,
五羊宾馆,,07398167333,18973955333
桃源快捷商务酒店,,07392975999,
鸿发商务酒店,,07398585078,15211928926
六都宾馆,,07398162568,
凰洲宾馆,,07392978888,
楚萍宾馆,,07398167678,18711937379
贵豪商务酒店,,07398230366,8230368
皇都连锁宾馆,,07398309999,15867767523
尊享·维尔纳量贩式酒店,,07398958789,
神龙宾馆,,07398245888,
华茂大酒店,,07398159888,
