姓,名,家庭手机,工作手机
莫林风尚酒店（冷水江店）,,07385365111,5365222
自由空间宾馆,,07385258678,13807386155
九九公寓,,07385259828,
新粮贸宾馆,,07388990111,8990222
星月楼宾馆,,07385366666,13341381829
三点快捷酒店,,07385253999,5395888
维多利亚国际酒店（冷江店）,,07385236888,5236889
湘运宾馆,,07386377666,
华麟大酒店,,07385396333,5396222
建新宾馆,,07388990333,
彭都宾馆,,07386656988,
冷江电信大楼宾馆,,07385218888,
莫林风尚酒店（冷水江锑都店）,,07385392222,
摩泰假日酒店,,07385555099,5555799
富丽连锁酒店（广场西路店）,,07386376666,
金龙宾馆,,07386966888,
鸿兴公寓,,07385253333,
老兵宾馆,,07385233316,
梦之岛金品酒店（冷水江汇美天下店）,,07386378888,
盛源大酒店,,07388995888,
68家庭公寓,,07385116661,13469483383
德圆宾馆,,07388961333,13170389003
金鼎·喜盈门大酒店,,07386377777,
天佑假日酒店,,07385563888,5563666
宇诚商务宾馆,,07385519722,
东苑国际大酒店,,07385189999,
金山宾馆（68公寓二店）,,07385555368,17773847763
华盛大酒店,,07385397777,
时代100假日酒店,,07388989999,
新富丽宾馆,,07386379999,
万达度假酒店,,07386965888,
冷水江武陵城酒店,,07385367888,
皇源大酒店,,07385655555,5655288
冷江宾馆,,07388998888,8998666
红双喜商务酒店,,07385367666,8985999
博尼尔国际大酒店,,07385258888,
金泰宾馆,,07386451555,
文广酒店,,07385215513,13237380992
新金宾馆,,07386656969,
华海宾馆,,07385553838,13387380333
鑫鑫宾馆,,07385255588,
冷水江步溪君悦大酒店,,07383220666,
福满人间大酒店,,07385558777,
得月楼招待所,,07385212363,400833-6699
明星大酒店,,07385791051,
金竹宾馆,,07386456368,
蓝风时尚宾馆,,07385118666,
锦绣东升大酒店,,07385653333,
轧钢招待所,,07385251108,
金湘宾馆,,07385513988,5512111
益盛大酒店,,07385550888,
