姓,名,家庭手机,工作手机
和平宾馆（建设路店）,,15931589159,
隆泰宾馆,,03154165618,
双福宾馆,,03154157788,
馨阳快捷宾馆,,03154107878,
金福地宾馆,,03154298555,13832850266
汇通宾馆,,13031522920,
速8酒店（唐山滦南友谊路店）,,03154502555,
天脉宾馆,,03154103986,
艾尚主题宾馆,,15613413555,
驿家365云盟连锁酒店,,03154553777,
金辉宾馆,,03154123323,
168快捷酒店（学苑店）,,03155708555,
京东宾馆,,03154120288,13832836066
和谐宾馆,,03154161299,
尚客优快捷酒店（滦南中大街店）,,03154298999,15532500009
银泰快捷酒店,,03154156222,
7天连锁酒店（唐山滦南建设路店）,,03154565777,4419777
隆鑫宾馆,,03157800888,7800999
大都商务酒店,,03154597777,4161111
佳缘宾馆,,03154289818,13930561702
超越快捷宾馆,,03154113333,13931482868
象生新苑酒店公寓,,18714154077,
都市118连锁酒店（建设路店）,,03155708118,
豪客来宾馆,,03154111020,
新天地宾馆,,03154298918,
广场宾馆,,03154281195,
尚客优快捷酒店（唐山滦南店）,,03155608777,
金泰宾馆,,03154107776,4106777
恒8连锁酒店（滦南南大街店）,,03154165288,
水雲阁沐浴养生（客房部）,,18863700198,
可发宾馆,,03154122699,
东方快捷宾馆,,03154160282,
优家宾馆（南大街店）,,03154290001,
宏阳宾馆,,13513050366,18031316590
学府东苑公寓,,13832850266,
天悦宾馆,,03154496622,
蓝海大酒店,,03155706666,5706888
滦城宾馆,,13623255677,
天意旅馆,,03154167889,
幸福之家日租公寓,,03154121119,13932567187
林海商务酒店,,03155709666,
都市花园连锁酒店,,03157800999,7800888
月亮湾宾馆,,15031441813,
鸿鼎易捷宾馆,,15373520357,
隆鑫宾馆,,03154103786,
沙迪克宾馆,,03154168828,15176680891
东城宾馆,,03154127866,15132559566
学苑宾馆（南大街店）,,03154120111,
环岛宾馆,,13831579727,
三兴旅馆,,03154124301,
金鑫酒店,,13832844937,
广汇宾馆,,03154123187,
正兴旅馆,,03155602183,
翰林宾馆,,03154157000,
滦玉快捷酒店,,13933311188,
南如意宾馆,,03154101809,
顺达宾馆,,03154105099,
良友宾馆,,03154118958,
南力天宾馆,,03154298668,
北岭酒店,,15933043261,
亿豪宾馆,,03158611808,13333254023
金水湾商务宾馆,,03154561000,
天一农家院,,15930457240,
海通宾馆,,03155698800,13273514786
红丹宾馆,,13931580062,
三星宾馆（学苑街店）,,03153139777,3139788
佳家宾馆,,18031310999,
泰瑞宾馆,,03155707788,
广场宾馆一部,,03154281195,
玖隆宾馆,,03154593977,
方舟大酒店,,03154412666,
南亿通旅馆,,03154123488,
隆达宾馆,,03155608988,
秀水宾馆,,03155098000,
宏宾旅馆,,13784623098,
如意宾馆,,03154101809,
坤达快捷宾馆,,03154168416,
渔家新村,,13315500097,
秀岩楼旅馆,,03154612856,
裕达宾馆,,03154166606,
中天宾馆,,03154101888,
新鑫宾馆,,03154423818,
滦南酒家商务宾馆,,03154530555,
万超宾馆,,15333254520,
红星旅馆,,03154167945,
金明宾馆,,03154126222,
惠康宾馆,,03154100977,
盛达宾馆,,03154165598,
金都快捷宾馆,,03154500999,
旺角宾馆,,03154169977,
永成宾馆,,03154118088,
春佳宾馆,,03154168738,
融兴宾馆,,03154117088,
宏达宾馆,,03154500586,
泰和宾馆,,15133939959,
京东宾馆,,400833-6699,
利英宾馆,,03154295559,
天城宾馆,,03154110172,
