姓,名,家庭手机,工作手机
武功山农夫山庄,,13635936923,
旭日客栈,,13979938346,
武功山凯旋门农庄,,17779908485,17779918485
武功山新星山庄,,18707099921,
农家印象客栈,,15079968082,
武功山山水相映酒店,,18879983398,
熙谷山庄,,13635929026,
大好山河酒店,,18879988789,
武功山建军酒店,,07997631886,15562569368
红太阳酒店（武功山店）,,07997654666,
逸豪时尚商务宾馆,,07997550800,
福星楼（大江边村店）,,07997635888,
嘉禾农庄,,15297995009,
武功山峰景缘宾馆,,13755519127,
湘约酒店,,18879901988,
天城商务宾馆（宣风分店）,,07997503888,13635905969
武功山花都客栈,,13217998588,18879988906
万泉山庄,,13879923207,13607997258
武功山新泉大酒店,,07997165889,
武功山发云界龙门山庄,,13879971646,15350097229
九龙青旅客栈,,13635968978,
喜相逢假日酒店,,07997631388,18979086613
武功山仅此一家主题旅社,,18879950358,
站前商务宾馆,,07997585528,
武功山万龙宾馆,,07997661881,15079989209
武功山红岩谷假日酒店,,07997632998,
心怡酒店,,18607991886,
怡神苑农家院,,15079952918,15079999883
新绿洲宾馆,,07997609999,
四而楼山庄,,18879957728,18079995321
熊猫主题客栈,,18027560285,
山水户外驿站,,13979983778,
白鹭山庄,,13979938935,
金喜缘山庄农家院,,15079907678,
金虎山庄客栈,,13879966298,15879968087
万龙山商务宾馆,,07997661008,13807994807
萍乡吉轩农庄,,13687991023,
温泉大酒店,,18879901006,15979207646
兆福山庄,,13307990990,13507080499
君缘宾馆,,07997566898,
驴友驿站,,07997651167,13979950829
一品居客栈,,13576452405,
武功山山里酒店,,15979226992,15932872725
佳惠农庄,,13879955133,
武功山1918养生庄园,,07997500002,
武功山红日山庄客栈,,07997631198,13097095505
武功山华云客栈,,07997651467,
武功山沈子山庄,,13647991092,
红尘客栈,,15083883368,
武功山雅客轩度假客栈,,07997605866,18682556866
君豪时尚宾馆,,07997508999,
兴旺农家乐,,15979451794,
飞来钱山庄,,15179985728,13647994481
武功山新峰大酒店,,07997500888,
武功山碧绿轩农家乐,,15207996376,
旺府大酒店,,07997618888,15179990394
山神帐篷房,,13657994997,13755511536
万龙聚大酒店,,07997661968,13006293261
武功山石溪四合院,,07997631019,
迎福农庄,,15932894152,
帐篷出租住宿,,13635925400,
龙之梦主题宾馆,,07997508889,18979918887
芦洲商务宾馆,,07997679988,
金顶帐篷客栈,,18307999226,
顺达客栈,,13767865029,
龙园时尚主题宾馆,,07997677777,
武功山温泉君澜度假酒店,,07997658888,
武功山汇悦酒店,,13979948482,
武功山世纪之碑帐篷房,,17779908485,18879996563
无顶星空客栈,,15879456713,
万云假日酒店（店）,,07997568888,
璟丰大酒店,,07997566666,
武功山中安宾馆,,07997167888,
武功山白鹤峰帐篷房,,18879901988,
兰华时尚快捷宾馆,,13117998290,13979948203
武功山梦蝶山庄,,07996762966,
武功山富民山庄（萍乡店）,,13979954823,
凯悦山庄,,07997592007,
神州宾馆,,07997046888,13617993879
武功山京敏农庄,,13698499297,
爽心居宾馆,,07997046999,
武发休闲山庄,,18607991615,
武功山白鹤农庄宾馆,,13698491622,15727703122
武功山龍泉山庄,,15727798816,
港湾生态农庄,,07997635688,
观音宕客栈,,15979483658,
名典山庄农家乐,,18279980670,
芦溪青草甸帐篷房,,18879996563,
缘于此农庄,,15798078051,
沁庐江边山庄,,07997631088,18679858782
汇锦山庄,,15079961171,
吊马桩新客栈,,15979483658,
金顶铁蹄峰客栈,,15979451541,
汇锦山庄,,15979483658,
山水客栈,,13755525093,
武功山露营基地,,13635929026,
鹏古佬山庄,,13979977718,
紫极宫素菜馆,,13635929026,
花田客栈,,18279945368,
沈子村青旅客栈,,15979451541,13635968978
小冯客栈,,13635941455,
五虎沟山庄,,13979978853,
福星楼农家乐,,07997635888,
萍乡乡村人家农庄,,15979486558,18397995631
武功山萍乡云上花开精品酒店,,13707998050,
惠佳乐公馆,,07997554785,13979991099
鸿盛酒店,,13979941221,13576445891
金顶山顶客栈,,18779929226,
锦昌商务宾馆,,07997566166,
礼萍宾馆,,07997559908,
萍乡聚来福农庄,,13879940703,
天天迎宾馆,,13970590496,
武功山五虎沟农家休闲山庄,,13979978853,
咸阳萍乡武功山府前客栈,,15107096611,
武功山田园山庄,,13979996568,
莲莲宾馆,,18779908763,
古城宾馆,,07997585858,
龙王潭山庄,,18279948268,13755521070
金山宾馆,,07997551128,
狮子岩旅社,,07997585232,
永昌商务宾馆,,07997553888,13697998586
弘华楼公寓娱乐,,07997551214,
鑫煌宾馆,,07997558179,13684850886
和气生财山庄,,07997631168,
明珠宾馆,,07997585688,
美嘉园宾馆,,07997560128,
水云间休闲山庄,,07997591896,
月池度假村,,07997041888,
小桥流水人家客栈,,13097355033,
武功山金顶万宝柜客栈,,15083897808,13767874258
迎宾公馆,,15979288647,
海庭轩大酒店,,07997519777,15879956777
易乃酒店,,13979970136,
美食美客大酒店,,07997607118,15870086226
东宫旅馆,,07997551613,
宣风粮油招待所,,07997501179,
豪锦丽嘉,,15979262838,
武功山景鸿葡萄农庄,,15083890058,
聚香楼农庄,,15083882606,13979906716
中路公寓,,07997551681,
武功山铁蹄峰有间客栈,,18779929226,
武功山好运山庄,,15083996336,
麻田宾馆,,15179918122,
武功山缘聚客栈,,13635908040,
鸿鑫农庄,,18979901281,
沙龙宾馆,,07997046188,
昌和宾馆,,07997582988,
金和商务宾馆,,07997566288,
乡聚农家乐,,13635957261,
上埠宾馆,,07997617153,
金河宾馆,,07997679222,
二路旅社,,07997583397,
