姓,名,家庭手机,工作手机
玉丰宾馆,,08308190333,
朝阳大酒店（城玉蟾大道店）,,08308897788,
盛阳旅馆,,08308875990,18048685432
馨天诚酒店,,08308999990,
乔燕宾馆,,08308193777,13438591245
泸州天展温泉度假酒店,,08303300000,
百合商务宾馆,,08308189266,
立吉商务宾馆,,08308189333,13698156319
茅山大酒店,,08308191388,
龙章宾馆,,08308196565,
龙池大酒店,,08308180100,
万事达花园酒店,,08303306000,3306555
玉蟾商务宾馆,,08308184666,
学府商务酒店,,08308179666,8179988
龙城大酒店,,08308186668,
友明宾馆,,08308173036,
秀水阳光连锁酒店,,08308291888,
雅阁宾馆,,08308172022,
逸家宾馆,,08308188916,
县金鹏宾馆,,08308191169,
龍门宾馆,,08308795655,
汽贸招待所,,08308170351,
得胜酒店,,15984039629,
友邻酒店,,08308790699,
好又来饭店,,13350815372,
新星招待所,,08308190128,
驿站,,18783083333,
大顺旅馆,,08308171455,
兴豪商务宾馆,,08308290555,
高升客栈,,08308899789,
兴隆招待所,,08308182175,
天龙大酒店,,15808301864,
龙都大酒店,,08308188666,
嘉明旅馆,,08308283166,
天赋商务酒店,,08308881573,
玉华宾馆,,08308170907,
加州宾馆,,08308186818,
福家宾馆,,08308185228,
鑫源招待所,,08308171088,
桃源宾馆,,08308182267,
玉龙山庄,,08308794099,
汇源商务宾馆,,08308184555,
明星宾馆,,08308175001,
龙族饭店,,08308888008,18090852071
