姓,名,家庭手机,工作手机
瀚轩宾馆,,08302573222,
金汇宾馆,,08303102229,
红宇商务宾馆,,08302281555,
金凯商务宾馆,,08302523999,18808300068
云涂友家主题酒店式公寓,,18228964809,
健明旅馆,,15928299256,
会宾楼客栈,,08306226438,
虹俞宾馆,,08302503258,
星和商务宾馆,,08306665388,
金角商务宾馆,,18181868845,
心悦宾馆,,08302880880,
鸿雨宾馆,,08302367797,17780100920
叁陆公寓,,08303751738,
金路宾馆,,08302286638,15351296213
港华宾馆,,08303114766,
金鑫商务宾馆,,08302996327,
东恒商务宾馆,,08302799111,
7天连锁酒店（泸州商业步行街中心店）,,08306669968,
德和宾馆,,08306661216,
金福商务宾馆,,08303153222,
伯云商务宾馆,,08305225288,
华盛商务宾馆,,08302279376,
惠中商务宾馆,,18982759289,
兰香宾馆,,08303196638,
金海湾宾馆,,08302288117,
福源大酒店,,08302517888,
汇锦商务宾馆,,08302288803,
千百度情侣主题酒店,,08303333233,13309088966
剧苑宾馆,,08305222362,5225231
天怡酒店,,08308887789,
帝豪商务宾馆,,08308887066,
豪锦宾馆,,08306666188,
临江仙宾馆,,08306667678,15983011520
凯云森宾馆,,08306667288,3114258
香木林宾馆,,08303580038,
佰顿商务宾馆,,08303153111,
广场花园酒店,,08308888789,
如家快捷酒店（泸州回龙湾店
）,,08302279775,
雪梨树主题酒店,,08308888678,
金世纪商务宾馆,,08308954088,8954066
玉丰宾馆,,08308190333,
恩特尔酒店,,08303202333,
兴邦商务宾馆,,08304792222,
金港宾馆,,08302397111,2289997
多彩商务宾馆,,08306666011,
英皇天悦酒店,,08303202222,2363000
康城商务酒店,,08308886166,
朝阳大酒店（城玉蟾大道店）,,08308897788,
九天商务宾馆,,08303125588,
宝俫俪都酒店,,08303203666,3203777
中天时代酒店,,08308886999,
金都商务酒店,,08306669555,
尚客优快捷酒店（泸州蓝安大道店）,,08303263999,
上乘主题文化酒店,,08306722888,
瑞斯顿宾馆,,08306666555,
山海大饭店,,08302583333,2583633
新世界大酒店,,08303388888,
泸州大酒店,,08302288888,2299999
泸州皇庭酒店,,08308900888,
星浩精品酒店,,08306667887,13882762002
景田酒店（城北店）,,08302525550,
7天连锁酒店（泸州叙永客运站店）,,08306755555,
黑王子艺术酒店（泸州水井沟店）,,08306020888,
包租公酒店式公寓,,15328330083,
爱情公寓,,15328330083,
尚客优连锁酒店（西南商贸城店）,,08306100999,
升豪商务宾馆,,08302600007,
泸州领尚国际酒店,,08308838888,
伊琳青年旅舍,,18384039372,
佳乐万象汇酒店公寓,,18008206758,
伊人美酒店,,08308806666,18683071000
柚子酒店,,08306666676,18008224840
沱江情侣酒店式公寓,,15328330083,
红方格精致酒店,,08302669999,
泸州酒香·席大大青年旅舍,,18224494172,
如家商旅酒店（泸州未来大道店）,,08308810666,8819168
富彩·香格里拉大酒店,,08308803999,
富丽苑商务宾馆,,08302523666,
吉宿客栈,,08308655888,
雅轩宾馆,,08306667786,
赤水美和宾馆,,08305900178,
平安夜商务酒店,,08303377777,3399999
沉香缘客栈,,08307888887,15983023297
皇家公馆,,08307011999,
康宁商务宾馆,,08303126999,
皇后镇短租公寓,,08306666654,13518388648
佳瑞宾馆,,08306666816,13320740151
鸿益宾馆,,18384308359,
鑫福酒店,,08306665000,
馨天诚酒店,,08308999990,
麗枫酒店（泸州佳乐世纪城店）,,08302625666,18384000927
金河商务宾馆,,08308885088,
光大短租,,15196071392,
前锦时尚酒店,,08304702277,4802277
祥瑞宾馆,,08308858866,
奇志宾馆,,08305216576,
梦悦旅馆,,08306830188,
乔燕宾馆,,08308193777,13438591245
锦绣商务宾馆,,08302298585,
大富豪酒店,,08308888166,15599289333
如家快捷酒店（泸州新马路滨江店）,,08302279079,
千升酒店,,08306663333,
红英宾馆,,08305906881,
君宇商务酒店,,08308815888,
锦容宾馆,,08303326066,13036555797
皇朝大酒店,,08303201888,
泸州泸舍商务酒店,,08303159999,
新华宾馆,,08303115989,
久圣花园酒店,,08306666099,
荆林大酒店,,08307060222,
金豪宾馆,,08305212180,18121976581
7天连锁酒店（泸州蜀泸大道春晖路店）,,08303620777,6022777
泸州惠当家青年旅舍,,15682318109,
老兵青年旅舍,,18113569275,15884788952
墨轩宾馆,,08303606777,18281167553
盛阳旅馆,,08308875990,18048685432
凤凰酒店（叙永店）,,08306633688,
首驿·家乐公寓（泸州佳乐金街万象汇店）,,02887764166,
虹桥宾馆,,08305224953,
佳乐世纪城酒店公寓,,18908219466,
琦玉短租公寓,,18283015343,
岷峰宾馆,,08302502688,
如家酒店（泸州西南国际商贸店）,,08303626666,18580758866
东宫宾馆,,08308905566,
景豪酒店,,08306668111,
巴厘诺酒店,,08302593680,
爱家宾馆,,15386581219,18008248362
泸州晴天公寓,,08302731528,
洪福宾馆,,18384384389,
沣泽苑宾馆,,08308566666,
泸州康城国际酒店,,08308999999,18181885760
雅逸酒店,,08308889969,
九阳荔都酒店,,08305268888,
叙宁宾馆,,08306271538,
唯逸酒店,,08303703888,
荔锦酒店,,08308818828,
阳光花园客栈,,18982459399,
泸州铂瑞酒店,,08306666068,
康欣宾馆,,18608302589,
凯帝商务宾馆（流水沟巷店）,,08305835999,
乐家宾馆,,08305251228,18982426797
艾雅斯商务宾馆,,08305134145,17738024131
君悦宾馆,,08302597666,
同城商务宾馆,,08302367888,
鑫悦宾馆,,18982423916,13508036650
旭松酒店,,08306667777,
碧玉度假山庄,,13882708300,18121975408
酒香之鑫商务宾馆,,08302626705,
酒香宾馆,,08306660626,18281190620
汉庭（泸州广电中心店）,,08306668918,
富苑宾馆,,18715834553,18715775421
汇悦商务宾馆,,08308883366,
泸州天展温泉度假酒店,,08303300000,
7天连锁酒店（泸州龙马大道区政府店）,,08306020777,6020277
瑞景商务宾馆,,08303169999,
诺果酒店,,08308887088,
英皇天悦酒店（泸州龙马店）（原728英悦酒店）,,08308885728,
嵘都宾馆,,08306026888,6026288
蔷薇馨阁宾馆,,15328404727,
京奥酒店,,08306378001,6378028
百合商务宾馆,,08308189266,
立吉商务宾馆,,08308189333,13698156319
泸州云溪温泉酒店,,08304113552,8887717
春生酒店,,08303342999,
恒悦酒店,,08308595888,
玖联宾馆,,08305901290,18683019698
南苑宾馆,,08303158888,
泸州酒城宾馆,,08303159999,
千叶酒店,,08308886077,
四川巨洋国际大饭店,,08302646674,2222222
爱丁堡酒店,,08308887188,
海韵宾馆（向阳路店）,,08302663399,
亿龙商务宾馆,,08306662288,
鑫梦宾馆,,08302279696,
乐源宾馆,,08308889123,13678302129
汇通宾馆,,08302285777,
伯鑫宾馆,,08308887770,
伊顿饭店,,08303156666,3158178
帝都爱家宾馆,,08308880977,
千禧旅馆,,08306270053,
黄荆老林宾馆,,08307060999,
鸿利商务宾馆,,08305271418,
佳鑫宾馆,,08302276338,
仕苑宾馆,,08302581646,
紫薇宾馆,,08303119138,
佳都宾馆,,08302286786,
铭鑫商务宾馆,,08303163000,
凯尊酒店,,08306221888,
新豪宾馆（原红都宾馆）,,08303118937,
