姓,名,家庭手机,工作手机
朋来宾馆,,13666349532,
花园宾馆（汶阳大街店）,,15263486830,
仁和商务宾馆,,06348861258,13468253504
慧莲宾馆,,06346225818,
520时尚酒店,,06346520520,
鑫田宾馆,,06348565667,15606347659
名佳商务宾馆,,06348139678,
嘉源宾馆,,06345869188,15063407883
金源商务宾馆,,13290389599,
隆方宾馆,,06348895677,
天天宾馆,,13863439252,
友源宾馆,,06348137678,
鑫洋宾馆,,13563428471,
尚客宾馆,,06346190313,
罗曼宾馆,,06348565668,13563472427
尚客优快捷酒店（莱芜汶水大学城店）,,06345609333,
丰源宾馆,,06348865115,13906342976
同悦宾馆,,06348229166,13506349383
天正宾馆,,06346900299,
盛世豪庭商务宾馆,,06346266880,13306346220
