姓,名,家庭手机,工作手机
红阳商务宾馆,,037967922838,
乐泉宾馆,,13703495568,
旅美达洛阳服务区汽车旅馆,,037967071106,13783527010
君悦宾馆,,18338823722,
向阳商务宾馆,,037965138800,
好运来商务旅馆,,15896564296,
爱心商务宾馆,,13592062313,15538881394
华泰商务大酒店,,037965139999,15978605999
千悦宾馆,,037965136613,13103791669
星光宾馆,,15603798627,13939918015
金茉莉宾馆,,037967821881,
宇豪商务宾馆,,13838886885,
前楼宾馆,,13663876898,13698806371
丰泽园商务酒店,,037967817888,
扬帆商务酒店,,037960191888,
飞祥快捷宾馆,,13939943507,
骊景宾馆,,037967061132,
明泰快捷宾馆,,037980887163,
静缘宾馆,,037967034998,15737982658
诚信宾馆,,037967820683,13949282216
新潮快捷酒店,,18567607506,
盘古宾馆,,037967915888,
华泰商务大酒店,,037965139999,15978605999
前楼宾馆,,13663876898,13698806371
向阳商务宾馆,,037965138800,
旺角商务宾馆,,037960879996,
静缘宾馆,,037967034998,15737982658
富源酒店,,037967819666,
金华宾馆,,13608657318,15838807666
诚信宾馆,,037967820683,13949282216
明扬国际酒店,,037967909888,67098008
好运来商务旅馆,,15896564296,
凯悦商务宾馆,,037967037666,
郭三宾馆,,037967820836,13700795415
龙港宾馆,,18137711139,
汇金快捷宾馆（麻屯店）,,037965286528,
旅美达洛阳服务区汽车旅馆,,037967071106,13783527010
明苑快捷酒店,,037967000555,
蓝天商务宾馆,,13383877903,
祥和园宾馆,,037967851218,
