姓,名,家庭手机,工作手机
东风旅店,,07532223125,
维也纳国际酒店（梅州锭子桥店）,,07538676666,
丰顺青春YOU&ME温泉住宿（湖下店）,,07536188681,
希悦主题酒店,,07532134888,
洪兴旅店,,07535538881,
东洋宾馆,,07532539388,
茶阳东升旅店,,07535682387,
金鸿大酒店,,07532359388,
兴盛旅店,,07533333589,
裕佳旅社,,07538836821,
鸿佳商务酒店,,07532205999,
源兴酒店,,07532316666,13411291982
嘉州假日酒店,,07532211999,
春宇宾馆,,07532338778,2339778
丽星酒店,,07536132000,6132938
逸米酒店（梅州广梅路黄塘店 ）,,07532327333,13928898221
亿家商务酒店,,07538671888,
尚客优快捷酒店（梅州梅县丽江湾店）,,07532227888,
普铁招待所,,07536136053,
金华主题酒店,,07532198188,2302888
万豪旅馆,,13750549985,13627955006
龙城宾馆,,07535188178,
豪华住宿,,18475099409,
帝景商务酒店,,07532323868,
钦诚温泉住宿,,13169207523,
新昌酒店（嘉应大学店）,,07532120188,
丰良商务公寓,,07536227688,
瑞鑫商务宾馆,,07535186389,
客来轩客栈,,18681418217,18300120580
雄鹰旅业,,07538896148,
中兴宾馆,,07535559868,
石龙旅店,,07538213628,
泰运宾馆,,07532222886,
吉盛酒店,,07532829999,
西湖宾馆,,07535522888,
梦家商务酒店,,07532350333,
嘉园宾馆（彬芳大道店）,,07532112333,
星华旅社,,07536631756,
顺风公寓,,13332714506,13430168710
福鑫住宿,,13168107279,
百佳园连锁酒店（嘉大店）,,07532197996,
百佳园连锁酒店（今天店）,,07532177777,
君意商务宾馆,,07534326666,
嘉运宾馆,,07532180988,
圈子艺术酒店,,07532213333,
福源酒店（华景美都店）,,07538586988,
顺景商务宾馆,,07538658338,
锦泰商务宾馆,,07535182088,
芭缇阳光连锁酒店（梅州梅龙总店）,,15986482049,13411264697
辉瑞大厦,,07532356010,
茗韵轩商务酒店,,07532539868,
芭缇阳光连锁酒店（梅州汽车总站店）,,07532187888,
三天快捷公寓,,07538222288,
湖景商务酒店,,07532211888,
新世佳商务酒店,,07532351777,
漫城时光酒店,,07532171888,
优佳主题酒店,,07535182555,
瑞和商务宾馆,,07535185999,
华旺宾馆,,07532480188,13450712483
尚客快捷酒店,,07538834789,
