姓,名,家庭手机,工作手机
阁来祥商务酒店,,03936287777,6289999
华天商务宾馆,,03935316066,
唯爱主题酒店,,03936234567,18639315111
客家宾馆,,03935310951,18665000393
华府宾馆,,03935315189,
明都商务酒店,,03936369888,
昌盛快捷宾馆,,03936233345,
南国时尚宾馆,,03935565588,
乐家快捷宾馆,,03935313222,5313777
维拉尼卡国际酒店,,03938751111,8750222
ECON 英康宾馆,,03935315198,
骏怡连锁酒店（南乐店）,,03938630188,8676366
明星旅馆,,03935310066,13839330044
民众旅馆,,13938325349,
振兴宾馆,,13781310042,
南环招待所,,18790998200,
仓颉商务宾馆,,03936781111,
仓颉商务宾馆（元村镇店）,,03936851111,
爱慕时尚宾馆,,13839289890,
南乐宾馆,,03935314888,18739342266
