姓,名,家庭手机,工作手机
南投日月潭晶彩民宿,,0088649-2850498,
南投日月潭·玥身心灵空间（YUE Spiritual Space）,,00886987709767,
南投冠月精品旅馆,,0088649-2900679,
南投日月潭梦想家民宿（Dreamer Hostel）,,0088649-2850376,
南投埔里友山尊爵酒店,,0088604-2981122,
南投日月潭娜鲁岛渡假套房（Naluisland House）,,00886937953665,
潭乡御民宿,,0088649-2850078,
南投春大地山庄,,0088604-2801000,
南投清境佛罗伦斯休闲渡假山庄（Florance）,,0088649-2803820,
南投清境家园景观山庄,,0088649-2803988,
清境竣悦空中花园度假山庄,,0088649-2803388,
南投清境珂之幄山庄,,0088649-2802388,
香格里拉空中花园国际青年旅舍（Shangrila Hanging Garden & Resort）,,0088649-2802166,
南投清境云海景观渡假山庄（Sea of Clouds Vacation Villa）,,0088649-2803889,
南投日月潭日月情旅民宿,,00886919618383,
天月水色民宿,,0088649-2850659,
南投朝雾渡假餐饮小栈,,0088649-2855000,
南投埔里鲤鱼潭天水莲大饭店,,0088649-2903411,
帝纶温泉大饭店,,0088649-2702789,
阿波罗饭店,,0088649-2900555,
湖悦景观民宿,,0088604-92850002,
集集农场民宿,,0088649-2762466,
清境小筑,,0088649-2803789,
清境君士坦丁堡,,0088649-2803820,
日月潭米洛克景观饭店,,0088649-2856820,
南投清境霞飞音乐城堡,,0088649-2803229,
清境龙庄日式会馆,,0088649-2802999,
溪头米堤大饭店,,0088692612222,
埔里西站時尚會館,,0085227707718,
南投日月潭花鸟新村渡假民宿,,0088649-2880452,
晶泽别馆,,0088649-7008188,
欧悦连锁精品旅馆,,0088605-5515555,
南投清境农场俪景花园山庄（LICHING GARDEN VILLAGE）,,0088649-2803199,
南投清境庐山幸福小镇温泉民宿,,00886989836156,
南投沐悦精品时尚旅馆（商务馆）（MU YUE FASHION BOUTIQUE HOTEL）,,0088649-2569966,
日月花嫁渡假屋,,0088649-2897937,
清境欧乡美邸民宿,,0088649-2803993,
立德溪头饭店,,0088649-2612588,
南投大汉居民宿,,0088649-2855245,
映涵度假饭店,,0088649-2850099,
俪山林会馆,,0088649-2850000,
南投日月潭大涞阁饭店,,0088649-2856688,
南投溪头夏缇饭店,,0088649-2753333,
南投日月潭小巴与小布,,0088649-10541475,
南投稻湘村民宿,,00886911813597,
南投朴宿庭园民宿（Pu Su Garden Bed and Breakfast）,,00886921587376,
南投集集倍诗泰民宿,,0088649-2764707,
南投香榭雅筑花园渡假村民宿,,0088649-2760777,
南投集集棕梠泉民宿,,0088649-2762199,
南投清境俪景豪斯登堡（Huis Ten Bosch）,,00886049-2803106,
南投日月潭樱宴渡假会馆,,0088649-2850636,
南投日月潭米乐民宿,,0088649-2850625,
南投清境爱力家生活村民宿,,0088649-2803259,
南投日月潭竹石园生态研习中心,,0088604-2856679,
南投清境瑞典假期,,0088649-2803982,
南投日月潭爱黏在一起设计师民宿,,0088649-2898088,
南投日月潭星月小筑,,0088649-21492018,
台一生态休闲农场,,0088649-2997848,
南投埔里枫桦台一渡假村,,00886049-2997848,
日月潭澄园民宿,,0088649-2850062,
南投埔里梦想街8号,,0088649-2933288,
南投水里峰林山庄,,00886912-650871,
清境以马内利休闲景观渡假村,,0088649-2801077,
南投水田衣艺术家民宿,,00886932593320,
阖家欢民宿,,0088649-2899949,
南投日月花嫁渡假屋二馆,,0088649-2897937,
南投日月潭码头精品旅店,,0088649-2855143,
南投日月潭山泉水民宿,,00886911310398,
南投清境山水缘,,0088604-92803171,
南投清境事外桃源渡假山庄,,0088649-2803989,
南投溪头金台湾山庄民宿,,0088604-92754064,
南投日月潭山水居,,00886937781065,
南投集集大自然休闲民宿,,0088649-2761566,
南投日月潭伊达邵渡假旅店,,0088604-92850412,
南投日月潭爱之屋渡假旅店-庭园本馆,,0088649-2856528,
南投水中天民宿,,0088649-2983238,
南投娜噜弯渡假景观木屋民宿,,0088649-2803099,
英格曼花园山庄 （Egmont Mountain House）,,0088649-2802585,
南投大统饭店,,00886937595332,
南投水岸休闲饭店二馆（Shuian Hotel）,,0088604-92850566,
南投大饭店,,00886049-2229161,
南投日月潭馥丽温泉大饭店（FULI HOT SPRING RESORT）,,0088604-92856696,
南投水里禅与松休闲会馆,,0088649-2871277,
南投清境峰情民宿,,0088649-2801123,
南投梵谷星空民宿,,00886903663772,
南投埔里松涛园民宿,,0088649-2911291,
南投日月潭玥湖民宿（Sun Moon Lake Backpacker Hostel）,,0088649-2856561,
南投认真生活民宿（Hello）,,00886932593320,
南投青蛙ㄚ婆ㄟ家生态探索民宿,,0088649-2918862,
