姓,名,家庭手机,工作手机
欣迎宾馆,,05385616779,13385382388
皇苑商务宾馆,,05385569888,
金秋商务宾馆,,05385999966,
如心快捷酒店（新汽车站店）,,05382065111,
兴达商务宾馆,,05385656076,18763874455
七贤商务宾馆,,05385669888,
长寿苑商务宾馆,,05385588566,
速8酒店（宁阳店）,,05386346888,
豪信商务宾馆,,05385982777,
亿佳仁商务宾馆,,05385661111,
润城宾馆,,05385576888,
尚客优快捷酒店（宁阳西街路店）,,05385186666,
林瑞商务宾馆,,05385151789,
金信商务宾馆,,05385678777,
都市118连锁酒店（七贤路店）,,05385588666,
御锦商务宾馆,,05385818888,
都市118精选酒店（泰安宁阳八仙桥店）,,05386083999,6083118
时代宾馆,,05385726888,
神泉山庄,,05385502666,
7天连锁酒店（宁阳亿丰时代广场店）,,05385678577,6087777
睿柏.云酒店（蒙馆路店）,,05385958888,
宁阳宾馆,,05385611111,
金豪商务宾馆,,05385220888,
金源宾馆,,05386816888,
锦华度假村,,05385678888,
顺馨宾馆,,05385662888,
好顺宾馆,,05385612767,13468069004
庆嘉商务宾馆,,13954844697,13953844776
华鑫宾馆,,05385119666,
福安宾馆,,05385611096,13853856400
新华宾馆,,05385562886,15264858567
雅轩宾馆,,05385772789,
北方佳驿商务宾馆,,05385706888,
方达宾馆（万达店）,,05386341461,
舒怡商务宾馆（原心怡商务宾馆）,,05386081222,
小城假日商务连锁酒店（宁阳店）,,05385751777,
心怡商务宾馆（宁阳店）,,05386081222,
儒家商务宾馆,,05385863555,
金畅商务宾馆,,05385563777,
瑞馨宾馆,,05385619188,5110777
景秀商务宾馆,,05385628999,6088006
春江花月商务宾馆,,13792124807,
嘉美商务宾馆,,05385516777,
汝家快捷宾馆,,05386083888,
润发宾馆,,05385631656,
凌云贵宾楼,,05385236666,
骄龙商务宾馆,,05385356988,15610393456
静德庄园,,05385650999,
鑫亚宾馆,,05385624819,13853850689
机关第二招待所,,05385811110,
顺兴大酒店,,05385561007,
东街旅馆,,05386340573,
顺安旅社,,13685386995,
安宁旅社,,13375635500,
悦来宾馆,,05386349211,
舒雅宾馆,,15610405038,
金昇宾馆,,05385411117,
东方宾馆大酒店,,05385621743,13583898108
朝阳宾馆,,05385626152,
诚信饭店&旅社,,05382150104,
磁窑宾馆,,05385811110,
彩山大酒店,,05385688668,
天天商务宾馆,,05386082000,15263069133
住宿,,15169858384,
东疏供销社大酒店,,15908093368,
万达商务宾馆,,05386341461,
茧站旅社,,15908093563,
金鑫饭店宾馆,,05385432191,
中华大酒店（宁阳县东疏交通运输管理所西）,,05385561084,
贵和商务连锁酒店,,05385667777,5516666
柳州酒店,,05385623899,
京华酒店,,05385601725,
市场招待所,,05385176183,
雅馨商务宾馆,,05385826678,
宾馆,,05385611993,
四兴大酒店,,05385812530,
富隆宾馆,,05385621111,
东升酒店,,05385531899,
连通宾馆,,15066733332,
春意宾馆,,13792124807,
鲁中宾馆,,05382150327,
富桥宾馆,,18753806970,
飞腾宾馆,,05386083999,
华府旅馆,,05355627668,
磁窑旅馆,,05386349763,
样庆旅社,,05385432450,
宏祥宾馆,,05385812188,400833-6699
供销宾馆,,05385624789,
益众宾馆,,13685384248,
安泰宾馆（欣街）,,05385622529,
超市宾馆,,05385828048,
林香宾馆,,05386340772,
三通宾馆,,13854851919,13853853533
华阳大酒店,,05385822677,
上航宾馆,,05385816003,
亿家商务宾馆,,05385820777,
清心旅社,,05385624797,
梁山鑫源宾馆,,15964722157,
万乡宾馆,,13295488797,
芒果商务宾馆,,13365433651,15605483688
金地商务大酒店,,05386088666,
