姓,名,家庭手机,工作手机
金府商务宾馆,,08963333366,
银河大酒店,,08963334462,18189960098
铭豪大酒店,,08963393333,
永昌宾馆,,08963828498,18786498505
仲青塘拉大酒店,,08963828888,
百将商务酒店,,08963397777,
金太阳大酒店,,08963389999,18689086666
恒欣宾馆,,18208068294,15208070708
三谊商务宾馆,,08963371111,13989094349
圆丰大酒店,,08963739999,3735555
喜德隆宾馆,,14728960880,
台州宾馆,,08963828060,
永成大酒店,,08963399999,
藏北迎宾酒店,,08963358888,3368888
拉曲宾馆,,08963826553,18767651371
九龍商务酒店,,08963335111,15726761181
龙信宾馆,,08963330804,17681650588
成都宾馆,,08963351796,
华府宾馆,,08963331998,13689093828
山城宾馆,,13989962126,
京丽荣宾馆,,18603766020,
顶峰酒店,,08963331122,
川邑商务宾馆,,15708068866,
三江源吸氧区宾馆,,08963663406,18655555528
斯卡拉大酒店,,08963333331,
金鹏商务宾馆,,08963331888,
波然仓大酒店,,08963333333,
雪域商务宾馆,,08963362222,
福来居宾馆,,08963663140,13888673220
东神大酒店,,08963338000,3335885
康源快捷宾馆,,08963338999,13889014111
羌塘青年旅舍,,18143868667,
皇家大酒店,,08963335222,18793032111
桃源酒店,,08963350111,
百谦便捷酒店,,18408968924,
环宇宾馆,,08963380988,
万来宾馆,,13990045026,
草原宾馆,,08963380666,
三星宾馆,,08963350139,
新时代宾馆,,08963800399,3350045
华鑫宾馆,,08963380341,3380340
中信那曲大酒店,,18898060999,18898061999
凯斯顿大酒店,,08963331666,
九州宾馆,,08963351508,
大众宾馆,,18308002735,
玉龙商务酒店,,08963381666,
馨悦商务大酒店,,18898067711,
卓格尔宾馆,,08963662330,
天湖宾馆,,08963672268,
粮贸商务宾馆,,08963663111,18708075316
华豫招待所,,08963820559,
邮政宾馆,,08963820999,
民政福利宾馆,,08963822084,
安多宾馆（那曲）,,08963663329,3662230
汇东宾馆,,08963829722,
羌塘商务宾馆,,08963908888,3682255
政府宾馆,,08963632277,
杰秀怒江大酒店,,08963359999,
临夏宾馆,,08963827552,
星世纪商务宾馆,,18408965959,
尼玛宾馆,,08963820499,
洁神洗浴宾馆,,15889069828,
羌塘民族宾馆,,18689078856,
极地大酒店,,13568306146,
兰临招待所,,18089987110,
天鑫旅馆,,08963703099,
美好时光主题酒店,,08963332333,
民政客房部,,08964312588,
富中宾馆,,08963829666,
四方舒心酒店,,08963352222,
措那湖宾馆,,08963662777,
黄金宾馆,,13908961109,
天路宾馆,,18289174362,
人和宾馆,,08963662456,
三江源大酒店,,08963662333,
宏发招待所,,08963829008,
牧人大酒店,,08963388888,18389063626
那曲饭店,,08963822424,
渝万宾馆,,15736088858,
