姓,名,家庭手机,工作手机
平度宾馆（秀水苑贵宾村）,,053287312208,87311920
平顺旅馆,,13156033798,
百盛宾馆,,053288378687,
俊峰宾馆,,13792456753,
仁昌宾馆,,18754220767,
华明宾馆,,13863912506,
福林宾馆,,13006527697,
俊晖旅馆,,18669816170,
明宇商务宾馆,,053288389267,
华晨商务宾馆,,053282302858,18853279992
洪林旅馆,,053288323674,
海绮游泳会馆（客房部）,,053288331678,
仁和宾馆,,053284397221,
供销宾馆（平度市明村镇后楼卫生所西南）,,053286311818,
国营宾馆,,053288312876,13864818086
e时代商务宾馆,,053288300009,
蓝磨坊主题酒店,,053280816968,
赛家客房,,053285351666,
奕发宾馆,,18653299811,
辉顺宾馆,,053284396985,13583281706
黎明商务宾馆,,13964820944,
贵家宾馆,,053285357038,13361482828
北京宾馆,,13553021075,
华锋商务宾馆,,053288377718,
宝丽商务宾馆,,053268086677,
友谊宾馆,,053268080002,
尚客优酒店（平度南村海信产业园店）,,053283391555,
尚客优快捷酒店（青岛平度人民路店）,,053288371288,
东方商务宾馆,,13325012723,
倪家商务宾馆,,053288300001,
首选假日快捷酒店,,053282350666,18853270888
雅其商务宾馆,,053287363537,
金都商务酒店,,053283398698,
星雨宾馆,,15339998176,
盛家快捷商务宾馆,,053285335566,
7天连锁酒店（青岛平度青岛路店）,,053286636999,
都市118连锁酒店（平度商贸城店）,,053288361118,
银座佳驿（平度天津路店）（原平度虹喆商务宾馆）,,053286633666,
金樽大酒店,,053283391262,
沽河居大酒店,,15964978281,
峰菲商务宾馆,,053288361766,
南村世轩宾馆,,053283391025,
物资宾馆,,053287362863,88310808
多维精品酒店,,053287319998,
金霖商务宾馆,,053288323668,
超炫商务宾馆,,18663922917,
汉庭（平度铜牛广场店）,,053288383366,
亿家商务宾馆,,053283396619,
永顺商务宾馆,,18266657955,
瑞盛公寓,,13806393520,
南村秀芳宾馆,,053283399286,
香江宾馆,,053286636357,
祥瑞宾馆,,053283305858,
保华旅馆,,053288327879,
田园宏盛宾馆,,053282321111,
温馨宾馆,,13370865995,
贤雅居宾馆,,15954081685,
圆中方大酒店,,053288318396,
格瑞特商务宾馆,,053286639871,
广进源宾馆,,13805428463,
都市星联大酒店,,053288320688,
紫荆金华,,053286639820,
如家快捷酒店（平度青岛路店）,,053282362666,
兴苑宾馆,,053286393999,
诚信酒楼客房部,,053287333999,
坤东宾馆,,15954281127,13969706377
新家园宾馆,,053287319866,
汉庭（平度青岛路店）,,053286638888,
丰收旅馆,,13869815269,
永丰旅馆,,13061240567,
利敏宾馆,,053288323909,
易捷假日酒店,,053268086999,
晓华商务宾馆,,13061371287,
新佳苑商务宾馆,,053288318920,
永红旅馆,,053288323445,13070818100
平度泰畅商务宾馆,,053285357771,
速8酒店（平度海宜家胶平路店）,,053288328999,
润都商务宾馆,,15192061968,
福鑫旅馆,,13573283091,
洪芳旅馆,,15053263920,
翔友商务宾馆,,053286632166,
温馨旅馆,,15588631234,
午夜飞城网络宾馆,,18669892927,18661776958
景涛旅馆,,13210860575,
好运来旅馆,,15092045796,
盛海源酒店,,053285365999,
八喜宾馆,,053288318220,13455212110
乐嘉宾馆,,053282397888,13275321826
平度华玺大酒店,,053282358222,
大富豪宾馆,,053286391295,
又一村大酒店（红旗路店）,,053288396857,88386857
好e家商务客房,,053288312266,
寅泰商务宾馆,,053255781028,15864200875
平度弘坤商务宾馆,,13061235378,
环宇宾馆,,053288392168,
景峰宾馆,,053288333698,
锦华商务宾馆,,13658689679,
悦来客栈,,053288382800,89755999
亚坤商务宾馆,,053288397766,
平度广源宾馆,,13589239777,
林都商务宾馆,,053282692688,
三和宾馆,,053287360505,
天玺商务宾馆,,053288365858,
福苑旅馆,,053288380833,
主题商务宾馆,,053288374441,
青岛聚圣阁宾馆,,053288308588,13345009009
东莱大酒店,,053288363666,88363888
青岛饭店（香港路店）,,053282898077,
惠客商务宾馆,,053268088801,
宋江旅馆,,053283321402,
福兴宾馆,,053287365278,
锦庭大酒店,,053288398222,
保瑞旅馆,,05328323002,
如意旅馆,,13395928483,
安平旅馆,,053288323287,
乐圣居宾馆,,053283396828,
长乐供销社饭店旅馆,,053285381248,13793250527
兴华饭店旅馆,,053283346866,
鑫江宾馆,,053282330588,13687622278
宏伟旅馆,,053288327779,13210060886
新家旅馆,,053288365169,
友佳旅馆,,053288327551,
书香苑酒店,,053288326276,
官鹏旅馆,,053288327963,15653286583
顺发旅馆,,18669894998,15588629567
玉峰生态园大酒店（小洼村店）,,053287380888,
剧院旅馆,,053289266668,
阿仲·福安酒店,,053287339898,
新丰旅馆,,13625320588,
福顺旅馆,,13506394937,
东阁小院,,13625326253,
花苑商务宾馆,,15953211995,
高老庄川味主题酒店,,053285326532,
宏伟商务宾馆,,053288327779,13210060886
和顺旅馆,,053286639294,
熙康旅馆,,053288327656,
雅其宾馆,,053287363537,88330258
向阳旅馆,,053288323985,
Z+私人影院日租,,053287369666,15621131690
飞宇商务宾馆,,053283391869,13963923167
秀坤旅馆,,053288323711,
泰豪酒店,,053288310078,13465868686
鸿运旅馆,,053288316553,
同和双福旅馆,,18953260566,
馨宇商务宾馆,,053268081099,
全成宾馆,,053288376067,
高新酒店,,053283372897,13573283353
501休闲时光公寓,,13573821360,
福利宾馆,,053288330589,
盛源宾馆,,053288380107,
同福宾馆,,053282321255,
大川旅馆,,053283383378,
阳光学生公寓,,13792918002,
吉顺宾馆,,053283398898,
爱亭旅馆,,15954812200,
晟德金华宾馆,,053286358877,
南村乡村风情宾馆,,15863029751,
鑫都旅馆,,053288327705,
鑫蕙旅馆一店,,053288323722,
管鹏旅社,,053288323515,
四方旅馆,,053283391546,
希望城旅馆,,13583230788,
祥山旅馆,,18765947713,
祥和旅馆,,053286639414,
玉香宾馆,,13953282347,
福乐宾馆,,053287316445,
平度得煜旅馆,,13589313246,
海宁旅馆,,053288323499,
桂林旅馆,,13869875215,13206368109
茶山国际乡村旅游俱乐部,,053285320123,85980123
新华宾馆,,053288391838,18766288035
凯思乐高尔夫俱乐部,,053283340100,
阳春宾馆,,13475832887,
金盛达商务宾馆,,13954295526,
供销社宾馆快餐,,13963996799,
鸿达宾馆,,053288361638,
兄弟旅馆,,13355328209,
海情旅馆,,15165201202,15866825061
怡安旅馆,,053288329858,
金凤宾馆,,053288361378,
天润王氏大酒店,,053283397000,
鑫源宾馆,,053283392368,
佳苑宾馆,,053282318002,
宏雪源旅馆,,053283399038,
瑞丰宾馆,,15288978290,
天地缘旅馆,,053289000779,
平安宾馆,,053282320968,15864281066
东弘升旅馆,,053288388310,
温沙雅舍国际度假村,,053283339777,
前楼酒店,,053286312168,
楷丰商务宾馆,,15063955386,
福居旅馆,,13805428769,
富安旅社,,13210182127,
传恩诚信旅馆,,053288323865,
飞象幸运村,,053286363777,
利民大酒店,,053283382735,
新河宾馆,,053286357666,
华锋酒店,,053287369208,
修臣酒店,,053286369636,
仁禾酒店,,053285390058,
恒达宾馆,,053286396819,
爱民宾馆,,13012558581,
金帝宾馆,,13573289877,
洪杰饭店宾馆,,053286391028,
丽都苑宾馆,,053287312939,
天安商务宾馆,,053288371668,
傲丰酒店,,053288356051,
云山宾馆,,053283341078,
祥顺宾馆,,053287307279,87368285
金宙宾馆,,053284356081,
鹏飞旅馆,,053288313771,
天成旅馆,,053288315279,
幸福旅馆,,053288391048,
乐世宾馆,,053283396688,
海之信宾馆,,053283398118,
商业宾馆,,053287362289,
悦品居养生酒店,,053282698787,
顺怡来旅馆,,053289266668,
天鸿宾馆,,053288331216,
鲁峰大酒店,,053282337638,
丽萍旅馆,,15066224176,
凯丰旅馆,,053288323530,
鑫鑫旅馆,,053283302596,
客春宾馆,,13156218168,
同盛宾馆,,053283391190,
红波宾馆,,053288323803,
中惠社区旅馆,,053287311821,
利浦旅馆,,15192612896,
金源旅馆,,13210056317,
舒心旅馆,,053283396918,
家庭旅馆,,18866256515,
正大宾馆,,15905421744,13969828843
安顺旅馆,,13791974695,
鸿顺旅馆,,05328323007,
春雨宾馆,,053283391485,
都市118连锁酒店（郑州路店）,,400615-0100,
春伟宾馆,,15244213897,
三里屯青年汇,,053286383079,
喜林宾馆,,053280817126,
锦尚酒店,,053287361159,
顺缘旅馆,,13210104467,
翔宇旅馆,,05328327623,
瑞佳缘旅馆,,053287361099,
永国商务宾馆,,053286392226,
洁民宾馆,,053287311899,
梨苑宾馆,,053283361569,
双兴大酒店,,053286363118,
迎君旅馆,,13869817477,
君来聚宾馆,,053288327759,
实丰宾馆,,053283302780,
祥宇旅馆,,053288327623,
鸿军旅馆,,053288323386,
温馨小屋旅馆,,053287310707,
东胜旅馆,,053288323369,
新城旅馆,,15064663667,
万凯大酒店,,053287387999,
日月圆宾馆,,053283390868,
鑫蕙旅馆二店,,053288323032,
红梅旅馆,,13573206200,
三和旅馆,,053288365037,
盛林旅馆,,053288323848,
向东旅馆,,13406427737,
聚馨源宾馆,,053283390959,
