姓,名,家庭手机,工作手机
广达商务酒店,,051689076888,
世申宾馆,,15052062971,13775818736
勇春宾馆,,15062133335,
乾坤宾馆,,051686388159,
新风景快捷宾馆,,051689001188,
贵友宾馆,,051687695888,
程云宾馆,,051689642118,18952221262
顺天宾馆,,051689870818,
映雪宾馆,,051689649948,
圣鑫宾馆,,051689616633,18120038926
鑫贵宾馆,,13952221155,
兴盛宾馆,,051689643066,
中鑫快捷宾馆,,051689961958,
清泉宾馆,,13852126232,
格佳商务宾馆,,15312635678,15252279288
旭日宾馆,,15895258033,
爱尚宾馆,,051689622118,15380138988
布丁酒店（徐州沛县百货大楼新苏果购物中心店）,,051682190009,
万通旅社,,13852124696,
唯美宾馆,,051689898787,
鑫兴宾馆,,13921795551,
森源宾馆,,051689958222,
尚客优骏怡连锁酒店（徐州沛县汤沐中路店）,,051689638888,89673700
新国仁宾馆（原阳光宾馆）,,13775815759,
润龙宾馆,,051689908839,15852224007
喜来乐宾馆,,051689776568,
水韵兰亭会馆,,051689275666,
鑫华龙商务宾馆,,051689677888,
皇冠快捷宾馆,,051689625558,
尚客优快捷酒店（徐州沛县汽车站店）,,051681298888,
嘉家商务宾馆,,051689928555,
志诚宾馆,,15152085683,
怡梦宾馆,,051689905777,13815399166
悦来宾馆（大屯镇齐心社区卫生服务站东）,,18751527929,
好心情旅社,,051689022578,13775811578
华隆商务宾馆,,051689637869,
恒丰宾馆,,051689058000,15365410000
福临门大酒店,,051689941087,
国仁宾馆,,13365291555,
宝韵苑宾馆,,051689925558,
畅通宾馆,,051689678896,
速8酒店（沛县大屯上海路店）,,051689759888,89993456
汉韵假日酒店,,051689861666,
芒果时尚主题酒店,,051689875555,
帝都快捷宾馆,,051689638898,
汉庭（徐州沛县店）,,051689633396,
格林豪泰快捷酒店（江苏省徐州市沛县樊哙路店）,,051680195555,
私密花园酒店,,051689627000,
格林豪泰商务酒店（沛县汽车站汤沐路店）,,051689636998,
御苏园宾馆,,051689629296,
锦江之星酒店（沛县汉城路店）,,051689673333,
蓝山连锁假日酒店,,051681211111,
铂金商务酒店,,051689782222,
裕隆商务宾馆,,051689923388,
鼓楼商务宾馆,,051689818811,13913496511
鸿宁宾馆,,051689615778,
龙乡阁商务宾馆,,051689795566,
豪源宾馆,,15852339185,
友好支星宾馆,,051687698999,
恒源宾馆,,13056268070,
速8酒店（徐州沛县九龙城店）,,051680196666,
尚客优快捷酒店（徐州东风路店）,,051689979998,
和平宾馆,,051686381176,87690997
沁园宾馆,,051689631660,13921795551
假日宾馆,,051689619288,
四通商务宾馆,,051689777116,15150089068
聚友宾馆,,15380138988,
雪峰宾馆,,051689926656,13813495166
天翼快捷宾馆,,051689885111,89897111
天翼快捷宾馆（龙固店）,,051689890101,89990101
商都宾馆,,15365865617,
沛县逸如家快捷宾馆,,051686386678,
金海岸宾馆,,051689630526,13921794833
盛唐宾馆,,051689656099,
鸿源商务宾馆,,051689912345,81206789
盛世仁邦宾馆,,051668962699,
金沙大酒店,,051689839000,
紫苑宾馆（香城路店）,,051689648186,18952229651
凌云快捷宾馆,,051689792222,
来嘉快捷宾馆,,051689888999,
歌风宾馆,,051689631001,89631000
福鑫宾馆,,15050092136,
宏泰宾馆,,051689681685,15380138262
燕山饭店,,051689640666,
振兴宾馆,,051689658636,
嘉利宾馆,,051689675099,13056266088
烟雨江南精品酒店,,051689715000,
延寿宾馆,,18361751876,
仁居宾馆,,051689628885,
益客商务宾馆,,051689705999,
文亭宾馆,,15105213366,
久隆宾馆,,051686381283,
大汉之星时尚快捷宾馆,,051689805678,
徐州汉源宾馆,,051681229999,
怡园宾馆,,051689621529,
双拥宾馆,,051689615898,15952221226
天源宾馆（汉源大道店）,,051689889599,
大唐商务宾馆,,13914810389,
海纳快捷宾馆,,051689055555,
沛龙中心大酒店,,051689672988,
兰桂坊假日酒店,,051689802222,
仙客来快捷宾馆,,051689941222,
聚鑫宾馆,,051681205116,
瑞福祥大酒店,,051689632888,
锦程宾馆,,051686388368,13813496235
银汉宾馆,,051687697929,13160293103
嘉园宾馆,,15050095817,
华圣宾馆,,051689618585,
新沛宾馆,,15996898677,
金鑫宾馆,,13905226252,
鑫泰宾馆,,13405167811,
心怡宾馆,,051689648333,
全家福大酒店,,051689649888,
鹊桥大酒店,,051681200999,
雅居宾馆,,051688456527,
敬安镇小康旅社,,15252280085,
鑫鑫聚宾馆,,15189483658,
天天宾馆,,051689676099,15852029967
兴平旅馆,,051689631713,
舒翔宾馆,,13218559339,
鑫源宾馆,,051689635292,
盛兴宾馆,,051689862788,13952226456
郭靖宾馆,,051689659300,
月星宾馆,,051689941768,
汾阳宾馆,,051689649656,
顺风宾馆,,051685586777,13914810000
春意宾馆,,051689638252,
吴家宾馆,,18796389562,
西苑宾馆,,051689615757,
新正旅社,,18552795297,
镇西宾馆,,051689851809,
鑫佳园宾馆,,13952205188,
千岛湿地水上商务酒店,,051668879911,
平安宾馆,,051689611617,
飞龙宾馆,,051689898555,
鑫圆旅馆,,13813262519,
聚缘宾馆,,15162078178,
金鹰宾馆,,15351639275,
金盟宾馆,,13813269200,
福顺宾馆,,051689941322,
春光旅馆,,15252266876,
大名宾馆,,18118319158,
金凤凰大酒店,,051683686600,
金莱宾馆,,15952229129,
家和宾馆,,15852029618,
亿家宾馆,,051689949188,
赵府旅馆,,051689672300,
百顺宾馆,,051689637398,
大屯矿区馨园宾馆,,15262108269,
清怡宾馆,,15052061019,
鑫磊宾馆,,051689383365,
湘江宾馆,,051687690609,
永乐宾馆,,051689860339,
龙飞宾馆,,051689968188,
宏坤宾馆,,15852022298,
聚豪宾馆,,051686388039,
南潭宾馆,,051689625998,
康家宾馆,,051689803555,
春和居宾馆,,051686388818,
华泰园宾馆,,051689746666,
华天招待所,,051689901099,
向阳宾馆,,051689850628,
隆馨宾馆,,051689672588,
城源宾馆,,051689920588,
