姓,名,家庭手机,工作手机
时代住宿,,15622686669,
777温泉宾馆,,06637675777,8358777
聚盛商务酒店,,06632875899,
金福住宿,,06632281919,18026711929
夜都商务宾馆,,06632904080,
东昇大酒店,,06632812889,
红树林商务酒店,,06632204888,
文生宾馆,,06632289559,
金悦莱宾馆,,06632504888,
普宁金沅宾馆,,06632722899,15971310843
芒果公寓,,06632961288,
裕源宾馆,,06636126666,
东风温泉公寓（普宁汽车总站店）,,06632222821,
仁志昌宾馆,,06632833313,2833312
粤东宾馆,,06632246889,
君怡酒店（玉华路店）,,06632103618,2103168
家外家酒店（国际商品城店）,,06632607888,
6+1商务宾馆,,06632419888,
豪门夜大酒店,,06638372111,
名香商务酒店（占陇店）,,06632655888,
衡都大酒店,,06632534999,
如家快捷酒店（普宁国际商品城高铁站店）,,06636187111-9,
如家快捷酒店（普宁国际服装城店）,,06636189868,
名香温泉酒店（流沙店）,,06632595888,
冠万山茶庄,,06632966888,
格林豪泰商务酒店（普宁国际商品城店）,,06632987888,
鸿泰酒店,,06637639111,
赢家温泉大酒店,,06632233888,
金城温泉宾馆,,06632789789,
金水桶温泉酒店,,06632817111,
鸿源酒店,,06632433555,
名香温泉酒店,,06632165666,
格林豪泰商务酒店（普宁国际服装城普宁广场店）,,06637639999,
维也纳酒店（普宁环城南路高铁站店）,,06633852555-0,
我的地盘主题酒店,,06636187108,13414836783
舒心商务酒店,,06632293888,
星星公寓,,06633877977,
维也纳国际酒店（普宁广场店）,,06632590999,
龙兴公寓,,06632878333,
维也纳国际酒店（普宁国际商品城店）,,06632743888,
速8酒店（普宁环城南路店）,,06632963988,2196788
富泰休闲会所（南山店）,,06637631333,
玉华大酒店,,06632221006,
金丽华酒店,,06632403333,
永泰租房,,06632276998,
皇朝大酒店,,06637687777,
龙丰租房,,15766893098,
南苑公寓,,15766769870,
长久住宿,,13128306639,
江远大酒店,,06632673888,
新东城酒店,,06636186888,
翡翠明珠酒店,,06632767777,
锦湖沐足酒店,,13682840665,
龙腾公寓,,13531990510,
港式公寓,,06632116665,15975115453
金港公寓,,18870550793,
华都住宿,,15521926709,15521910013
金源旅店,,06632722899,
时代商务公寓,,18902768233,15089355833
名城大酒店,,06632309999,
小米公寓,,06632958588,
