姓,名,家庭手机,工作手机
时光里咖啡旅馆（古城店）,,18906648636,18586646688
第三极民宿·微公益联盟客栈,,18185541990,15108874285
春风十里客栈,,13668552334,
檀庄小荷精品客栈,,13661572122,15186900104
木木小屋主题客栈,,18984497224,
一杯回忆·浮笙若梦客栈,,13688556410,
寻 · 麓主题客栈,,18486312600,18585590416
西江寒舍观景客栈,,13308550998,
蒲公英精品主题客栈（古城店）,,18084542210,13312447890
西柚青年客栈,,18355368369,
欣月酒店,,08558511333,13595560588
栖于古镇居于此楼民宿,,17750655599,18650332095
莲子公寓,,18985458414,18702355070
印象鲜花酒店,,08558538999,8537088
南山楠精品客栈,,08555728800,18984498001
杨门客栈,,18385748093,
梦栖小筑客栈,,08555711711,
西江往事客栈,,08553220588,15329987698
兴香宾馆,,15085213660,
鼓韵全景酒店,,18083171881,
三生三世主题客栈,,13985835811,
一千零一户客栈,,18685501107,18685501221
以梦为马民谣客栈,,18585185060,18692957432
龙猫主题旅馆,,15885114020,
香约客栈,,18984861308,18985451309
广天酒店,,08558572666,
爱琴海主题客栈,,15348555909,15348551909
海豹青年客栈,,13595586616,13825151142
乡风阁客栈,,08556130291,18985807838
丽景度假酒店,,08553221919,18486321919
凯悦宾馆,,08558669365,
镇远往事客栈（主题店）,,18985450069,15982561716
树蓝家庭客栈,,13888543567,18188151288
梦之缘宾馆,,08558512228,13688559588
悠然居主题客栈（镇远店）,,18085550658,
万能青年旅店（县城店）,,13096836440,
好来屋主题酒店（城南店）,,08558656668,
宝波哆客栈,,18385813565,
苗家第一寨咖啡旅馆,,08553348968,13678517397
新龙门水上客栈,,15185628393,18286582815
异乡主题客栈（古城店）,,18184551382,18084594565
裕丰园酒店,,08558620333,
我行我宿客栈,,18386781697,
秀珍酒店,,13688557578,
宇林客栈,,08555715255,18586802828
在水一方客栈,,18385717188,
凯盛客栈（古城店）,,08555711377,13885177883
君悦大酒店,,13765584153,
诗和远方青年旅舍,,18285559089,
振华农庄,,13985811746,
