姓,名,家庭手机,工作手机
梦之港宾馆,,07773665688,
金苑商务宾馆,,07773831999,
友谊商务酒店,,07775125777,2562666
汉林便捷酒店,,07772562222,
三和商务宾馆,,07772820222,2810333
晨耀宾馆,,07772836295,
汇富宾馆,,07775581666,
华联商务宾馆,,07773883088,
麦记渔家小院饭店,,18070737427,
海纳商务宾馆,,07772870999,
锦龙宾馆,,07772020002,
路路通宾馆,,07772824328,
沿海商务宾馆,,07772862233,
茗香大酒店,,07772831212,
紫荆花城市酒店（钦州店）,,07773239888,
顺达商务宾馆,,07772868228,
钦州名岛宾馆,,07772844666,2844999
蓝海湾商务酒店,,07773556633,3556622
银隆商务酒店,,07773836333,5780555
喜盈连锁酒店（文峰北路店）,,07772888811,18677775278
富华商务宾馆,,07772888838,
拓生酒店,,13481000875,
精美便捷酒店,,07773831666,
广源便捷酒店,,07776987999,
远洋宾馆,,07773270688,
百利商务酒店,,07773279288,
卡罗酒店公寓,,07773528899,18070770066
海尚假日酒店,,07773253888,
宜居商务宾馆,,07775108818,
锦鹏商务宾馆,,07773230888,
香格里商务宾馆,,07775583338,
福鑫宾馆,,07775108899,
中青国际酒店,,07773270888,3270888
微博快捷酒店（民兴店）,,07775151888,
明阳宾馆,,07775311666,18207876676
锦江之星风尚（钦州沃尔玛店）,,07773681999-0,18507771979
广源大酒店,,07778332888,8365199
雅斯特酒店PLUS（钦州年年丰广场店）,,07773256999,17707773337
威尼斯汀酒店,,07773789888,3789777
浮乐德酒店（钦州湾广场店）,,07773609966,3609888
三叶宾馆,,07772828002,15278744230
雅斯特酒店（广西钦州人民路店）,,07773893366,18977988081
精通酒店（钦州湾广场店）,,07772120888,2120666
环宇便捷宾馆,,07776886188,
广美商务酒店,,07772824888,
千岛酒店,,07772026111,
凯悦便捷酒店（灵山店）,,07775181388,
华庭主题酒店,,07773685555,
翔海酒店,,07773889666,
雅苑酒店（钦州湾大道店）,,07775899888,
步步高商务酒店,,07776283988,5182631
华都商务酒店,,07775181616,
城市便捷酒店（钦州人民路店）,,07773237888,
银城酒店,,07776881888,6881688
钦州海岸线客房,,17707772780,13977791367
三娘湾火车驿站,,07773814650,
红苹果宾馆,,18176000711,
紫雲轩商务酒店,,07775101188,18677761928
海豚大酒店,,07772871888,2872699
安悦宾馆,,07772828001,15278744230
7天优品酒店（钦州木井路店）,,07772690888,
宝紫酒店,,07772223999,18577701369
钦州东盟大酒店,,07773810888,3810999
中金大酒店,,07773550999,
金湖国际大酒店,,07772865888,
锦江之星品尚（钦州东站市政府店）,,07772890888,18907878887
城市便捷酒店（钦州沃尔玛店）,,07772883888,13977064607
城市便捷酒店（钦州汽车南站店）,,07775883888,
林江酒店,,07772575666,2575777
金洁便捷酒店,,07775518088,
金穗便捷酒店,,07772826388,2823388
钦州港阳光海岸商务酒店,,07773210666,
松林商务酒店,,07775118999,
老船长商务酒店,,07775125666,
万丽海景酒店,,07772562888,2562999
城市便捷酒店（钦州浦北汽车站店）,,07778315222,
雅斯特酒店（广西钦州港店）,,07773210888,3210828
格子微酒店,,07776520988,
7天连锁酒店（钦州钦州大道沃尔玛广场店）,,07775100888,5100999
君达商务酒店,,07773612888,
元元宾馆,,07772827634,
现代快捷酒店,,07773899888,
好士佳宾馆（钦州店）,,07772863000,
格子微酒店（钦州年年丰店）,,07775986999,
蓝海洋商务宾馆,,07772891688,
环宇精品酒店,,07776899899,2577888
威尼斯酒店,,07772575888,13977716811
秦皇酒店,,07775982588,3780006
维也纳酒店（钦州北区广场店）,,07773868888,
豪庭商务酒店,,07776685099,
欣欣便捷酒店,,07775316888,
富丽旅业,,07776521123,
五洲大酒店,,07775889888,5889999
华庭酒店（汽车总站店）,,07775785555,18897771880
沃顿铂莱酒店,,07773257888,
大海鸥旅馆,,07773666188,
世鑫宾馆,,07775317666,
星照宾馆,,07776899888,
悦莱宾馆,,07772895188,13816854506
城市便捷酒店（钦州灵山汽车总站店）,,07775181818,
明珠宾馆,,07775681118,
浦北宾馆,,07778211112,
紫竹商务宾馆,,07773837866,
华腾酒店,,07772286666,2289999
品尚便捷酒店,,07775585666,
古树良居休闲山庄,,15807779372,18777708527
海华宾馆,,07778336988,
万象大酒店,,07775383333,5721888
华厦商务宾馆,,07778338333,
万达宾馆,,07773668118,
华隆商务宾馆,,07778338889,
她他公寓,,07775727742,
广场旅业部,,07776518382,6527229
怡程酒店（钦州永福店）,,07773555888,
优程八桂酒店（钦州年年丰广场店）,,07775985558,
钦州幸福旅馆,,13977772845,
朗德悦酒店,,07776662888,
鸿福宾馆,,07773696998,
城市便捷酒店（钦州白海豚广场店）,,07773216888,
三好金辉日租公寓,,07775988866,
金天假日酒店,,07773605588,
万国饭店,,07772138888,
海景湾商务宾馆,,07775315888,
进旋商务宾馆,,07775181222,5162204
景泰大酒店（北部湾店）,,07772896888,
港湾海景酒店,,18260857979,15778034086
凯利酒店,,07775587999,
古越大酒店,,07775186868,
康熙大酒店,,07772562088,2562188
华玉宾馆,,07772561138,
高岭商务酒店,,07773682888,13877723165
双龙宾馆,,07773668566,
如家快捷酒店（钦州红树林沃尔玛店）,,07772888678,
荔苑商旅宾馆,,07776513918,
舒巢商务酒店,,07772367888,
城市客栈,,07773880008,
艾尚酒店,,07778336888,
桃园宾馆,,07778315899,
亿客来便捷酒店,,07778366777,8366618
远洋国际大酒店,,07772568555,2568999
麦姐海景客房,,13978720673,
海之星客房,,18007776449,
钦州品尚便捷酒店,,07775719888,
恒峰商务酒店,,07772575533,
7天连锁酒店（钦州灵山汽车总站店）,,07775181888,
麦记海边客栈,,13978720673,
雄威商务宾馆,,07778768833,
幸福宾馆,,07775688899,
天诚宾馆,,07773609998,
城市便捷酒店（钦州灵山江南路店）,,07776886088,
爱尚酒店,,07775125999,
金湾大酒店,,07772133288,
钦州灵山县正久大酒店,,07776982999,
悦达商务酒店,,07772828989,
永惠宾馆,,07773830606,
东成商务宾馆,,07775586668,
泰太商务宾馆（年年丰广场店）,,07772810616,13877731070
灵峰大酒店,,07776421288,
双鹤城便捷酒店,,07772575588,13014972619
新荣华宾馆,,07772828098,
盛元酒店,,07775888999,
港湾便捷酒店（大花园店）,,07773606888,
国晖商务宾馆,,07775125558,
港湾宾馆,,07772807298,18070789292
铭诚宾馆,,07778365430,
万里酒店,,07775517888,
新辉煌宾馆,,07773556868,3556869
明都便捷酒店,,07772897888,
雅苑宾馆,,07773831888,
国光便捷酒店,,07776899988,
钦港商务宾馆,,07773816333,
方正旅业,,07776516699,
沙湾便捷酒店,,17707772780,
营养家园,,18077719666,
桂祥商务酒店,,07776987888,
7天连锁酒店（钦州汽车总站店）,,07773276588,
恒商大酒店,,07772862828,
正禄宾馆,,07772866969,
钱庄大酒店,,07772128666,2122222
滨海商务酒店,,07775687888,
168宾馆,,07773253998,
豪庭假日酒店,,07772863888,2863999
祥城酒店,,07773699888,18007777520
银河假日酒店,,07773601999,
东宏便捷酒店（浦北汽车总站店）,,07778366188,
荣盛管家（钦州店）,,07773618552,13558474684
客来福宾馆,,07773520999,
桂源商务宾馆,,07775619666,
江南商务酒店,,07776887666,6887688
张黄志兴酒店,,07778631588,
天天向尚商务宾馆,,07773559179,
汉泰酒店,,07773892888,
华天旅业,,07776528580,
金汇来商务宾馆,,07772695366,
锦筵大酒店,,07775713333,
金都宾馆,,07773885666,
钦州宾馆,,07772026188,
步步高商务宾馆,,07772805088,
健群旅业,,07775151238,
桂海商务酒店,,07775688333,
白海豚国际酒店,,07772881888,
金源阁商务宾馆,,07773618666,
永兴商务宾馆（子材西大街店）,,07775125188,
百利宾馆,,07775818266,
honey?house宾馆,,18778871520,
红树林大酒店,,07773250088,
桃园商务宾馆,,07775163688,
新世纪商务宾馆,,07773275666,
安吉利宾馆,,07772026988,5118889
幸福大酒店,,07772832002,2861093
皇庭三娘湾度假酒店,,07775728888,5729999
翠园宾馆（广场店）,,07776660086,15677795753
温馨宾馆,,07773550798,
名威假日酒店,,07773522288,
铭兴宾馆,,07776285222,
正久宾馆,,07776517699,
微博便捷酒店（环秀路店）,,07775150888,
悦来宾馆,,07772896954,
汇嘉便捷酒店,,07772365558,
威斯汀商务酒店,,07772129666,
银山商务大酒店,,07776282111,
正久财富酒店,,07776983999,
金龙宾馆,,07776521618,
怡虹居商务宾馆,,07773235999,
向阳宾馆,,07775102168,
正元大酒店,,07773888000,3888100
北部湾旅店,,13788190159,
金山宾馆,,07772815498,18176001232
中东招待所,,07772811426,
城东迎宾馆,,07772025288,
9龙酒店,,07775585999,5585777
宁宁宾馆,,07772833588,
新翠园宾馆（鸣江路店）,,07776661086,13807770970
6+1便捷酒店（钦州市店）,,07775125888,5125888
荔乡宾馆,,07776520001,
浙龙宾馆,,07775125088,5658666
颐豪大酒店,,07773883999,
蒌园宾馆,,07772858900,
环宇便捷酒店,,07776886688,
99优选酒店（钦州湾广场店）,,07772880200,2880100
进旋旅业,,07772576088,
东泉便捷酒店,,07775586688,
居家客栈,,07772815235,
龙岗酒店,,07772878888,2852229
钦州军分区招待所,,07772875588,
三娘湾海洋酒店,,07773816303,
万豪宾馆,,07773238188,
鑫源商务宾馆,,07772398992,
鸿富宾馆,,07773238398,
好运来宾馆,,07772842988,
滨海商务宾馆,,07773613366,
来客商务宾馆,,07773232333,
瑞华国际大酒店,,07776426168,
诚义信大酒店,,07778311789,
鱼儿回家,,13977715557,
俊良旅业,,07776503689,
雲来商务宾馆,,07773232333,
麦记渔家小院,,13978720673,
银河公寓,,15907772508,18176805252
奔海旅馆,,13471707648,
万胜宾馆,,07772845899,
益朋宾馆,,07778366168,
时代公寓酒店,,07773555999,
万嘉大酒店,,07773837899,3837799
铜华旅社,,07772843225,
锦新来宾馆,,07772698666,
鸿运宾馆,,07773882968,
邦德便捷酒店,,07776251758,
钦州力弘宾馆,,07772897699,
荔园便捷宾馆,,07778317788,
恒河商务宾馆,,07776889688,
榕树根迎宾酒店,,07772366798,
华福旅业客栈,,07776283555,
杨馨宾馆,,07776285908,
维也纳酒店广西钦州北区广场店,,07773868888,
港口招待所,,07773888717,
桂鑫大酒店,,07775972008,
