姓,名,家庭手机,工作手机
月江客栈,,02888781292,
梓萌居,,15928908949,
古镇蔡园客栈,,13982034228,
海海旅社,,02888353738,
云中客栈,,13678186328,18981784185
希童客栈,,02888783425,
建波宾馆,,02888359090,
平乐古镇古景客栈,,13541129541,
平乐古镇顺河客栈,,13882023759,
四方缘生态农庄,,13540146698,
芳庭苑客栈,,13551272789,
笑语轩客栈,,02888782178,
天车坡农庄,,18000522528,
天台山云海苑,,02889233168,
莲江客栈,,15828520133,13980612861
平乐古镇古村落客栈,,02888783228,
星星客栈,,13458508192,
临江居,,13880600676,
如意阁,,18180448359,
云梦阁,,13550356389,
雅一居,,13550082620,
天台山韩坪茶苑,,13458654870,
平乐古镇水乡人家客栈,,13518180302,
滨河客栈,,02888783258,
平乐古镇有意客栈,,13980939180,
其乐坊精品客栈（邛崃店）,,02888802333,13808223428
平乐古镇涛江客栈,,15982462898,
新场古镇楼外楼客栈,,13880651857,15308086007
平乐古镇嘻洋洋客栈,,02888781882,18981885208
平乐镇郑家苑旅馆,,13540118023,
同乐客栈,,02888783616,18086841756
宇涛客栈,,02888781309,13558608459
宏运酒店,,02888353111,
文峰酒店,,13880830130,15802892566
桂波苑客栈,,13982152490,13982043211
欣雅居快捷酒店,,02888748844,
聚欣居旅馆,,02888744662,
麒麟客栈,,13458606739,
顺利宾馆,,02861579267,13408072684
平乐古镇吻梦客栈,,13550067444,18782017750
天台山邹氏农家（第二分店）,,18782001767,
新场古镇远兴客客栈,,15882156162,
韵之旅宾馆,,02888283233,
新场古镇老黄鹤楼宾馆,,13880817833,
清源茶旅社,,02888353208,
杜氏茶楼,,18180462638,
九里春家园酒店,,02888742308,88740862
老何家,,18180591302,
新场古镇千里园客栈,,02888292810,
宜家快捷酒店,,02888700999,
新场古镇长庆客栈,,13072865537,
吉祥客栈,,13540196901,13808226332
聚鑫假日酒店,,02888716333,18982229998
一米阳光家庭客栈,,13258172818,13541176889
水街客栈,,02888781887,13548182331
艺轩客栈,,18161276502,
静苑居·精品客栈,,02888781528,13541301888
平乐古镇山居小院客栈,,15982058830,
万顺榻榻米主题客栈,,13881743855,13980816778
阳光客栈,,02888741081,18161276502
司马楼商务酒店,,02888742938,
兰亭客栈（原南山寒舍.古巷楼客栈）,,18482188898,18702873583
丽江客栈,,13408489077,
江西客栈,,13558635049,13699027085
嘉和酒店,,02888802000,
平乐古镇青春客栈,,18161217226,13881825766
见山别院山景客栈,,15108411118,
古埠客栈,,13881900996,
平乐古镇水巷子客栈,,18982221336,
一线天客栈,,02888783076,
轩源居客栈,,18982221353,
乐心小筑客栈,,02888781965,13551390839
平乐古镇自在客栈,,02888718777,
瑞丰客栈,,18180673269,13982023025
金雅阁宾馆,,02888742688,
金鼎宾馆,,02888765058,
桓羽客栈,,13688439423,
平乐古镇梦回客栈,,13308068073,
禹王阁客栈,,0288878333,18109040878
云帆客栈,,02888783203,13678136203
景颐商务酒店,,02888809995,13689012665
溢香轩客栈,,13551173828,
恒瑞宾馆,,02888717416,13551269730
群嶝客栈,,02888740127,18208143226
福惠民居客栈,,13699402718,18980661392
平乐古镇古亭客栈,,15928928671,
荷悦客栈,,13668295908,
