姓,名,家庭手机,工作手机
新新旅馆,,13287857166,
盈超旅馆,,13563177248,
薇仪酒店,,06317741888,18563199001
思涛旅馆,,13406730158,
贝贝渔家乐,,13153307929,
阳光快捷旅馆,,06317863709,
威海通海阁渔家乐,,06317867863,
老村长渔家乐,,13220832650,
宜居院客栈,,18678623026,15318321672
鸡鸣岛4号明星渔家乐,,15266130478,
聚吉元旅馆,,13220900786,
活鲜王酒店,,13792788708,
悠港公寓（荣成港西洲际店）,,06317860298,
如家快捷酒店（荣成成山大道大润发店）,,06317553888,
家缘旅馆,,15588317380,18669364052
尚客优快捷酒店（荣成石岛黄路店）,,06313696600,
和缘旅馆,,15266141211,
金源旅馆,,13563184607,
转角小屋,,06313880669,
德刚旅馆,,06317553197,
大海旅馆,,13406310833,
悦鹏旅馆,,06317315495,15588404091
鸿旭旅馆,,13561886783,
石岛春暖旅馆,,15065500080,
飞燕旅馆,,13646313339,
如意家旅馆,,06317512016,
宏阳旅馆,,15615111588,
农业招待所,,13506313751,13153400288
兴隆旅馆,,06317511191,
荣成福林旅馆,,06317659858,13869093344
金澜丽滨酒店,,06317285588,
合家旅馆,,06317310171,13563184878
向日葵旅店,,06317528915,
蜗居旅社,,06317572003,13963185393
龙居旅馆,,13863156068,
家福乐旅馆,,06317511582,
清水湾休闲商务会馆,,06317390888,
思缘快捷酒店（高铁站店）,,06317509588,
齐鲁酒店,,06317573898,
樱桃客栈,,15065506066,
仁乔快捷宾馆,,06317372066,
润通旅馆,,13863156068,
海之角旅馆,,06317868786,
和祥旅馆,,06317583833,
向日葵快捷酒店,,06317575855,
方正酒店,,06317572816,
成山佳源旅馆,,15898971215,
东霞渔家小院,,13696319955,15065503101
宏鑫旅馆,,06317820998,
石岛桃树园山庄,,7282229,13287809029
星期八旅舍,,13176813658,
三合旅馆,,13863183970,
发达旅馆,,06317504292,13346311085
天吉旅馆,,06317315863,
天天来旅馆,,13863195688,
平安旅馆,,06317587177,
百渡阳光快捷宾馆（荣成店）,,06317601777,
春天宾馆,,13863185236,
隆盛旅馆,,13220840830,
久久快捷宾馆,,06317315263,
荣成家洲旅馆,,13465247000,
吉合圆大酒店,,06317366877,
好运快捷酒店,,15065189991,
佳友快捷酒店,,13276302000,
九州宾馆（石岛店）,,06317371116,
港西鑫源旅馆,,06317865868,
98快捷酒店,,06317377388,13176249732
天鹅湖宾馆,,06317821107,13754615888
枫雨客栈,,13371183379,
客来顺宾馆,,13176313335,13153311191
化工招待所,,13287800929,
海兴旅社,,06317332129,
三省之家大酒店,,06317312777,
盛悦商务酒店,,06317581888,7585599
如家快捷酒店（荣成石岛永安路赤山风景区店）,,06313915666,
福隆商务旅社,,7289088,
金海宾馆,,06317321088,
格林豪泰酒店（荣成天鹅湖店）,,06317826998,
如家快捷酒店（荣成石岛黄海南路店）,,06313613888,
锦江之星（威海荣成成山大道高铁站店）,,06313565555,
开源宾馆（王华商城店）,,06317829369,
荣成名兰假日酒店,,06317378088,
珀斯皇冠酒店,,06313698999,
好旺角中心酒店,,06317823888,
桃园居大酒店,,06317369888,
石岛滨海大酒店,,06317379088,7379188
维也纳国际酒店（威海荣成店）,,06317898888,
薄荷酒店,,06317563777,15684514847
荣成名人酒店,,06317513333,7508777
大宇商务宾馆,,06317317678,13475111777
香湖丽舍小别墅酒店,,15562102522,
平行世界庭院酒店（荣成石岛店）,,06317316608,13601171657
迈腾旅馆,,18363149530,
成山头M精品假日酒店,,06313806999,
可可短租公寓,,18605357702,
龙缘惠旅游度假村（客房部）,,17606311318,15066300888
7天优品酒店（荣成高铁站店）,,06317557777,
格林豪泰快捷酒店（荣成汽车站中韩边贸城店）,,06317526998,
天宝旅馆（青山西路店）,,13034562148,
鑫达旅馆,,06317525868,18669342508
如家快捷酒店（荣成南山中路高铁站店）,,06317314678-9,
汉庭（荣成成山大道店）,,06317588699,
好运角酒店式公寓,,06317835888,
鑫铧旅馆,,15550634992,
易源假日酒店,,18369178088,13792782603
荣成香榭日租公寓,,17662705262,
盛世名门国际商务会馆,,06317606888,
滨海渔家乐,,15550630577,
富春居度假公寓,,18669361152,
成山林场旅游度假村,,13963105526,
龙须戚大姐渔家乐,,13561858248,
荣成九龙晟大酒店,,06313859958,
海岛渔家乐,,15336317151,
裕福祥渔家乐,,15662375016,
华东宾馆,,06317281399,
红旗海草房渔家乐,,13991822081,
水天怡色度假酒店,,06317821555,
荣成海滨之家渔家酒店,,17606264370,13561863770
龙宇客栈,,13255666227,
荣成洲际宜家短租公寓,,13905206651,15695212570
荣成爱心宾馆（烟墩角天鹅湖店）,,06317841309,13806313529
凤凰湖假日旅馆,,13061139918,
无花果渔家乐民宿,,13153305957,
彩虹谷快捷酒店,,7362228,
海成商务旅社,,13455865688,
汉庭（荣成石岛大厦店）,,06317381199,
鑫马宾馆,,06317821666,15562154758
荣成莹海假日酒店,,06317561777,
天和旅馆,,13561802968,
荣成闻涛阁渔家乐,,13706312660,13563178137
龙府大酒店,,06317652388,
福源商务旅馆,,06317431818,
海韵居度假酒店,,06317863111,13666306869
乐途度假酒店,,06312823999,18906306962
青创海居客民宿,,18763154688,
樱花湖民宿,,06317592670,
丽都大酒店,,06317554263,
蓝璟假日酒店,,15666317527,
天都大酒店,,06317326999,
龙须东海湾渔家乐,,13082688878,
安公馆时尚主题宾馆,,06317388866,
八一海草房渔家乐,,13695353639,
同福旅馆,,13361180133,
阿尔法城短租公寓,,15098162740,
圣爵士旅馆,,13001646253,
鑫隆旅馆,,15263111199,
西霞口86号渔家乐,,13626304373,
昱洋酒店,,06317347999,
凤祥8号休闲酒店,,06317375077,7280977
石岛文创酒店,,7378816,7378876
越来顺旅馆,,13573733210,
荣成大红门宾馆（成山镇中心景区店）,,06317822307,
石岛宾馆,,06317388888,
荣成倪氏海泰度假酒店,,06317577777,
布町客栈,,06317500155,
吉莉渔家乐,,13346311620,13563117169
小蔡渔家乐,,15166167481,
荣成W·丽澋酒店,,06317556666,
华宁旅馆,,06317573293,
荣成赤山大酒店,,06317369999,
荣成龙海渔家乐,,06317839692,13287835142
裕泰招待所,,06317575236,13287867791
金属宾馆,,06317322508,15650118341
明君旅社2分店,,13061163990,
馨港湾休闲会所,,06317833579,15163107222
米兰丽舍精品酒店,,06317280222,7368222
爱佳空间主题宾馆,,06317313000,
途家斯维登度假公寓（威海爱莲湾店）,,06317663199,7667759
威海成福渔家乐,,13465125044,13754616326
青年旅社（荣成哈理工店）,,06317664453,13563119109
博霞山庄,,06317838888,
昌隆旅馆,,06317371482,15666094511
东海金沙滩渔家乐,,13563117477,13863006555
MY HOME公寓,,18660326009,
鑫和海景公寓,,13465129666,
爱伦湾养生度假村,,13676313099,
华星宾馆（一部）,,06317563958,
荣成君悦假日酒店,,06317571757,3693333
石岛宾馆清波楼,,06317364111,
港湾大酒店,,06317361666,
汇源酒店（成山大道店）,,06317553957,
金百合假日酒店,,06317601888,
友谊宾馆（奥苑店）,,06317552188,
静苑旅馆,,06317995711,13021635669
荣成悦海楼旅馆,,06317655099,
荣成市崖头如家旅馆,,15588388865,
泰和旅馆,,06317866248,
一家人旅馆,,06317586685,
颐和旅馆,,06317586788,
甜甜渔家乐（客房部）,,15562168377,13176816572
老医生渔家乐,,13963116014,
佳园旅馆,,06317315000,
好望角渔家乐,,13963110885,
如意快捷酒店,,13562131421,
优度快捷酒店（天鹅湖店）,,06312691111,
荣成市大展如家酒店,,06317681999,
纹石宝滩假日酒店,,06317860333,13963199007
宜家旅馆,,13792719006,
吉顺商务旅馆,,06317288688,
