姓,名,家庭手机,工作手机
如家快捷酒店（日喀则扎什伦布寺吉林路店）,,08928906888,
扎德商务酒店,,13908920584,15692628746
旭康商务宾馆,,08928908666,15889029188
西域之家商务酒店,,08928530555,15628526699
珠峰友谊宾馆,,08928821899,13298927211
西部驿站大酒店,,08928913555,
成都庄园大酒店,,13628923570,15628524680
莫非客栈,,08928904009,17711921181
荷西客栈,,15708028923,
吉培大酒店,,08928906555,
哲珠客栈,,08928826743,13716825504
平措康桑青年旅舍,,08928531999,13228924866
东北宾馆,,15692627760,
川东商务宾馆,,08928226088,
嘎吉宾馆,,18708029992,
圣地朗赛酒店,,08928286828,18008920234
君豪宾馆,,15082122541,
日喀则阳孜饭店,,08928839998,
7天连锁酒店（日喀则吉林路店）,,08928663777,18408925217
尚客优连锁酒店（江孜国防路店）,,08928652228,8652227
美豪商务酒店,,08928902999,18193000890
帕羊宾馆,,13398022666,
日喀则锡祥阁商务宾馆,,15182567761,
赛思酒店,,08928286788,18076928282
十月喀则民宿,,18189029025,
米玛青年旅舍,,18889029678,
南充龙门客栈,,08928655888,
康宏大酒店,,18393088030,
兴业宾馆,,18389029168,
万怡酒店,,08928730666,
吉康宾馆,,08928823222,
金兰酒店,,08928323678,
惠域商务宾馆,,18489222227,
朝日宫廷酒店,,08928665555,
如家快捷酒店（日喀则扎什伦布寺藏隆广场店）,,08928890333,
松成商务精品酒店,,08928899996,
农民旅馆,,18184988882,
白坝酒店,,13908921895,
万豪酒店,,08928503888,8503999
荷西青年旅店,,15708028923,
泰兴宾馆,,08928821977,
日喀则华吉酒店,,08928666626,8530008
亚宾馆,,08928825988,
顶峰家庭客栈,,18289050870,
康馨宾馆,,08928502888,
鹏程商务宾馆,,08928530333,
温州宾馆,,15608923321,
芒果酒店,,08928669696,13889028765
东升汽贸宾馆,,08928500408,
古吉家家庭宾馆,,13308925000,
汉庭（日喀则山东路店）,,08928665888,
云台商务宾馆,,15208028000,
昆萨酒店,,08928663577,
天来商务酒店（二部）,,15608920527,
泸州餐厅福来顺宾馆,,17789024198,13648923080
日喀则圣达假日酒店,,08928903888,8903666
福临招待所,,13993010217,
拉菲皇廷酒店,,08928731111,
卡嘎温泉大酒店,,08928333099,
美旅宾馆,,08928824111,18489181975
教育宾馆,,08928841288,8501333
神湖萨迦宾馆,,08928242747,
天临大酒店,,08928905999,8919688
乔穆朗宗酒店,,08928669666,
雪域宾馆（越野e族服务站）,,08928262848,
乌孜大酒店,,13989922218,
达热瓦大酒店,,08928839888,
登巴连锁客栈（日喀则店）,,08928833917,18708091972
雅江源宾馆,,08928292728,13548498775
天来商务酒店,,15108326997,
格萨尔酒店,,08928800088,8800099
西瑞阁宾馆,,15208023699,
四川楼宾馆,,15208025205,
珠穆朗玛上海大酒店,,18889026007,
圣缘宾馆,,08928841111,18076929922
新世缘商务宾馆,,08928919666,18076929922
佳鑫大酒店,,08928500333,13298927654
互惠互利宾馆,,08928262958,
天兴商务宾馆,,08928823830,18389087876
交通宾馆,,13549061542,18184994506
