姓,名,家庭手机,工作手机
儒林宾馆,,07924809919,
京东宾馆,,13479233478,
银海宾馆,,07924886259,
丽都宾馆,,15307027555,
富豪商务宾馆,,07924201388,15898531792
新海商务宾馆,,13635971588,
新晨宾馆,,07924212262,13064178020
奕翰大酒店,,07924222227,
瑞昌市锦江之星商务宾馆,,07924208899,4232777
夏萍宾馆,,07924238655,15279207450
鑫源商务宾馆,,07924983666,
昌瑞宾馆,,15350463788,
假日商务宾馆,,07924204866,
天城休闲宾馆,,18720291625,
君悦商务宾馆,,07924937333,
九江瑞昌桔子红精品酒店,,07924937666,
七零宾馆,,07924200742,18770280371
皇朝大酒店,,13870261003,
景溪慢生活馆,,07924818128,
五月花宾馆,,07924225655,
阳光假日宾馆,,07924216355,13879204668
白玉兰精品酒店,,07924936666,
瑞丽商务宾馆,,07924200866,
金丰主题宾馆,,07924989898,
皇苑大酒店,,07924888111,
九江华天大酒店,,07922271999,
铜城宾馆,,13755247778,
西苑宾馆,,07924227341,
九江瑞昌泰格时尚宾馆,,07924801818,
瑞南商务酒店,,07924216389,4808888
瑞昌晶桥假日大酒店,,07922271111,
常顺宾馆,,13367029687,
鸿茂大酒店,,07924889988,15179226764
哟驿站客栈,,07924221088,18279259397
温馨宾馆,,07924986788,13263921900
鼎立商务宾馆,,07924881555,13617021057
横港旅社,,17779215769,
金色港湾宾馆,,07924237111,
尚客优快捷酒店（九江瑞昌金桥大市场店）,,07924209777,
金山商务宾馆,,07924887708,15279246057
圣源休闲宾馆,,07924219229,15979956416
皇家大酒店,,07927727888,
瑞昌盛唐大酒店,,07924866667,4966668
瑞馨商务酒店,,07924954999,
晨曦宾馆,,15720950378,18160797559
瑞昌立信花园大酒店,,07922277777,
晨冉宾馆,,07924876888,15207028467
西雅图主题酒店,,07924966699,
万和宾馆,,07923602566,
星都商务宾馆,,07924200591,
秋江宾馆,,15870802992,
缘份宾馆,,18379686768,
瑞豪商务会所,,13767233095,
江瑞宾馆（新城店）,,07924811999,
中天宾馆,,18827695255,
新千岛湖休闲宾馆,,07924215398,
新概念生活宾馆,,07924216222,
玉玲宾馆,,13979208499,
泛海宾馆,,15350468667,
皇海商务宾馆,,07924926999,
东方星城商务宾馆,,07924957777,18679023370
瑞昌信华建国酒店,,07924989999,
市府花园宾馆,,07924209996,13767214564
皇嫂宾馆,,18170205576,
瑞昌立信秦山度假酒店,,07922273333,
世纪家园大酒店,,07924219898,
佰事特大酒店,,07924230000,
瑞昌大酒店,,07924239999,
凯帝宾馆,,07924982888,
锦昌假日酒店,,07924911888,4868777
现代城大酒店,,07924220333,
赤乌宾馆,,07924204614,15579208265
舒雅商务宾馆（一部店）,,07924218888,4215222
我的客栈,,07924224670,
7天连锁酒店（瑞昌湓城东路店）,,07924956666,4227177
益凡商务宾馆,,07924808886,
瑞昌鑫海商务宾馆,,13125200999,
银海宾馆,,07924231916,
赤乌主题宾馆（原三星商务宾馆）,,18172992617,
皇朝假日大酒店,,07924865888,4880333
爱情公寓,,07924932999,13607921483
好形象商务宾馆,,07924819199,
洪城宾馆,,15979962071,
远东主题宾馆（柳湖店）,,07924966777,13911721078
汉廷商务宾馆,,07924857888,4817999
利鑫宾馆,,07924809188,
阿修罗商务宾馆,,07924956818,
赣G生活主题宾馆,,13755282128,
银河宾馆,,13576245863,
海鑫宾馆,,07924885368,
兰庭商务宾馆,,07924886696,15270234234
滨海宾馆,,07924910888,4986988
单身公寓,,07924218414,
掌舵者商务宾馆,,07924815136,
佰事特宾馆,,07924238888,4866168
大唐宾馆,,13907924713,
福星宾馆,,07924885756,
君豪宾馆,,13217028633,
文远宾馆,,07924917779,
罗湖宾馆,,15178962204,
熙园宾馆,,07924236618,
后街宾馆,,18170296681,
龙腾宾馆,,07924885881,
金三角商务宾馆,,13155731813,
金城大酒店,,13879266661,
华信宾馆,,18970214019,
喜瑞宾馆,,07924822888,
来一桶大酒店木桶饭（油泵厂店）,,15180606875,
好日子大酒店,,13197830277,
平和宾馆,,07924216955,
安泰宾馆,,07924237310,
赛湖宾馆,,13064165493,
桃园大酒店,,13755210314,
惠民旅馆,,07924210510,13330012150
金港湾大酒店,,07924880588,4880555
湖平宾馆,,07924887951,
玲敏宾馆,,15870843831,
香宸宾馆,,07924215698,
习嘉宾馆,,15180605762,
柳湖宾馆,,07924239188,
董老二酒店,,07924886670,
龙瑞客栈,,18879213000,
昌海商务宾馆,,18720271162,
苏杭宾馆,,15279277197,
财富宾馆,,07924201999,
宏源公寓,,13979279139,
典雅客栈,,15270590598,
龙凤商务宾馆,,18979213388,
瑞雅宾馆,,400833-6699,13879245729
怡憬宾馆,,18379621930,
大江南酒店,,07924211666,
喜洋洋宾馆,,07924983456,
邮政宾馆,,07924216789,4215555
南义商务宾馆,,07924811665,
诚信宾馆,,07924200015,
人和宾馆,,07924211306,
东方瑞都大酒店,,07924211999,
泰瑞宾馆,,07924808288,
瑞锦宾馆,,07924886515,
瑞锦宾馆,,13803556599,
豪怡宾馆,,07924213290,13576235068
新兰平酒店,,07924228277,
和兴商务宾馆,,07924801988,
云天宾馆,,15390875777,
西点宾馆,,07924203288,
东都府大酒店,,07924226888,
兴隆客栈,,07924214958,
喜宝来大酒店,,07924865349,
丽江宾馆,,15179247911,
金叶宾馆,,07924888855,
天缘宾馆,,07924211798,
远东时尚宾馆,,07924917888,
华星宾馆,,07924860888,
红叶宾馆,,07924237151,
涛依宾馆,,07924223998,
云天阁宾馆,,15070270991,
凯瑞商务宾馆,,15270567190,
喜盈门客栈,,07924219276,
鑫海宾馆,,15179279536,
站前餐馆住宿,,400833-6699,
时代休闲宾馆,,07924218358,
艳阳天酒店,,079248865987,
好日子宾馆,,13755210726,
奥林宾馆,,07924211128,
3.14商务宾馆,,07924840888,
旺角宾馆,,18296261466,
蓝色港湾商务宾馆,,07924836888,
汉庭壹号宾馆（五里桥商业街店）,,07924218844,
