姓,名,家庭手机,工作手机
四海宾馆,,057582707097,
东鑫宾馆,,057582134739,
亚细亚宾馆,,057589288776,
金元宾馆（舜江东路店）,,057582139485,
海阔天空商务宾馆,,057582078078,
八日宾馆,,057582195088,
四海宾馆,,057582707097,
壹家宾馆,,057582537700,
山外山精品酒店,,057582816288,82816299
滨海农庄,,057582779111,
枫铃时尚酒店,,057582911117,
曦明客栈,,057582112518,
后天商务快捷酒店,,057582321111,
蒙佩精品酒店,,057582008555,
莲城宾馆,,057582599888,
星岛风情酒店（上虞店）,,057581288777,81288787
和顺宾馆,,057582720788,
街町酒店（高铁北站城北财富广场店）（原斯维特快捷酒店）,,057582225858,
英松商务宾馆,,057582577008,
江扬宾馆,,057582114884,
禹贡酒店,,057589280000,
凯思商务酒店,,057582899666,
嘉苑精品酒店,,057581286666,81286688
雷欧快捷酒店,,057581228688,
如家快捷酒店（绍兴上虞大润发王充路店）,,057589288118,
莫泰酒店（绍兴江扬南路店）,,057582534888,
青云快捷酒店,,057582218811,
上虞人家花园酒店（高铁北站店）,,057582821777,
丽景酒店,,057582721111,
迎园商务酒店,,057582073333,
锦江之星品尚（上虞万达广场店）,,057582893999,
舜杰大酒店,,057582172725,82172797
如家精选酒店（绍兴上虞绍兴东站峰山南路店）,,057589292888,
中南海滨酒店,,057589808888,
绍兴春晖金科大酒店,,057582796666,
倾慕主题酒店,,057582229888,
情爱主题酒店,,057582660766,
美林时尚宾馆,,057582077999,
舜泉锦悦大酒店,,057582177778,
雅舍连锁酒店（上虞店）（原金锁匙商务酒店）,,057582797777,
舜泉宾馆,,057582177888,
最忆城市花园酒店,,057581263333,
舜泉锦冠商务酒店,,057582178000,82178111
东方豪生宾馆,,057582120550,
蒙佩商务酒店,,057582005555,
格林豪泰商务酒店（绍兴东站上虞万达广场店）,,057582221666,17306551288
尚优客快捷酒店（上虞德盛大厦店）,,057582032222,
如日宾馆,,057582685000,82687000
江滨宾馆,,057582110188,
银江旅社,,057582731273,
景豪宾馆,,057582824666,
名都商务宾馆,,057582099111,18072239111
虞顺祥宾馆,,057582921188,
应氏客房,,057582323430,
汉庭（绍兴上虞舜江路店）,,057582121121,
永舜宾馆,,057582609100,
白云宾馆,,057582171188,
上虞宾馆,,057582179999,
晨升客栈,,057582138585,
世盛商务酒店,,057580272555,
爱尚家精品酒店,,057582500008,15215979068
和诚商务宾馆,,057582729888,
家和商务宾馆,,057582786188,
方竺宾馆,,15314753550,
中宇宾馆,,057582122111,
滨江商务宾馆,,057582008885,
华虞商务宾馆,,057580272888,
祥云客栈,,057582117178,13484382854
天涯客宾馆,,057582827000,
柳玉商务宾馆,,057582026688,
国盛宾馆,,05758220033,
新青山客房（舜江西路店）,,057582323430,
童装城大酒店,,057582332099,
虞中宾馆,,057582131897,
锦运宾馆,,057582829888,
锦秀商务宾馆,,057582778666,
舜马假期宾馆,,057582025666,
溢尔宾馆,,057582828888,
舜佳客房,,15215959084,
上虞国际大酒店,,057582222222,
昌裕曹娥江大酒店,,057582178888,
红霞花园宾馆,,057582134886,13757545682
星期八宾馆,,057580278988,
旭东宾馆,,057582708866,
隆泰宾馆（新建路店）,,057582189555,
圣马宾馆,,057582188928,
文盛商务宾馆,,057582781777,
弘亨宾馆,,057582158130,
舜达宾馆,,057582177988,
