姓,名,家庭手机,工作手机
相洲宾馆,,05365229091,13081653398
西城宾馆,,05365220173,
惠和宾馆,,15689824727,
万隆商务宾馆,,05365224448,13589195499
圣龙宾馆,,05365235738,
心悦宾馆,,15265640516,
七点主题客房（东城全福元店）,,05365898777,
月相朋宾馆,,18765169288,
永安宾馆,,05365227838,
寿光汇海宾馆,,05365260099,15653456299
富丽华宾馆,,05365232656,15863432388
昆泰宾馆,,05365225634,13884820279
乐居商务宾馆,,05365230028,13666365377
至家快捷宾馆,,13864682111,
吉家快捷宾馆,,15853620927,
东傳商务宾馆,,05365111119,18706686473
弥乐星云客栈,,05365671088,5672088
特步商务宾馆,,05365800006,
城市快捷宾馆,,05365269888,
金凯瑞商务宾馆（金光街店）,,05365561567,
六通宾馆（二店）,,13181693666,
千禧商务宾馆,,18866173058,
同顺宾馆,,13508968410,
羊口镇滨海商务宾馆,,05365455888,15095104000
简爱红柜主题客房,,05365200006,
宝东快捷商务宾馆,,05365222599,15095155588
美华商务宾馆,,05365203111,
我行我宿快捷酒店,,05365293877,13869674644
易佰连锁旅店（寿光科技学院店）,,05365280828,
万达商务酒店,,05365582333,
7天连锁酒店（寿光人民广场店）,,05365770000,
言玉大酒店,,05365589999,5580999
悦季大酒店,,05365299166,5299266
印象寿光休闲客房,,05365475666,5475667
白天鹅商务宾馆,,05365199369,5100086
寿光侯镇龙达宾馆,,05365365333,
万豪商务客房,,05365670456,
尚客优快捷酒店（潍坊寿光市东城全福元店）,,05362237789,
寿光东升酒店,,05365850888,13863602755
银座佳驿（寿光圣城东街联通大厦店）,,05365212000,
汉庭（寿光圣城东街店）,,05365112222,
东华大酒店,,05365283333,
寿光金航大酒店,,05365388888,
玫瑰园商务酒店,,05365266333,
香格里拉商务酒店,,05365228999,
格林豪泰商务酒店（寿光渤海路仓圣公园店）,,05365118111,5193666
凯铂精品酒店,,05365262333,5933999
源华商务宾馆,,05365789777,13562689191
四同商务客房兰亭香舍（圣城街店）,,05362150777,
格林联盟酒店（寿光新汽车站店）,,05365668999,
爱丽宫酒店,,05365387555,
金满贯商务客房,,05365225777,
恒丰商务宾馆,,05365651666,
寿光客兮归来商务宾馆,,05365286678,
华帝商务宾馆,,13583611039,15864331345
天下客商旅宾馆,,05365383688,15069664567
家外佳宾馆,,18678069300,13864610422
缤纷五洲大酒店,,05365789789,
凯富商务酒店,,05362236388,
全兴宾馆,,05365237593,
如家快捷酒店（寿光渤海路假日广场店）,,05365285555,
百顺宾馆,,05365901050,13863645450
月牙儿宾馆,,15853661106,15966104726
速8酒店（寿光西城全福元店）,,05365855666,
万华酒店,,05365368666,
天天客房,,05365210378,18866140006
明慧宾馆,,15269624376,
福源宾馆,,13465732071,
天宏宾馆,,15053651820,
金正商务宾馆,,05365281117,
鸿昌商务客房,,18866171199,
三建宾馆,,05362154575,13696368434
祥云宾馆（正阳路店）,,05365292319,
星期八商务客房,,05365112777,5211777
杉杉宾馆（圣城街店）,,05355119993,
悦来宾馆,,05365292418,
九源客房,,05365055088,13511067345
光辉宾馆,,05365260313,15854476500
