姓,名,家庭手机,工作手机
精途酒店,,07583283777,
太阳城旅业,,07583386555,
鸿盛旅业,,18675800558,
沙尾旅店,,13760014768,
新世纪大酒店,,07583181199,3181188
迎飞商务酒店,,07583386567,
顺光宾馆,,07583232111,
君庭宾馆,,07583130011,
汇龙大酒店,,07583369988,
壹佰商务连锁酒店,,07583238100,
龙城大酒店,,07583338828,
戈登酒店（清塘分店）,,07583173666,
万盈酒店,,07583296838,
悦凯国际酒店,,07586638888,
维也纳酒店（肇庆大旺公园店）,,07583628333,
大众旅馆,,07583310741,
爱客优酒店,,07583226888,18929105527
嘉豪商务酒店,,07583183868,
凯旋商务旅馆,,07583280055,
嘉裕酒店（精品店）,,07583283688,
戈登酒店,,07583106666,
君悦旅馆,,07583336128,18026151310
金多堡商务旅馆,,07583226228,
骏景酒店,,07583328888,18026153770
豪悦商务酒店,,07583852178,
星程酒店（肇庆大旺高新区店）,,07583628080,
星光酒店,,18938337870,
嘉裕酒店（四会翡翠城店）,,07583283018,
侨光商务旅业,,07583111398,
鼎盛宾馆,,07583296868,5905666
贞山宾馆,,07583308331,3308330
兴盛商务宾馆,,07583337778,
大同商务旅馆,,07583368180,
港湾旅馆,,07583367408,
金凯盛誉城大酒店,,07583112888,
广粤旅店,,07583327898,18172966312
时兴宾馆,,07583225588,13376553985
如一商务宾馆,,07583262668,
大金都酒店,,07586626111,18666772551
奇石河酒店,,07583106883,
新盛宾馆,,07583211116,
丽都旅馆,,07583389298,
翡翠宫廷酒店,,07583371666,3371866
龙凤大酒店,,07583139666,
山湖温泉水上乐园生态旅游度假村,,07583357856,
新昇旅店,,07583281517,
得丰旅业,,07583293688,
铭豪假日酒店,,07583983999,
7天连锁酒店（四会大道中店）,,07586828777,
四会岭南东方酒店,,07583118888,
人和酒店,,07583132998,
汇盈商务酒店,,07583852013,
惠群旅馆,,07583335901,3122506
寓米西尔曼公寓（肇庆大旺尚城店）,,07586639899,
翠城宾馆,,07583269888,
新思潮酒店,,07583113188,
168商务酒店,,07583110168,
大中酒店,,07583211888,
金凤凰国际酒店,,07586628888,
君爵商务酒店,,07583111999,3111288
明润商务宾馆,,07583293808,
银星国际假日酒店,,07583218888,
金沙旅馆,,07583228669,18023636136
玉友宾馆,,07583111333,
广大旅舍,,07583314333,18811833231
肇庆四会市百客玉豪酒店（玉器城店）,,07583117888,
东源旅店,,07583161287,
东方万豪酒店,,07583188888,
华侨大厦,,07583322232,18307653737
凯怡商务酒店,,07583116668,3119188
玉城快捷商务酒店,,07583211333,
大庆旅店,,13677914339,
家之逸宾馆,,07583286608,
东升旅店,,07583238338,
金丰旅馆,,07583317633,3315588
恒玉商务酒店,,07583225555,
新帝景酒店（贞山大道店）,,07583122222,18027822222
四会玉盈商务宾馆,,07585907666,5907777
联邦商务酒店,,07583601333,
宜家商务宾馆,,07583281138,3283388
四会大酒店,,07583326888,
东南大酒店,,07583333998,
鸿都商务酒店,,07583645888,
一品花园酒店,,07583982111,
影城大酒店,,07583338988,
龙洲宾馆,,07583335299,
辉煌旅业,,07583601308,
朗庭酒店,,07583368188,
茶山旅馆,,07583323789,
大氧吧旅业,,07583309198,
阿庆嫂海鲜舫,,07583866608,
清塘公寓,,13556529112,
雅逸酒店,,07583286168,
鸿宾山庄,,07583119328,
龙江大酒店,,07583322611,
天旺旅馆,,07583646599,
益群旅店,,07583332600,
富盈旅馆,,07583320908,
翡翠明珠酒店,,07583238368,
源安酒店,,07583112288,
嘉庆宾馆,,07583376168,
新旺住宿,,13025579966,
祥旺旅馆,,07583229898,
豪华出租屋,,13048216688,
渝港湾旅店,,07583386359,
好祥和旅业,,400833-6699,
泮江明珠酒店,,07583663398,
旺福商务旅馆,,07583211808,3211803
宏达租房,,07583392980,
利民住宿,,07583317661,
贞山大道假日公寓,,13922638266,
荣程商务酒店,,07583665688,18970553122
君怡酒店,,07583642388,3641128
中港城旅店,,07583661618,
龙泉渡假村,,400833-6699,
裕桦宾馆,,07583644333,
鸿发宾馆,,07583636360,
顺兴住房,,18857339339,
鸿图旅店,,07583868490,
天成旅馆,,07583636548,
新港酒店,,07583324336,
假日旅业,,07583161311,
盛源旅业,,07583227777,
明珠旅业,,07583131988,
盛世玉苑宾馆,,07583283777,3283555
LJ温馨驿站,,07583330350,
凤兴商务旅业（客房部）,,07583112988,
聚龙宾馆,,07583637888,
利群旅馆,,07583335204,
东苑旅馆,,07583311899,
东南居酒店,,07583525215,
鹿景旅馆,,07583161737,
凯悦大酒店,,07583665188,
松兴旅馆,,07583162613,
平安住宿,,07583137006,
新旺旅社,,07583132568,
长洲宾馆,,07573102093,
盛世玉宛宾馆,,07583283555,
怡苑旅馆,,07583306023,
肇庆新云来旅业,,07583641489,
华丽旅馆,,07583165348,
祥亨旅馆,,07583226788,
利安旅店,,400833-6699,
东越旅店,,07583226975,
瑞安旅业,,07583362292,
鑫旺旅馆,,07583132568,
温馨宾馆,,07583606633,
香江宾馆,,07583130888,400833-6699
宜宾旅馆,,07583317888,13318104682
华鼎旅业,,07583293228,
豪轩宾馆,,07583649222,
丽豪旅店,,07583360993,
南旺酒店,,07583526899,
胜发宾馆,,07573852073,
南国旅业,,07583661680,
皇都宾馆,,07583636668,
瑞兴旅馆,,07583135598,
贵宾旅馆,,07583289885,
福星旅馆,,400833-6699,
顺风园酒店,,07583661803,
新港湾旅馆,,07583392728,
大新商务宾馆,,07583111316,
联兴旅业,,07583226121,
祥平旅馆,,07583333183,
华鑫宾馆,,07583284222,400833-6699
金叶宾馆,,07583601168,
