姓,名,家庭手机,工作手机
韩氏三姐妹度假公馆,,13080093710,
甜云旅馆,,15543894143,
乐家时尚宾馆,,13614388165,
清水湾洗浴宾馆,,04385085399,
凯来精品宾馆,,04383108887,18643889696
欧亚时尚日租房,,18843827446,
松原隆德时尚宾馆,,04386613678,
安顺旅馆,,15943832424,
富贵旅店,,14798280001,
畅享时尚宾馆,,04382665000,
锦鸿时尚旅馆,,18204462266,
我爱我家时尚日租公寓（万丰华府店）,,18444105218,
天益旅店,,18704387747,
金泉旅馆,,13404452110,
旺昇时尚旅馆,,18243823706,
振兴旅馆,,04387239997,13943859997
海蓝之家时尚旅馆,,13596934357,
艳龙旅馆,,15981412802,13943814464
阳光旅店,,13843877455,
天元旅店,,15943850866,
金升招待所,,13894952952,
金岭旅店,,13704476693,
好友宾馆,,15944828046,
家之馨旅馆,,15568628444,
鑫鹏旅店,,18304430323,
华美时尚旅馆,,15143818725,
广源旅馆（建安胡同店）,,13614483334,
魏敏时尚宾馆,,04383044222,
众合旅馆,,15164403355,
彤旭旅馆,,13251886955,
聚鑫旅馆,,18844883994,
润安旅馆,,15567965888,
荣融旅馆,,15834802758,
思佳时尚宾馆,,04386191666,
龙沅时尚宾馆,,13179056565,
嘉和旅馆,,04386898312,
家而美旅馆,,04382108500,
中大宾馆,,04385512888,
恒嘉时尚宾馆,,04382599889,
橙子主题酒店,,04383191666,
神光六正宾馆,,04382965111,13596966339
美嘉时尚宾馆,,04383063783,13894152202
本色家居宾馆,,04385080669,
玉都时尚宾馆,,18204416000,
QQ时尚宾馆,,13069064545,
鹏聚时尚旅馆,,15948804445,
佳缘时尚宾馆,,04386896796,
吉达时尚旅馆,,18343853116,
鸿途宾馆,,04385667788,13596993311
亿万嘉主题宾馆,,04382854999,
太阳花主题宾馆,,04382886777,2883999
蓝祥时尚宾馆,,04383106677,
锦江之星品尚（松原青年大街店）,,04382162811,
金珠主题宾馆,,04382182000,
瑞蚨祥私人订制宾馆,,04382094325,
宜家简约宾馆,,04385183888,5183999
金帝宾馆（乌兰大街店）,,04382511115,
福驿时尚宾馆,,04382892000,13404557602
松原金色时尚宾馆,,18343851987,
春泉洗浴宾馆,,04385877789,
丽都商务宾馆,,04385616777,18643086556
莱馨时尚宾馆,,04386884455,13843880526
天意宾馆,,04382663111,
雅居宾馆,,04387229999,
巴特尔鼎盛宾馆,,04382606789,
花开四季时尚宾馆,,04382311110,
新睡眠时尚宾馆,,04382720999,
时尚小宾馆,,04385098765,
水一方商务宾馆,,04386623999,
纳吉星主题宾馆,,04382888877,
鑫辉时尚宾馆,,04382771888,
梦海星都主题宾馆,,13904386678,
枫林晚主题宾馆（世纪新城店）,,04382098666,
千泽惠宾馆,,13298828822,
富丽佳时尚宾馆,,04383139910,15844839858
紫夜时尚宾馆,,15843866948,
星期六主题宾馆（松原店）,,04385182345,
幻格主题宾馆,,18043866802,
佳宣宾馆,,04382209666,15948844553
乐住时尚宾馆,,13208619000,
E+概念时尚宾馆,,04382814567,
翰阳商务宾馆,,04386197890,13894108905
亚泰宾馆,,04382602228,15568685899
枫林晚主题宾馆（巴特尔社区店）,,04383040111,
环球客栈,,04386881616,18804382980
华瑞商务宾馆,,04382572266,
洪鑫缘商务宾馆,,04385020022,
七号公馆,,04387820222,
鑫地洗浴宾馆,,04382533999,
港湾假日主题宾馆,,04383090322,
泰和商务宾馆,,04387235200,15143812289
美凯龙商务宾馆,,04382859998,
林林时尚宾馆,,04382873221,
海天商务会馆,,04385666555,13894967888
梦8时尚宾馆,,04382898989,18744632227
梦立方主题宾馆,,04385878989,
名仕公馆日租房（一店）,,15354781100,
泰巢风情宾馆,,04383127222,
艾尚星期8主题宾馆（查干卓尔大街店）,,04386886688,
创艺商务宾馆,,04386628666,13548531703
阳光100酒店式公寓,,04382196789,13634380005
银螺宾馆,,04382128855,
爱佳时尚宾馆,,04385022777,
富都商务宾馆,,04382093666,
一品商务宾馆,,04387209999,
鑫旺商务宾馆,,04387779111,
龙兴商务宾馆,,04383097999,
10号主题宾馆,,043830958888,13630321069
枫林湾时尚宾馆,,04385759888,15948885288
典金商务宾馆一店,,04386105678,
新起点时尚入住,,04386963333,18804425969
嘉源商务宾馆,,04386891085,
志胜宾馆,,04382593638,2593038
7歌快捷宾馆,,04382210899,18643800190
金宝洗浴宾馆,,15164480677,
8天休闲宾馆,,04382092345,
欧亚1100豪华日租房,,15354781100,
龙瑞时尚宾馆,,18304388858,
江南豪华日租房,,15944853636,
宜家时尚旅馆,,04388776111,
教育宾馆（夜光路店）,,13689787318,
嘉德宾馆,,04382155599,13756700099
舒悦商务宾馆,,04385092222,
枫林晚主题宾馆（2店）,,04382768222,13756755227
蓝湾时尚宾馆,,15004383975,
镜湖半岛日租房,,18904382453,
红葉时尚宾馆,,13904380334,
爱岛自助式日租公寓（乌兰大街店）,,18143680058,13244283219
金池国际商务酒店,,04382191234,
金鼎商务酒店,,04385592222,5593333
江南时尚宾馆,,04382385588,
锦江之星（吉林松原前郭店）,,04382369111-0,18043861453
伯众主题宾馆,,04382083666,
