姓,名,家庭手机,工作手机
金阳宾馆,,07166217597,
美梦圆宾馆,,07166221081,
华澳假日酒店,,07166222588,
茉莉之星酒店（城北店）,,07166666688,
茉莉之星连锁酒店（时尚店）,,07166665588,
茉莉之星连锁酒店（民主路店）,,07166666188,
芙蓉园大酒店,,07166232208,
冠生园酒店,,07166666599,
海天宾馆,,07166230869,6240818
国泰宾馆,,07166218386,
茉莉之星连锁酒店（二环路店）,,07166666988,
海阔天空商务酒店,,07166223211,
茉莉花开连锁酒店松滋阳光城店,,07166655988,
永兴佳缘宾馆,,07166980068,13545791074
君威商务宾馆,,07166010778,
王平宾馆,,07166792399,15327771189
迎鑫商务酒店,,07166671866,
洈水商务宾馆,,07166591888,
红东园林公寓酒店,,07166665008,
1986主题概念酒店,,07166898588,
尚城商务酒店,,07166795999,15927902896
梦圆宾馆,,07166513396,15327782268
松滋白云边大酒店,,07166699888,
松滋曲尺河温泉度假邨,,07166998999,6666701
乐乡凯瑞国际酒店,,07166637888,
锦江商务酒店,,07166100777,
江城宾馆,,07166599189,
歇金台旅馆,,07166233395,13677160897
西斋宾馆,,07166592000,
茉莉花开连锁酒店（松滋二环路店）,,07166110088,
天顺大酒店,,07166212888,
五福楼宾馆,,07166226125,
丽都宾馆,,07166218929,
玉林商务休闲宾馆,,07166228222,
厚厨快捷酒店,,07166229953,
天源宾馆,,07166236279,
豪泰滨江大酒店,,07166655555,6659999
豪爵商务酒店,,07166248717,
福惠佳苑大酒店,,07166599999,
松滋国际大酒店,,07166668888,6669999
海鄂商务酒店,,07166653508,
石板坡住宿,,07166234318,13797534318
水岸人家农庄住宿,,07166598885,
城市便捷酒店（松滋店）,,07166665777,
梅苑宾馆,,07166653777,
金马路宾馆,,13986676009,
长城商务酒店,,07166511888,
富康宾馆,,13545819885,13886623543
安逸宾馆,,15872658678,
聚一堂商务酒店,,07166216808,
友乐商务酒店,,07166216688,
凯悦商务酒店,,07166229858,
广达商务酒店,,07166993399,
怡佳商务宾馆,,07166595666,
鸿泰商务宾馆,,07166229555,
松滋桃花源宾馆,,07166223598,
金海假日酒店,,07166213111,
红东宾馆,,07166263038,
云鼎商务宾馆,,07166013099,
刘梦园旅馆,,15971609224,
煜川宾馆,,07166226096,13545423900
蘭桂坊商务酒店,,07166119111,
香格里拉才知酒店公寓,,07166269688,
香格里拉宾馆,,07166269127,
东方假日酒店,,07166662066,
湖景商务酒店,,07166259888,
松旺宾馆,,13972130968,
华丽宾馆,,07166220856,
乐乡宾馆,,07166226807,
知佰时尚酒店,,07166230777,
温馨宾馆（二环路店）,,07166269181,15927908553
金桥商务宾馆,,07166216777,
龙晨家庭宾馆（红东园林连锁二店）,,07166217819,
大桥酒店,,07166592408,
鑫鑫宾馆（二环路店）,,07166218580,
怡梦嘉商务酒店,,07166256666,
橘子主题酒店,,07166112598,
星期六商务酒店,,07166222899,
凯利大酒店,,07166218429,
二环路宾馆,,07166222161,
鑫际商务酒店,,07166262272,
新东方酒店,,13886569366,
香槟旅馆,,07166269577,
碧岛山庄,,07166582953,
粤松宾馆,,07166217116,
荆州刘家场宾馆,,07166513640,
君逸宾馆,,07166267177,
玉珍大酒店,,07166218195,
梅苑宾馆（白云路店）,,07166218322,
阳光旅馆,,07166241323,
天和宾馆,,07166269068,
雨竹宾馆,,07166269713,
金都大酒店,,07166247719,
金顺快捷酒店,,07166267237,
华东住宿,,07166226098,
华莲宾馆,,07166220678,
江城旅馆,,07166234122,
君逸宾馆,,13972165480,
红梅餐馆,,07166228363,
鑫缘宾馆,,07166222283,
泰和宾馆,,07166267081,
天瑞宾馆,,15607218200,
松梅宾馆,,07166218666,
传兴宾馆,,15827729159,
深溪源快乐老家农家乐,,07166520099,18972342891
宝丰宾馆,,07166222615,
天汇旅馆,,07166217531,400833-6699
佳丽宾馆,,07166666699,
华泰宾馆,,13872361108,15717831217
安逸别墅客栈,,15872147888,
不见不散宾馆,,07166269577,
晴川阁大酒店,,15826596352,
华业宾馆,,07166218140,
晶宇酒店,,07166516238,15972732385
华阳商务酒店,,07166247777,
宏鑫旅馆,,07166217106,
薛峰宾馆,,07166249820,18627200188
云龙宾馆,,07166316362,
永鑫宾馆,,07166227633,
北山旅馆,,07166231396,
洈水汽车露营地,,07166581000,13296607092
七星楼宾馆,,07166218695,
海帆宾馆,,07166224522,400833-6699
金凯悦旅馆,,07166218880,
五一八假日宾馆,,07166217127,400833-6699
松滋市玉兰宾馆,,07166221365,
红绿灯宾馆,,07166218335,
皓祥宾馆,,07166221311,
双城宾馆,,07166506000,
欢乐谷大酒店,,07166236898,
东方红大酒店,,07166211977,
名都旅馆,,15927736992,
金诚酒店,,07166592200,
籣亭宾馆,,07166112557,
向阳旅馆,,07166513095,
湾潭宾馆,,07166514889,
凯祥商务酒店,,07166242888,
吉雅商务酒店,,13872217000,
康德旅社,,07166223346,13545427456
蓝月亮旅馆,,07166217132,18207215654
东方旅馆,,07166218215,
民政招待所,,15827747677,
两桐客栈,,15927786187,
阳光旅馆,,15090795629,
新穗宁旅馆,,07166247571,
雍静湾大酒店,,07166218757,
聚缘旅馆,,18608619618,
阳春大酒店,,07166262319,
华丰宾馆,,07166247001,
鹏程宾馆,,13886603189,
梦圆宾馆,,07166232447,
义和宾馆,,13972395617,
随缘宾馆,,07166269388,
龙氏宾馆,,400833-6699,
欧元大酒店,,07166248717,15571654096
富丽宾馆,,07166259350,
