姓,名,家庭手机,工作手机
华丰旅社,,15852242114,
金桥宾馆,,051688398989,
汉韵商务宾馆,,051688418666,
鹏浩宾馆,,13375115128,
老土快捷宾馆,,051688331629,18052136603
春华招待所,,051688327566,
美丽家商务宾馆,,051688383222,13775827301
银河商务宾馆,,051688251666,
睢宁县紫金花园宾馆（徐州）,,051688411777,
蜜桃时尚连锁酒店,,051688162111,88016222
清源宾馆,,13952259200,
世德宾馆,,051688398188,
城市客栈（文学路店）,,051688386777,
木子宾馆,,15862253456,
小天鹅商务宾馆,,051688469777,
汉尊宾馆,,051688283366,
汉唐商务宾馆,,051681351111,
康馨快捷宾馆,,051688208666,
尚客快捷宾馆,,051688131313,
天天假日宾馆,,051688385550,
香满楼旅馆,,051688392818,13775827958
太平洋商务宾馆,,051688342913,
睢宁两岸宾馆,,051688032999,15852136558
圣廷苑商务宾馆,,051688296555,
万家快捷宾馆,,051688010203,
成侯快捷宾馆,,051688288866,
虞轩宾馆,,051688305053,
昌达快捷宾馆,,13775821385,
天居宾馆,,051681313333,
快捷之星宾馆,,051688022898,
睢宁县睢城镇布丁快捷酒店,,051688203222,
昌宾快捷宾馆,,18912021339,
瑞丽宾馆,,051688093288,
和家商务宾馆,,051688462555,
星辰酒店,,051688089988,
高林快捷宾馆,,051688201555,
红樱桃大酒店,,051688150789,
铂丽酒店,,051688120999,
速8酒店（徐州睢宁徐沙河新天地店）,,051688466888,
皖江宾馆,,051688469222,
都市118连锁酒店（人民西路店）,,051668062118,
华逸商务宾馆,,051688276789,18052137582
尚客优快捷酒店（徐州睢宁元府路店）,,051688031818,
京港之星连锁店,,051688400000,
格林豪泰快捷酒店（徐州八一中路店）,,051688123999,
汉庭（徐州睢宁县店）,,051681300001,
百乐园宾馆,,051688033222,
睢宁枫华丽致大酒店,,051688289999,
星夜主题宾馆,,051682502222,
派·酒店（睢宁元府东路新世纪中学店）,,051688226688,
睢宁县睢城镇好如家旅馆,,051688331571,
蓝鲸岛主题宾馆,,051667012166,
睢宁荣盛金熙大酒店,,051688306661,88306619
名都酒店,,051667766666,67766777
国轩宾馆,,051688284528,
成功宾馆,,051686321865,18762262535
九鼎葡萄园酒庄,,051688272588,81312188
优家快捷宾馆,,051688131222,
三3假日酒店,,051688448333,
东南快捷宾馆,,051688157333,
锦江宾馆,,15845102099,
天成酒店,,051681311199,
