姓,名,家庭手机,工作手机
来来客栈,,13205384046,
福缘宾馆,,13854862499,
山房客栈,,18105383352,
红旗飘扬客栈,,05388333077,
甄家旅馆,,05386310446,
鑫山宾馆,,18864836631,
兴隆招待所,,15244110811,
合文招待所,,18453848217,
佳鑫招待所,,05382107663,
梦圆祥旅馆,,05388938146,
胜达宾馆,,15064177073,
阿里吧吧青年公寓,,18354803678,
山海大酒店,,05388786366,
飞龙宾馆,,05386300002,6300001
九州家园高级公寓,,13793831920,
丽景樱桃园山庄度假酒店,,05388060000,
光阳宾馆,,15020812011,15020812018
旭日宾馆,,18854849379,
恒顺宾馆,,05386220440,13668687409
华艺旅舍,,05386716817,13475389876
昌馨商务宾馆,,15020813177,
万能青年旅店,,05388211551,13022774748
东福来宾馆,,05388531555,18705485565
红门爱心青年客栈,,18661316575,
俊豪宾馆,,13884758716,
雪峰招待所,,05386188274,18265380795
兴华宾馆,,15854851031,
平安宾馆,,13205389661,15305385126
温馨招待所,,13562852443,
新车站招待所,,05388230478,
浪漫公寓（万达广场店）,,05385368129,15949809156
华达旅馆,,05387338311,15169868891
龙门客栈,,15866008309,
万达果漫主题公寓式酒店,,05388669333,5881761
元亨宾馆,,18854891770,
芒果宾馆,,17686252232,
宏泽宾馆,,18263882526,
欣迎宾馆,,05385616779,13385382388
祥光宾馆,,13176547659,
德亨商务宾馆,,05388483388,6138688
聚福源宾馆,,15263089991,17864802555
陆陆顺宾馆,,05382107815,
昌悦招待所,,15020816519,
岱岳宾馆,,15053807155,13406228603
密思特主题公寓酒店（万达广场店）,,05388675566,
皇苑商务宾馆,,05385569888,
站中宾馆,,05386277890,13705389180
鑫城宾馆（虎山路店）,,14753825006,
聚盛旅馆,,15153876084,
隆盛商务宾馆,,05382181833,18769834833
好客快捷酒店（体育馆店）,,05386067456,
青山客栈,,05386910099,
馨悦宾馆（新兴路店）,,15254830688,
福址园宾馆,,05386923180,13905386148
客来多宾馆,,13675486171,
邮政招待所,,05386911607,13854801633
锦岳宾馆,,05386306410,
舒佳宾馆,,15288913088,13468011995
世和宾馆,,13468008171,
枫烨宾馆,,05388937998,13356822116
御锦宾馆,,13583815229,13355388525
交运宾馆,,13355483535,13853882465
中天宾馆（教场街店）,,05386302777,13954883722
富鑫宾馆,,05388072114,15020836009
鑫烨宾馆,,05388222981,
泰山乔先生青年旅舍,,15662062973,
奥运宾馆（泰山火车站店）,,05386305429,15153839158
跃然快捷宾馆（原铭跃宾馆）,,13356822289,
运成宾馆,,05382181435,
商务宾馆（虎山路店）,,13953808806,
泰兴宾馆,,15005484465,
瑞达宾馆,,05386319684,18264816698
星耀宾馆（原星烁宾馆）,,15065807559,
龙潭旅馆,,13053883215,
钰安商务宾馆,,05387220956,
泉鑫宾馆,,18053849599,
金泉宾馆,,18763855884,
宏润宾馆（温泉路店）,,15854849299,
会友宾馆,,05388238398,15069897674
洪山宾馆,,13954889157,
鲁中宾馆,,13145386411,
天鸿宾馆（小吃街店）,,13854845566,
顺泰客栈,,05382180360,5776118
神州招待所,,05388431746,
58同城酒店,,05385056777,6058555
昊然聚友宾馆,,05386910538,
乐达宾馆,,15005382976,13455808351
怡仁宾馆,,13953856234,
缘来是你宾馆,,15169882836,
学苑宾馆（科大西校店）,,13053880137,13225482288
福地宾馆,,05388889819,
茂园宾馆,,18854803577,
徐家楼招待所,,05386612277,
鲁源宾馆,,13406224226,18202296222
福祥圆宾馆,,18205484123,
张弓宾馆,,18660860558,
青年客栈,,13465485622,
盛旺宾馆（市政府店）,,05386998416,13854845977
大唐凯悦酒店,,05388169999,8169888
祥瑞宾馆,,18953849730,18905483850
盛捷商务宾馆（汽车站店）,,05388886662,8889992
百度风尚宾馆,,05387771999,
易佰连锁旅店（泰安岱庙店）（原东湖宾馆）,,05388203333,
顺意宾馆,,05388885969,
润德商务酒店,,05388611188,
辰龙宾馆（原双龙大厦）,,05385072555,
尚客优骏怡连锁酒店（东平东原路店）,,05382343333,
川洲快捷宾馆,,05385058388,
贵都宾馆（龙潭路店）,,05388414555,
万达蓝山度假公寓（万达广场店）,,05388678678,
阳光嘉苑宾馆,,05387222170,
霖蕴宾馆（通天街店）,,05388281344,
温馨家园宾馆,,13153898858,
京中旅馆,,15053813662,
明金珠宾馆,,05386372333,13853818450
三里宾馆,,15092857645,
霖蕴宾馆（洼子街店）,,05388280446,15254869095
馨悦招待所,,05386950103,
东悦坊精致酒店（岱庙红门店）,,05388070077,13370609816
青年会臻品酒店（岱庙店）,,05386114999,
泰岳宾馆,,15610700777,13655383992
城市66·尚品酒店（泰山岱庙红门店）,,05387770066,
都市青年迷你酒店公寓（万达店）,,05386363118,
顺鑫缘宾馆,,18660840889,
鸿福宾馆,,05387977775,
恒发宾馆,,05388628938,8628939
安心商务宾馆,,05385376899,
胜家时尚宾馆,,05387777128,
佳佳宾馆,,05387262768,
建鑫宾馆,,05386999041,
府东假日精品酒店,,05385367771,
站东宾馆,,05386320491,
星悦之恋假日酒店,,05388898989,
唯爱酒店式主题公寓（万达广场店）,,05382099817,13562890252
舒馨酒店式公寓（万达广场店）,,05388882577,15753889995
白玉兰公寓式酒店（万达广场店）,,18653816651,18653827720
爱情主题公寓式酒店,,05388281509,13365487201
鲁科88商务酒店（东岳大街上河桥店）,,05388888870,5072588
鲁科88商务酒店（泰山大街店）,,05388487988,8487968
爱巢主题公寓（万达广场店）,,05382099916,18753816517
鲁科88精品酒店（银座农大店）,,05388585288,
鲁科88连锁酒店（火车站店）,,05386281968,
鲁科88连锁商务酒店（财源街店）,,05386291888,
蓝格佳驿个性商务酒店（天外村景区店）,,05387770077,7770088
优客宾馆,,13954837788,
居家宾馆,,05387223828,
金泽招待所,,13953891350,
宜居客栈,,15666760839,13082779278
99旅馆连锁（泰安岱庙店）,,05386368399,
时光纪青年旅舍,,15550889760,
金秋商务宾馆,,05385999966,
顺和宾馆,,13583834054,13583832044
御竹宾馆,,05388371197,
鑫泰商务宾馆,,05386331480,18354837680
友谊宾馆,,05386979885,13954893568
网巢公寓式宾馆,,15269685207,
嘉源宾馆,,15254893066,
茗仙宾馆,,05382580777,
金泰客栈,,15854866949,
岳鑫宾馆,,13853835391,
嘉恒宾馆,,13053840058,
风光假日酒店（长途汽车站店）,,05388033777,
聚新宾馆,,05388221627,13583800882
360快捷酒店,,05383785988,
泰山听风雅舍客栈,,13605383290,
金地宾馆,,13295389685,15069861361
溢香斋大酒店,,05387225024,
运华商务宾馆,,053865241679,13954880795
金泰宾馆,,05386305544,8211253
财源宾馆,,15953848999,
依山宾馆,,13675485862,
西城宾馆,,05383395558,18853839688
春秋假日宾馆,,05385072627,13792144045
静娴宾馆,,15805484678,
胜驿商务宾馆,,05386527999,
鑫悦宾馆,,13854856628,
阳光速8商务宾馆,,05388588188,
凤鸾人家商务宾馆,,15275345758,
瑞丽商务宾馆,,05382990299,
莱凯西商务宾馆,,05388630877,8630876
国泰宾馆,,05387103508,
鑫烨宾馆（洼子街店）,,05386717188,18763899157
麻雀迷你客房,,18505488896,
乐嘉商务宾馆,,13853827575,
千里马假日酒店,,05387777369,
正和宾馆（岱宗大街店）,,05386290558,13953833433
鼎盛宾馆,,05386114882,15064170077
煜和诚宾馆,,15725858328,
富康宾馆（青山东街店）,,05388218542,13854813053
双烨商务宾馆（东岳大街店）,,05386805666,5555500
锦程商务宾馆,,05388499209,18653864209
滨江之星快捷宾馆,,05382697789,13953890709
太平洋宾馆,,05386993100,
时光酒店,,05386301222,7770998
大众宾馆,,05385898559,
永汇商务宾馆,,05386335088,
青年快捷宾馆,,05387260111,5083222
双烨商务宾馆,,05385555550,
天波杨府大酒店,,05388141444,13953856707
如达时尚宾馆,,05386963333,
馨雅商务宾馆,,05386207890,13082777890
光彩山水宾馆（光彩大市场店）,,05388689018,15253852723
盛客商务宾馆,,05386180588,15588519792
雅迪商务宾馆,,05387559099,
天福缘商务宾馆,,05386130247,
瑞福祥宾馆,,05386183766,15305484014
安泰旅馆,,13705385704,
美景之旅连锁酒店（火车站天外村店）,,05386380000,
如心快捷酒店（新汽车站店）,,05382065111,
易佰连锁旅店（泮河大街农大南校店）,,05385059688,13375481037
翔顺商务宾馆,,05386060567,
永鑫源宾馆,,05387062222,
天福缘商务宾馆（省庄店）,,05386511688,13515486563
蜗牛商务宾馆（岱庙店）（原凯悦商务宾馆）,,15215488967,
财鑫源宾馆,,15288903104,
鲁峰旅馆,,13953856664,
裕民宾馆,,05386910469,13675484507
客顺宾馆,,05388422858,
都市精品酒店（火车站店）,,05385077776,
缘·桔子酒店公寓（万达广场店）,,05388282007,6630387
汇泉精品酒店（火车站店）,,05386230000,5888000
兴达商务宾馆,,05385656076,18763874455
尚客优快捷酒店（泰安唐王街东岳中学店）,,05382099099,2099090
嘉苑宾馆,,13685381498,15664452348
尚客家商务宾馆,,05386394888,6394567
万达泰景酒店公寓（万达广场店）,,15092856220,15153836901
速8酒店（泰安火车站店）,,05388586666,
南美宾馆,,05386227777,
望岳66连锁宾馆（中百商厦店）,,15615688507,
