姓,名,家庭手机,工作手机
横山酒店,,07505711888,
十六团驿站,,07505396988,13713276000
兴旺旅业,,07505662383,
南湾山庄度假酒店,,07505325566,
德丰商务酒店,,07505621888,5621760
华裕商务酒店,,07505533222,
新联兴旅业,,07505535638,400833-6699
金华旅业,,07505580288,
新友业宾馆,,07505553988,
789连锁宾馆（台山城北店）,,07505623555,
789连锁宾馆（枫叶宾馆东门店）,,07505565666,
银都商务酒店,,07505519338,
金叶湾宾馆,,07505270778,13924511355
台山浩文酒店,,07505592222,
金豪商务酒店,,07505586888,
台山新金源酒店,,07505968888,
台山铂顿精品酒店,,07505482228,
台城裕丰酒店,,07508515222,5618999
台城金来福商务酒店,,07505525777,5623688
悦美大酒店,,07507375888,
翠湖大酒店,,07505558889,5558887
滨海酒店,,07505730198,13432220756
摩登概念酒店,,07507171888,
映荷园酒店,,07505601888,
宾东酒店,,07505756333,
台山下川岛南国大酒店,,07505751138,
财通度假楼,,07505781869,13725970007
八方公寓,,13923053102,
嘉联主题酒店,,07505555589,
远洋酒店,,07505399643,
柏悦旅店,,07505782999,
柏林商务酒店,,07505611223,
新珍珠阁海湾客栈,,07505756822,13672883477
鸿生楼度假屋,,13432297135,13432227233
红海大酒店,,07505756818,
天汇假日酒店,,07502639666,
海景湾度假酒店,,07505782811,
下川王府洲别墅度假邨,,07505756183,
海天楼旅馆,,13555691478,
台山那琴半岛酒店,,07505781222,13717278283
花苑大酒店,,07505718777,
怡海雅居民宿客栈,,07505755380,13066403900
下川南湾休闲雅居民宿,,18022991360,
金叶大酒店,,07505399413,13822318789
未来方舟美墅民宿,,13709616880,
嘉明大酒店,,07505398888,
海景阁民宿,,13824065792,
台山下川岛阅海酒店,,07505756868,
台山碧桂园凤凰酒店,,07505688665,5688688
下川岛常来雅居民宿,,13702708936,
古丽精品酒店,,07505578999,
帝苑别墅度假村,,07505757818,
浪美楼宾馆,,07505782565,
柏兴度假楼,,13556999301,
壹号海景酒店,,07505756838,
瑞朋雅居客栈,,13426781558,13422576211
下川御龙湾酒店,,07505751368,
上川岛听涛居,,07505399227,
农家爱心客栈,,15815912812,
789连锁宾馆（枫桦宾馆水步店）,,07505452222,
下川凯瑞酒店,,07505757116,
幸福居公寓,,13630475943,
顺风楼宾馆,,13432299970,
柏丽连锁酒店（台山桥湖店）,,07505228888,
林旺楼住宿,,07505782883,15994895546
海都酒店,,07505756288,
康杰酒店,,07505232222,
渤海公寓,,07505270898,
晟海商务宾馆,,07505399504,
下川岛海景雅居民宿,,13612267077,
万豪商务宾馆,,07505521222,
百惠旅业,,07505277622,
上川海苑别墅,,07505395788,13427407815
百惠旅业（钦头店）,,07505623888,
君悦轩酒店,,07505753088,
上川岛碧海银滩假日酒店,,07505397888,
丽茵商务酒店,,07505588870,
宇悦酒店,,07505552555,
美雅旅店,,07505511268,
宏发楼旅馆,,13702211242,
兴乐休闲渔业旅游酒店,,07505306999,
上逹宾馆,,13923051925,
川岛渔家庄,,18027621848,
新苑酒店,,07505599289,18026827559
悦行家精品民宿,,07505753238,18029429838
碧海居旅馆,,13680411233,
海延湾宾馆,,13822301191,
东方丽景精选酒店,,07505520888,
凯逸海景别墅民宿,,07505757629,13631818778
田丰商务酒店,,07505785833,13422536289
澳林宾馆,,13542193626,13316709162
台山格豪酒店,,07502639388,
海悦蓝湾假日酒店,,07505782333,18088899194
下川海怡居别墅,,18929046788,
云山别墅,,13702588776,
