姓,名,家庭手机,工作手机
宾王时尚旅店,,0088602-25582255,
下一站台北背包客栈（NextTaipeiHostel）,,0088602-23144787,
帝后大酒店,,0088602-25913261,
w酒店,,0088602-77038888,
台北星盒青年旅馆（原丰潮屋胶囊旅店）,,0088602-25507220,
庆尔喜旅馆,,0088602-23712980,
福尔摩沙101旅舍（Formosa101）,,00886955780359,
诚品行旅,,0088602-66262888,
西门町影巷·人文公寓（LaneToLifeApartment）,,0088602-23888391,
新驿旅店（台北复兴北路店）（CityInnHotelPlusFuxingN.Rd.Branch）,,0088602-25158777,
探索汽车旅馆（延平馆）,,0088602-88112588,
台北大仓久和大饭店,,0088622523111,
台北宁夏栈,,0088602-25578738,
艺宿商旅（宁夏馆）,,0088602-25506655,
台北寒舍艾丽酒店,,0088602-66318000,
台北捷运栈 - 士林小栈（Taipei Metro Stay - Shihlin Stay）,,0088602-28310180,
台北香都大饭店（Charming Castle Hotel）,,0088602-25612967,
京站式酒店公寓,,0088602-25527070,
万豪酒店,,0088602-85029999,
大地北投奇岩温泉酒店,,0088602-55518888,
晶华酒店,,0088602-25215000,
天阁酒店（台北长安馆）（TheTangoTaipeiChangAn）,,0088602-25317777,
天阁酒店-复兴馆（TheTangoHotelTaipeiFuHsing）,,0088602-87128000,
台北捷运民宿-101馆,,400185-1616,
悠逸商旅 - 台北士林馆,,0088602-8883966,
新驿旅店（台北西门捷运店）,,008862-77252288,
神旺商务酒店（SanWantResidencesTaipei）,,0088602-25115185,
香树花园酒店,,0088602-85023955,
台北行天宫栈,,0088602-25215169,
台北中山馆民宿,,15801372932,
谦商旅-总统府馆（ChaiinHotel-TzungTungFu）,,0088602-23899595,
柯达饭店-松江店（K-HotelSongjiang）,,0088602-25159999,
老爷酒店（HotelRoyalBeitou）,,0088602-28969777,
天使青旅（台北西门馆）（Angels Hostel （Taipei Ximen））,,0088602-23132319,
六福居停車場,,0088602-77010165,
东驿商务旅馆,,0088602-23831999,
城市商旅（南东馆）（CitySuites-TaipeiNandong）,,0088602-27425888,
东驿商旅西宁馆,,0088602-23615160,
老爷大酒店,,0088602-25423266,
设计青年旅店,,0088609-10265883,
喜瑞饭店,,0088602-25410077,
硕美精品旅店（HotelBstay）,,0088602-25621598,
台北银河mini旅店,,0088602-23116606,
台北璞丽商旅-西门店（Hotel Puri Ximen）,,0088602-23718616,
太空舱旅舍（SpaceInn）,,0088602-23813666,
台北立瀚会馆,,0088602-23021222,
台北红米国际青年旅馆-台北车站（Homey Hostel,Taipei Main Station）,,0088602-25504499,
台北市美福大饭店,,0088602-77223399,
长富时尚旅店（Homeyhouse）,,0088602-25420101,
台北市天云旅栈基河馆,,0088602-23619000,
富驿时尚酒店（台北南京东路馆）（FXHotelTaipeiNanjingEastRd.）,,0088602-55720777,
薆悦酒店（INHOUSEHOTEL）,,0088602-23753388,
台北西华饭店- 鮨 小马,,0088602-27181188,
宜家商旅（LaMaisonHotel）,,0088602-27956777,
和逸（忠孝馆）（HOTELCOZZIZhongxiaoTaipei）,,0088602-77253399,
洛碁背包客栈（GreenWorldHostel）,,0088602-27526533,
和逸-民生馆（HOTELCOZZIMinshengTaipei）,,0088602-77266699,
有诚商旅（YusenseHotel）,,0088602-88615599,
蜂巢-台北车站馆（BeeHouse-TaipeiStationBridge）,,0088602-25599000,
豪景大酒店,,0088602-23113131,
一加一旅馆,,0088602-23892886,
台北威斯汀六福皇宮,,0088602-87706565,
洛碁商旅（建北馆）,,0088602-25095151,
亚都丽致饭店-天香楼,,0088602-25985588,
天成大饭店（ COSMOS HOTEL TAIPEI）,,0088602-23617856,
怡亨酒店,,0088602-27848888,
首都大饭店大直馆,,0088602-85026161,
丰居旅店双连馆（ViaHotelLoft）,,0088602-23112121,
昰美精品饭店,,0088602-28730333,
升美商旅（HotelBCHIC）,,0088602-25111399,
福泰桔子商务旅馆（Forte Orange Business Hotel）,,0088602-23811155,
台北香城豪悦大饭店,,0088602-25177272,
久居栈旅店（9ineHotel）,,0088602-25574999,
西门町意舍,,0088602-23755111,
骏宇饭店（HotelJune）,,0088602-27915678,
太平洋商旅,,0088602-87808000,
福泰桔子商旅西门店（ForteOrangeBusinessHotelXimen）,,0088602-23115556,
卡乐町旅店,,0088602-23826000,
馥敦饭店-复北馆,,0088602-2713-8181,
沃田旅店,,0088602-28752288,
途中国际青年旅舍（OnMyWay-TaipeiYouthHostel）,,0088602-28910230,
松哖酒店（SonnienHotel）,,0088602-27070101,
台北大直薇阁精品旅馆,,0088602-85026000,
甄美精品商旅（BeautyHotelsTaipei-HotelBfun）,,0088602-25639696,
德立庄酒店（HotelMidtownRichardson）,,0088602-23757777,
柯达饭店KHotel（台北一店）,,0088602-25422222,
旅乐序精品旅馆站前二馆,,0088602-23757555,
兄弟大饭店（BrotherHotel）,,0088602-27123456,
大师商旅,,0088602-25597722,
西门星辰大饭店（XimenCitizenHotel）,,0088602-23831123,
薇阁精品旅馆-林森馆（WegoBoutiqueHotel-Linsen）,,0088602-25318000,
漾馆时尚温泉酒店（aquabellahotel）,,0088602-28911118,
三德大饭店（SantosHotel）,,0088602-25963111,
品格子旅店（台北西门馆）（Inn Cube Ximen）,,0088602-23618008,
爱客发时尚旅馆万年馆（ECFAHotel-WanNian）,,0088602-23619069,
西门町新乐町精致旅居,,0088602-23898528,
云鼎商务旅店,,0088602-23937555,
澄舍商旅,,0088602-25365988,
莉豪商旅（lihaohotel）,,0088609-37421908,
东门旅店,,0088602-23560210,
梅楼商务驿站（maininn）,,0088602-25552587,
窝客旅馆（Work Inn）,,0088602-89782345,
乔合大饭店,,0088602-27765877,
桦舍商旅（huashehotel）,,0088602-28977111,
金都精致温泉饭店,,0088602-28911228,
美丽信花园酒店（MiramarGardenHotel）,,0088602-87728800,
友友大饭店（YoyoHotel）,,0088602-25316767,
头等舱饭店,,0088602-23882466,
町记忆旅店（ChoHotel）,,0088602-23709830,
舞衣新宿旅店（MaiHotel）,,0088602-25429511,
香格里拉远东酒店（Shangri-La'sFarEasternPlazaHotel,Taipei）,,0088602-23788888,
捷丝旅-西门町馆（JustSleepXimendingBranch）,,0088602-23709000,
国联大酒店 （United Hotel）,,0088602-27731515,
莎多堡奇幻旅馆,,0088602-85027585,
雅柏精致汽车旅馆（AlperMotel）,,0088602-27645858,
华国大饭店（ImperialHotelTaipei）,,0088602-25965110,
洛碁商旅-林森馆（GREENWORLDHOTEL（LINSEN））,,0088602-25955225,
阳明山中国丽致大饭店,,0088602-28616661,
华丽饭店,,0088602-23818111,
舞衣新宿-南京馆（MaiHotelNanjing）,,0088602-25035511,
洛碁山水阁大饭店（GreenworldInn（CHUNGSAN））,,0088602-25971281,
南西天阁酒店（TangoHotelTaipeiNanShi）,,0088602-25679999,
柯达大饭店（敦南馆）,,0088602-27323333,
191旅店（191Hotel）,,0088602-25559711,
台北长虹饭店,,0088602-23119193,
宣美精品饭店,,0088602-87713066,
中源酒店（NEWCONTINENTALHOTEL）,,0088602-25505799,
帅客旅店（SaualKehHotel）,,0088602-2322-3887,
富裕自由商务旅馆（RFHotel）,,0088602-27413147,
台北灿路都饭店,,0088602-25973610,
凯统饭店（KdmHotel）,,0088602-27211162,
立德俩人旅店,,0088602-28973611,
新仕界饭店,,0088602-23118663,
香城大饭店松山店,,0088602-27693969,
