姓,名,家庭手机,工作手机
柏雅湾假日宾馆,,07742571518,
华轩旅馆,,07747082988,
隆源宾馆,,07742570338,
九腾商务宾馆,,07747291555,
皇廷宾馆,,07742477870,
洲洋宾馆,,07747281500,
港龙商务酒店,,07743139989,
日新商务宾馆,,07747582288,
中大宾馆,,07747016888,
勃森城市便捷酒店,,07742520168,
喜相逢宾馆,,07742570688,2570588
腾隆宾馆,,07747299333,
文华大酒店,,07747278888,
馨苑商务宾馆,,07747279088,
东信宾馆,,07747298888,
维尼便捷酒店,,07747555666,
牡丹大酒店,,07747288688,7285788
亿宝宾馆,,07742573653,
宏业大酒店,,07747680888,
日昇宾馆,,07747293768,
芳名楼宾馆,,07747688088,
九龙商务宾馆,,07747585088,
如意农家度假屋,,07747087613,13788344618
保盈海悦酒店,,07747588888,
高雅宾馆,,07747685898,
豪泰宾馆,,07747605688,
恒丰商务酒店,,07747017288,
金丰宾馆,,07742520888,
润丰宾馆,,07742520066,
悦来宾馆,,07747292188,2571688
金湖宾馆,,07747270268,
万豪宾馆,,07742572333,
陶源商务酒店,,07747555999,
金源宾馆,,07742571898,
昱昌宾馆,,07747290665,
豪庭宾馆,,07747299188,
金荔苑旅馆,,07742520305,
安逸商务宾馆,,07742520088,
万福商务酒店,,07743135888,32608880
龙都商务宾馆,,07747299688,
逸安居商务宾馆,,07747271088,
城市印象酒店,,07742526888,2526999
凯悦商务宾馆,,07742572858,
常来商务宾馆,,07747687688,
安怡商务宾馆,,07747083668,
栢丽宾馆,,07742573035,
来往时尚酒店,,07742520555,3135188
东华宾馆,,07742570288,
富豪宾馆,,07747296869,
假日宾馆,,07747292388,
金华宾馆,,07747081688,
锦上花酒店,,07747279888,
新明珠宾馆,,07747291988,2520268
永乐酒店,,07747297258,
富丽商务酒店,,07747085588,
东宁旅馆,,07747293101,
梧州铭豪商务宾馆,,07742527999,
农家客栈,,400805-3295,18922833555
旺源旅馆,,07747606269,
小南阁,,07742521068,
鸿泽宾馆,,07747254728,
红日宾馆,,07747602271,
老地方宾馆,,07747281988,
宏盛宾馆,,07747587288,
幸运星宾馆,,07747082388,
嘉乐宾馆,,07747606222,
皇朝宾馆,,07747291313,
南国宾馆,,07747602598,
碧海湾旅馆,,07747297828,
金桥旅馆,,07747602188,
东豪宾馆,,07747292358,
华乐宾馆,,07747299722,
金桃宾馆,,07747296888,
石表山特色木屋住宿,,17722482735,
三姐酒店,,07747606980,
方圆宾馆,,07747296008,
龙门宾馆,,07747291189,
康乐旅馆,,07747602555,
金鸿发宾馆（桂榜路店）,,07747299988,18077438635
逸豪宾馆,,07747608068,
德众旅社,,07747291210,
新鑫旅馆,,07742526057,
合作宾馆,,07747288986,
佳宝旅馆,,07747291628,
新运宾馆,,07747017968,
康源旅馆,,07747292864,
红石顶河畔酒店,,07747309888,
金义锋商务宾馆,,07747693388,
雅居旅馆,,07747291958,
三姐美食大酒店,,07747607999,
财神宾馆,,07747017068,
海盛宾馆,,07747295668,
四季春天假日宾馆,,07747651888,
蒙园宾馆,,07747298181,
好地方宾馆,,07747299938,
兴隆酒店,,07747185159,
佳妙宾馆,,07747298813,
瑞丰宾馆,,07747291599,
皇马宾馆,,07747016666,
花园宾馆,,07747608008,
藤北宾馆,,07747606668,
金瓯旅馆,,07747280589,
国雄宾馆,,07747608018,
红宏旅社,,07747298269,
豪天旅馆,,07747291958,
华星宾馆,,07747016188,
东升宾馆,,07747606202,
港台大酒店,,07747280518,
嘉旺旅馆,,07747295925,
龙悦宾馆,,07747555366,
江锋宾馆,,07747017388,
金凤凰宾馆,,07747553222,
丽景宾馆,,07747607900,
丽港假日宾馆,,07747017000,
亿源宾馆,,07747016568,
鸿源宾馆,,07747293868,
吉祥酒店,,07747275533,
怡景宾馆,,07747288822,
龙翔宾馆,,07747017938,
顺圣宾馆,,07747036868,
明都宾馆,,07747291566,
陶都宾馆,,07747300188,
海景酒店,,07747502882,
商务宾馆,,07747388893,
福喜宾馆,,07747297126,
梧州景明大酒店,,07747682888,
英皇宾馆,,07747586688,
威尼斯宾馆,,07747080588,
东安旅业,,07747607274,
东方国际休闲宾馆,,15878412961,
伟龙休闲宾馆（梧州）,,07747082288,
新世界商务宾馆,,07747608099,
江南宾馆,,07747017333,
东怡宾馆,,07747290966,
雅怡假日宾馆,,07747275188,
欧阳旅馆,,07747606648,
东方红旅馆,,07747299098,
