姓,名,家庭手机,工作手机
幸福公寓,,18643509699,
萍聚旅店,,15844540266,
飘香百姓家酒店,,04358862991,
避风草健康会所（客房部）,,04353539997,
宏宇招待所,,04353628608,
国滨旅店,,04353757555,13614351555
迎宾旅店,,04353632098,3635768
永恒旅店,,13843590855,
乐客旅馆,,04357378855,
广源旅店,,04353334005,
家园旅店,,04356114912,
印象时尚宾馆,,04356912555,
顺利旅店,,13630751847,
百盛旅店,,04353256598,
长安旅店,,04353950593,13134351616
休闲洗浴会馆,,04358273333,
通化鸿鑫客栈,,04353516181,
奥翔旅店,,15144555067,13654353037
常客招待所,,04353523456,
长源旅店,,04356114352,15526602985
红钟旅馆,,13258777899,
君溢时尚宾馆,,04353459555,
通化市东昌区格林小宿宾馆,,04353373777,18604354899
金利时尚宾馆,,13514356102,
东兴时尚宾馆,,04358241999,15144588111
温馨家庭日租房,,04357777000,13044352202
宜家旅馆,,04353615117,13844587910
百合快捷旅馆,,15944566858,15840341624
如果+爱日租房,,13104354408,
忆家时尚入住,,04358296667,
赢家时尚入住,,04358248880,
旭升宾馆,,04358255555,
鸿一运宾馆,,04356805988,15069020608
云鼎快捷宾馆,,04353215579,15104355188
鸿圣假日酒店,,04353539998,
加州旅馆,,04353212391,18626555889
海友宾馆（通化火车站店）,,04353591020,
水岸时尚宾馆,,04357779977,13844557369
天成网络旅馆,,13844537155,13331461958
日月明主题宾馆,,04354749111,
深呼吸海洋主题宾馆,,04353387788,6861919
金月旅馆,,04353522567,
长兴浴池宾馆,,04358244555,
七彩天和宾馆,,04356680777,
春江时尚宾馆,,04353289990,
星月快捷酒店,,04353590000,3349999
宜家宾馆,,15043597202,
丽洋快捷宾馆,,04353333331,
迷你时尚宾馆,,04354874567,
星空假日酒店,,04356986888,
通化市东昌区布丁宾馆,,04355010666,
佳煜商务宾馆,,04353622555,
金熹时尚宾馆,,04352292299,
交通商务宾馆,,04353930666,
彭赢时尚商务宾馆,,04353348666,18643534498
军华旅店,,04356212586,
华夏大酒店,,04356882777,
创艺时尚宾馆,,04356961777,
瑞莹时尚宾馆,,04354774888,
7天连锁酒店（通化火车站店）,,04353715888,
客运招待所（胜利路店）,,04356259996,13732851234
米多快捷宾馆,,04353677767,
鸿运西江贡宾馆,,04353727111,
吉利亚宾馆,,04355031777,
舒泰宾馆,,04356520999,
顺驿商务宾馆,,04356115566,
佳宁宾馆,,04357650999,13844557345
young主题宾馆,,04353758777,
瀚林园商务宾馆,,04353385555,
夜色宾馆,,04354225111,
心缘日租房,,15044587678,
留香居民宿,,18343104288,
永成商务宾馆,,04353351111,
鑫梦缘旅店,,15843562321,
光大时尚宾馆,,04358753333,18443509998
视界风尚宾馆,,04354789555,15143541922
E+概念宾馆,,04353669001,
如家派柏·云酒店（百货大楼店）,,04355011166,
星空假日宾馆,,04353595678,
佳捷时尚宾馆,,04358781999,
起点主题宾馆,,04353738399,
交通时尚宾馆,,13766193331,
T9新睡眠主题宾馆,,04353470111,
温馨快捷宾馆,,13844549678,
盛誉宾馆,,04354758888,
布卡客栈,,04352288666,
国东酒店,,04355074444,
云峰大酒店,,04353918001,3918002
佳丽宾馆,,04356222600,
仁和快捷宾馆,,04353950789,18504357887
锦江之星（吉林通化胜利路店）,,04353368888-0,
红玫瑰情侣酒店,,04354669998,
通化东方假日酒店,,04353515555,3615555
星月时尚宾馆,,04356995555,
一丁主题宾馆,,04356737999,
一丁大酒店,,04356263333,
伊统河畔商务宾馆,,04357605999,
桃仙宾馆,,04354705888,
戴维斯商务休闲宾馆,,04353508999,
深呼吸Hello Kitty主题旅馆,,04353767878,6807878
姜氏新濠商务宾馆,,04356942999,
通化县快大茂镇馨如家时尚会馆,,04355776688,
海友精品公寓（东庆花园店）,,13704353875,
玉林商务宾馆,,04355021186,
庆源旅店,,18744559875,
通化郁新旅店,,15500233996,
宝源旅店,,18744559875,
逸时光主题宾馆,,04354808666,
北方大酒店,,04357531111,
丽都宾馆,,04357229900,
如家快捷酒店（集安鸭江路店）,,04356145555,
站前旅馆（二店）,,04353526969,
隆源商务宾馆,,04355195555,
雅馨日租房,,13943542013,17099615551
麗枫酒店（集安文化路店）,,04356687666,
回家快捷客栈,,04355112811,13944545172
途佳宾馆,,04354755999,
嘉星宾馆,,04357277555,
莲顺高丽楼酒店（客房部）,,04354654999,
红事会温泉酒店,,04354729888,
万嘉时尚宾馆,,04358851999,
鸿雨时尚快捷宾馆,,04354331222,
城西宾馆,,04358225555,
嘉濠宾馆,,04357377777,04355023777
盛澜浴时尚宾馆,,04358246789,
爱家日租房,,18843509103,
古楼招待所,,04354231308,
五女峰天成宾馆,,15143528701,
春雨时尚旅馆,,15043547773,
财富商务酒店,,04356816666,18145630915
八零九零唯爱宾馆,,04356753333,
鸿祥假日酒店（火车站店）,,04353305555,
金典时尚宾馆,,04357370123,
义赢会馆,,04355215850,15604355855
天予宾馆,,04356312688,
新翠泉宾馆,,04353700000,
快捷宾馆,,04358888168,
恺丽宾馆,,04353204777,3204778
弘达洗浴宾馆,,04354648999,
紫荆阁酒店,,04352666666,3370999
幸福日租房,,15344356667,
境心源主题宾馆,,04354896668,
万家商务宾馆,,04357677777,
阿里郎宾馆,,04355050888,
大米姐酒店,,04357671999,
9号公馆,,18743512598,
禹丽商务宾馆,,04353526777,
沿江鸿运时尚宾馆,,04355081799,
顺鑫时尚入住,,13089276433,
中煤假日酒店,,04355871111,
天天旅馆,,18943437588,
和家宾馆,,04356760888,
豆谷离宫大酒店,,04356238988,
家园旅店,,04353665222,
锦江宾馆,,04356221212,
甜蜜日租房,,13943542611,
中圣宾馆,,04358797999,
金峰洗浴休闲宾馆,,04354373555,
家乐时尚宾馆,,04358267555,
雅和宾馆（原豪江大酒店）,,04356233800,
九洲宾馆,,04354504447,
时光日租房,,13843579608,
浪漫满屋时尚旅馆,,13944552583,
富霖宾馆,,04356734567,
富钰旅店,,15643562226,
紫都苑宾馆,,04356605888,
吉缘宾馆,,04357222285,
大经久宾馆,,04353446789,6177789
友佳时尚旅馆,,04357251848,13844551848
春竹旅店,,04356222676,
万境湖,,04354318888,
银河温泉大酒店,,04357614555,7375555
瑀飞日租房,,13943542013,
春依侬时尚宾馆,,04356670666,
吉祥宾馆,,04355091212,
柳河县七天商务宾馆,,04357664999,
通化通天丽园酒店,,04355050999,13324355099
小南国鱼公馆（滨江西路店）,,13944591198,
九洲宾馆（二部）,,04354517888,
一帆风顺生态酒店,,04355118888,
佳露婚房客房,,15834569789,
新王府之星宾馆,,04357335888,
水兴旅店,,15504358706,
龙兴大酒店,,13614457849,
馨雅旅馆,,04356315868,13644356085
天泽假日宾馆,,04358249555,
唯沃酒店,,04356106666,
羊鱼石假日宾馆,,04356255777,13644455678
裕华旅店,,04353511247,
红焱宾馆,,04356180048,13019195533
新家快捷宾馆（通化）,,04356923678,
通化万通招待所,,13394356366,
天伦洗浴宾馆,,04354214448,
鑫圣都宾馆,,04354885555,
88时尚假日酒店,,04357272677,
坤座商务洗浴宾馆,,04358253333,18543536828
湘楠旅馆,,04356689588,
多福快捷宾馆,,04353508585,
桂琳轩时尚宾馆,,04355757999,
9星际养生会所,,04353386666,
泰源旅店,,18843503883,
彬源宾馆,,04357227998,
鑫星时尚旅馆,,04354786111,
东方华龙宾馆,,04354850666,4245666
鸿翔假日酒店（二道江店）,,04353761888,
惠丰时尚入住,,13904456104,
家园招待所,,15114322257,
小江南客栈,,04356671888,
喜利多宾馆,,04357212333,7211333
都市118连锁酒店（吉林通化二道江店）,,04355110777,
天鸿忆江南足御会馆（光复路店）（客房部）,,04353561888,
馨苑宾馆,,04354853111,
曼福特酒店,,04355866666,
小江南客栈（二部）,,04356367777,
欣悦旅馆,,18243584123,
快捷旅店,,15143595143,
yes 时尚宾馆,,04355727777,
光大公寓,,13394356366,
天都旅馆（环宇胡同店）,,04358236229,
百信快捷宾馆,,15043509009,18943577012
吉铁招待所,,13943561689,
祥和旅店,,18643518997,
圣鑫商务宾馆,,04353708555,
昱都宾馆,,04358757888,
云鹏宾馆,,04357739777,
新惠东宾馆,,18543500816,18743598578
关东文化艺苑,,04353461999,
8090主题宾馆,,15944540041,
长源快捷宾馆,,04354352077,
凉水泉朝鲜族民俗度假村,,15567870718,
喜多多客栈,,04353236657,
长岛旅馆,,15943553858,
宜客家宾馆,,04354366677,
佳利商务宾馆,,04353395577,
游客来商务宾馆,,04355736888,
鑫逸时尚入住,,04358263222,
壹号别墅酒店,,04356664444,
乐逸宾馆,,04354707999,
集安市路明宾馆（通化）,,04356221293,
柳河宾馆,,04357255555,
新雅客房,,04355238869,13943531605
通钢宾馆,,04353773700,
云梦宫快捷宾馆（二部）,,04357603455,
金桥商务酒店（新站路店）,,04353611503,
益馨快捷宾馆,,13944532669,
盛唐商务宾馆,,04354865111,
辉南宾馆,,04358286005,
大龙湾酒店,,13844577089,
东方明珠天子酒店,,04358867777,8862558
永丰宾馆,,04358866456,
通化恺晨婚房（新新家园店）,,13364359521,
百君旅店,,04353356577,18604354947
楚源宾馆,,04354888866,
弘都宾馆,,04356865888,
北方宾馆,,04354338888,
站前宾馆,,04354218888,
川江公寓,,13943543898,
盛澜浴洗浴宾馆,,04358226789,
金兴旅店,,04353370601,
沣源时尚宾馆（古楼店）,,04354250006,
一丁宾馆（二部）,,15584831811,
通化恺晨婚房,,18626584100,
嘉年华宾馆,,04356665888,
新感觉时尚入住,,04358255575,
海汇商务宾馆,,04355877799,
金凯旅店,,15944589552,
通化乐家客房,,13500954600,
银河湾宾馆,,04356915555,
红太阳旅店,,18943569678,18604359518
华宇旅店,,13298844538,15704351648
名仕商务宾馆,,04357664888,7775789
站前旅馆（一店）,,04353526969,
正兴宾馆（胜利路店）,,04356727888,
星月时尚宾馆,,04356687777,
老兵时尚入住,,04358288686,
恺晨婚房（江南欧亚店）,,13364359521,18804356601
梅河口商务宾馆,,04354220977,
运达旅馆,,15044553212,
中东拉图摩根酒店（原中东戴斯酒店）,,04353397777,
赢家时尚入住（二部）,,04358248881,
温居招待所,,18643598501,
乐福时尚入住,,15844560383,
馨阁时尚睡吧,,04357679666,
鸿韵时尚宾馆,,18743508778,15044598883
启运宾馆,,04353294505,18604356973
宏源商务酒店,,04353775588,
麒麟大酒店,,04353461999,15844588880
百顺旅店,,04353627968,15834565965
香港城假日大酒店,,04356655888,
一丁宾馆（一部）,,04356683366,15500372322
新恺丽宾馆,,04353447777,3196666
世沅宾馆,,04354364555,4872345
惠宾招待所,,04353919858,13674358543
时尚商务宾馆,,15844583990,
鑫苑主题宾馆,,04358245999,
碧云天酒店,,04355723999,
客满隆旅馆,,18243572333,
皇冠大酒店,,04355799999,5778585
怡居时尚公寓,,18243590109,18243590106
银都洗浴宾馆,,04354702073,
佳特时尚宾馆,,04357376999,
客运公寓,,15704480279,
东苑宾馆,,04358246355,
德通时尚宾馆,,04358256000,
阳光旅店,,04356687900,
城市快捷宾馆,,04353235999,
恺晨婚房（新站步行街店）,,13364359521,
樱花旅馆,,04356668866,
乾园时尚宾馆,,04356238888,
帝嘉假日宾馆,,04357232555,
天昀时尚宾馆,,04353733888,
鸿昇商务宾馆,,04355013777,
益＋巴时尚宾馆,,04352284777,5009919
如家快捷酒店（通化玉皇山新站广场店）,,04353738999-9,
盛澜浴家庭宾馆,,04358265678,
佳兴时尚宾馆,,04357339911,
中兴快捷宾馆,,04353916098,
森茂宾馆,,04356191555,
经典时尚旅馆,,04354714222,
永乐园旅馆,,04356749123,
鹤茗源宾馆,,04356921185,
新罗时尚宾馆,,04356208999,
雅舒快捷宾馆,,04353625666,15765525084
鸿颖时尚宾馆,,04353473333,
滨江客房,,04356688260,
舒馨宾馆,,04356687766,
鑫慧招待所,,04353901567,
鼎集旅店,,04353298128,13943575538
鸿祥假日酒店,,04353309999,
金水洗浴按摩大本营客房,,04353198887,
通化万通大酒店,,04353906666,3537778
鸿万嘉时尚宾馆,,04358234488,15948946677
嘉临旅馆,,13298846930,
假日旅店,,04354335858,18643582552
金塘洗浴宾馆,,04353656800,
鸿圣喜利多休闲广场客房,,04353263888,
薇爱精品时尚宾馆,,04356979998,
春风商务宾馆,,04353713069,
云梦宫时尚宾馆,,04357221377,
帝豪宾馆,,04356235555,
天霖宾馆,,04356699888,
华联时尚宾馆,,04354698999,
新新时尚宾馆,,04354315777,
丰鑫园宾馆,,04355110555,
爱琴海格调宾馆,,04353213666,
通化汇丰大酒店,,04353663666,3663777
古楼时尚商务宾馆,,04354386661,
中兴快捷宾馆（玉皇山店）,,04353227749,
鑫鸿宾馆,,04353454999,3354888
昱都宾馆,,13843507898,
小馨公寓,,15143520447,
青年假日旅馆（通化）,,04356745518,
嘉韵商务宾馆,,04356913555,6913666
银河洗浴（新站路店）（客房部）,,04353556999,
威龙宾馆,,04353959888,
华尔祺商务宾馆,,04354317777,
百信宾馆,,04354368888,4369666
逆风草时尚宾馆,,04353929996,
阳光洗浴宾馆,,04358856677,15044564123
法利宾馆,,04355112977,13331450085
振国养生谷壹号庄园,,04355261555,
E+主题宾馆（滨江西路店）,,04353969001,
经开商务中心,,04356325886,
供销宾馆,,04352350888,
中吉商务宾馆,,04356238889,13040358808
海星苑大酒店,,04358286777,
金城旅店,,04355001360,15114359839
东方旅店,,04355225007,
国税招待所,,04353203333,
东山宾馆,,04355082505,5082506
天河宾馆,,04358258888,
鑫悦旅馆,,13943501229,
玛珥湖山庄,,04358863006,
天鸿健康时尚宾馆,,04355776666,
梅河口宾馆,,04354222825,
泓缘旅店,,04354811935,
万岁宾馆（一店）,,04355268899,
草原香羊山庄,,13943407888,
广汇快捷宾馆,,04358286678,
雅居时尚宾馆,,04356986669,
雅悦公寓,,17744403253,
恺威公寓,,13394356366,
康缘旅店,,13894580098,
多帮生态休闲认耕园,,13259220666,
吉祥商务酒店,,15843511515,
嘉居时尚旅店,,13732894488,
好运来旅馆,,04356228862,
嚎歌旅馆,,04356667771,
佟佳江宾馆,,04353916188,
星华时尚入住,,13843569471,
佳合招待所,,04353311717,
东林酒店,,15143584848,
国庆酒店,,04353927739,
花水木大酒店,,13943416789,
钰方元宾馆,,04353748777,
原琪时尚旅馆,,13844573769,
都来福大酒店,,13331453501,
顺意招待所,,13844524442,
凯威公寓,,04352777008,
高老庄农家院,,04358795888,
金利来洗浴宾馆,,04354661999,
鸿运来旅店,,04356987258,
康缘旅店,,15304352981,
天元旅店,,13944593495,
鸿源旅店,,04358225551,
嘉乐旅店,,15944552766,
