姓,名,家庭手机,工作手机
川人招待所,,18298621771,
顺江宾馆,,09387168686,
宜家招待所,,09383420363,
尚客莱宾馆,,09382582000,
福来客商务宾馆,,09388277598,
颐佳假日宾馆,,09382659888,
悦居精品酒店,,09382888866,
居家快捷宾馆,,15593828732,
鑫昌快捷宾馆,,09382729090,18693812773
天水滨河大酒店,,09386873777,
云上太空舱青年旅舍,,18093827711,
鸿泰快捷宾馆,,15025988312,15339381097
城季宾馆,,09382793322,17793851905
兰州饭店天水和谐园,,09382239030,
张川民族宾馆,,09387883888,
速8酒店（天水泰山北路店）,,09388319999,
锦江之星品尚（天水火车站金都商厦店）,,09382659899,
天嘉快捷酒店,,09384905888,4905999
天水东海快捷宾馆,,09388285226,
陇缘居客栈,,18418160006,
颐年宾馆,,09385828666,
天都宾馆,,09382618222,
塞古里青旅,,13150071960,18393817878
柒零壹青年旅舍,,18193843880,18709381919
麦积山农家小院,,09382231295,
桃花源假日酒店,,09386518699,6518619
鑫荣招待所,,13919552535,13689381679
有点远青年旅舍,,13893817770,
天泽宾馆,,09382696661,
金玉米农家小院,,09382231308,
知青山庄,,18293682715,
津福宾馆,,13893844966,13519385242
祥福快捷宾馆,,13893869616,13993870784
华威大酒店,,09388315555,
玲珑轩酒店,,17789488422,18919488326
松竹林农庄,,09382821298,18393982600
星益庄园,,15379888949,
世纪阳光酒店,,09386818188,
乐源商务宾馆,,09385622181,5938332
顺食天农庄（住宿部）,,18193812489,
麗枫酒店（天水甘谷冀城广场店）,,09385828888,13659381266
天水万达酒店,,09382658888,
新悦宾馆,,15379852019,
静园招待所,,13919676554,
昌宏源农家乐,,13830849068,
興嵘客栈,,18294350012,15809415916
桃缘农家乐,,18419018817,
文萍农家乐,,15809415055,
欣宇宾馆,,09383227699,13893892685
金成大酒店,,09386826666,
海洋庄园农家院,,18143718650,13993820306
建平快捷宾馆,,09386122223,
尚客优快捷酒店（天水甘谷滨河路店）,,09385938388,
石窟人家农家乐,,15336015482,
怡然农家乐,,13830870760,
丝路客栈,,18909386925,
全鑫宾馆,,09383282229,
碧云山庄,,09382258219,18294291098
明瑞农家乐,,15374480129,
金都快捷酒店,,09382821888,
翰林商务宾馆,,09388888598,13993807772
小梦想青年之家客栈,,09382091358,13993819386
柏悦酒店,,09385828988,
麦积山馨香园农家乐,,15294360118,18093809206
星辰宾馆,,13659386098,
如家快捷酒店（天水中心广场店）,,09388233333,
克强庄苑,,09382231036,18393360327
飞天文华酒店,,09386559888,
天水伊景苑饭店,,09382582888,
忻悦农家乐,,17793802819,
天丽山庄农家院,,17793838818,
潘家园农家乐,,13679385886,
恒源顺农家乐,,18794680013,
麦积山雪梅农家乐,,18706936500,
玉泉宾馆,,09388278858,
逍遥农家乐,,13993831530,18894200704
迦南旅店,,13993872327,
佳园宾馆（莲亭路店）,,09388232918,
金麦穗宾馆,,09386559333,6551333
锦江之星（天水春风路店）,,09384987999,
成羲农家乐,,15009383183,
画布居青年客栈,,17752224223,
世纪宾馆,,09388689333,
沁园快捷宾馆（社棠店）,,18193865588,
瑞天商务宾馆,,09388888666,
沁园快捷宾馆（桥南店）,,18093898882,
缘来农家乐,,18209480095,
诚信快捷宾馆,,09387152616,
天水嘉孚酒店,,09388239000,
乾元酒店,,09388520000,18794147827
天水财富阳光酒店,,09388885588,8884755
少陵宾馆,,09388213088,
旭霞农家乐,,18793861886,
明信时代公寓宾馆,,09388327666,
海云轩农家院,,15193875828,
乡约农家乐,,15379894603,18153945488
聚福园农家乐,,15378889439,
同福快捷宾馆,,09388361322,13369389432
盛伟商务宾馆,,09385981111,
昕立酒店,,09383527511,13893819908
书香苑宾馆,,13399383329,
玉泉体育训练基地宾馆,,09387400400,
怡轩旅店,,13830809514,
恒盛主题宾馆,,09385828555,
家园招待所,,15193825398,
晓园山庄,,09386581666,
金辰快捷宾馆,,09382737189,
天水华天快捷宾馆,,09386837222,
天瑞商务宾馆（建设路店）,,09388310222,
鸿辉宾馆,,09386866588,
小红农家乐,,18393399450,13830877620
天水人家家庭宾馆,,13893890868,
紫薇宾馆,,09386817696,
中滩商务宾馆,,09382851839,
永和旅社,,09388299492,
飞天美居酒店,,09388273888,8273999
景庭商务宾馆,,09388328088,
麦积山小菜农家乐,,13993866621,18093897836
舒心阁农家乐,,15379867319,
和顺庄园,,13909383320,13830831483
秦融宾馆,,09386522488,6522448
蓉庭美居酒店,,09388884455,
东安饭店,,09382623388,2613333
天水麦积山温泉旅游酒店,,09382978888,
速8酒店,,09388885222,8885688
东方宾馆（陇昌路店）,,09382733333,
天水丝绸之路生态酒店,,09382819999,
腾飞招待所,,09384968488,13830823018
天水宾馆,,09388615555,
天水华天电子宾馆,,09388631866,4906000
幻彩旅馆,,15293830808,
新旅宾馆,,09388279646,15101974296
summer驿站,,13993869027,
军军农家乐,,18793821562,
海霞农家乐,,15394061578,13830885042
地税大厦,,09388226661,8226660
洛门宾馆,,09383227668,
金穗招待所,,13639387601,
麦积山休闲度假村酒店,,09382231588,15193888666
龙园快捷宾馆,,09382729333,
陇林饭店,,09382722029,
天水索菲特商务宾馆,,09388888058,
马家店商务宾馆,,09388885655,18209382368
亨通宾馆,,09388221026,
少陵招待所,,09388365966,
天水悦豪精品酒店,,09388311888,
电信招待所,,09382612535,
黄龙招待所,,09382725772,
天水正航商务酒店,,09384920777,
甘肃电器科学研究院培训中心,,09388236060,8236341
福地农家乐,,13639385183,
华唐宾馆,,09385689999,
凯华商务宾馆,,09386515448,
闽台商务酒店,,09382898555,2829532
益达招待所,,18093854682,
邮政宾馆,,09388298866,8292822
云麓宾馆,,09388277027,13689417298
