姓,名,家庭手机,工作手机
佑客楼度假山庄,,18085618050,13985867158
扬帆大酒店,,08566958999,
江城招待所,,08565220138,17708563239
悦来客栈,,13398562679,15185930919
新贵商务宾馆,,08565201648,
昊霖商务酒店,,08568811777,
红昇公寓,,08568145542,
幕尚影视主题宾馆,,08568125123,
诚信宾馆,,15985618894,13595624163
蓝波湾宾馆,,08568146409,
松桃松苑宾馆,,13885639917,
蓝波湾江景公寓,,08565222668,
鑫玉宾馆,,15597929493,
江口金鼎时尚酒店,,08566628878,
鼎盛商务宾馆,,08566730222,18185694888
谢桥酒店,,08563237399,18085675700
渝怀逸品酒店,,08563910777,
江口梵净山万豪宾馆,,13721578121,15121602363
蓝波湾二八宾馆,,08565233311,
凉水井宾馆,,08565283128,
楚鑫时尚酒店,,08568128555,
丽江商务宾馆,,15086283006,
尊客商务酒店,,08566956111,
大博金商务酒店,,08566929228,
温州酒店（松桃店）,,08564195888,15881043725
君航酒店,,08566968666,
铜仁帝豪客栈,,08566903366,18585980285
华都商务宾馆,,08565211516,
松桃金港湾商务宾馆,,15008568111,
杭州商务酒店,,08566920319,
益利宾馆,,15086264196,
世家商务酒店,,08566910111,
印象商务酒店,,08566933555,15685661888
如家快捷酒店（铜仁清水大道小十字步行街店）,,08565229777,15519259955
富华商务宾馆,,08563960188,
鸟巢商务酒店,,08567650999,15685656366
鸳鸯假日酒店,,18185646657,
江口县梵净山如家客栈,,15117721469,18385957149
伯爵酒店,,08563920000,
麓鑫公寓,,08566627077,
药监宾馆,,08567621369,
浙江大酒店,,08567238222,
华夏酒店（大小十字步行街店）,,08566976666,
和天大酒店,,08566829588,15186000356
老兵部落宾馆,,13595610477,
八一宾馆,,08566958181,
南长城国际大酒店,,08565938666,5938899
温泉时光客栈,,18385893487,13410494011
鑫逸商务宾馆,,08566929388,
梵天酒家,,18985868513,
天龙商务酒店,,08566921123,13765609047
景腾大酒店,,08566926567,
铜仁帝亚豪斯商务酒店,,08565234888,
雀巢之旅酒店,,08568125633,
铜北川宾馆,,08565260788,15885182921
久龙精品酒店（思南店）,,08567232888,7238999
福源酒店,,08565257088,
地中海主题宾馆,,08562330000,
家园公寓,,18685469880,
南景3D宾馆,,08562358566,18185602699
南景3D宾馆,,08562358566,18185602699
铜仁后岸精致酒店,,08565201314,15885181787
久龙精品酒店（石阡店）,,08566931333,
百里画廊酒店,,08568653333,
美高美酒店,,08566911158,
华莉宾馆,,13595675589,13765604022
职院商务宾馆,,18085628398,
盛世佳华酒店,,08566903888,6903666
贵州铜仁锦江之星酒店有限公司,,08568147781,
华苑宾馆,,13789185096,
铜仁国宾馆,,08568988888,
鑫欣宾馆,,13708565459,15185947224
金丝楠山庄,,15185985096,
卫星超级酒店,,08562376228,
至尊逸豪酒店,,08566969888,
中天宾馆,,08566223392,
城市便捷酒店（铜仁火车站店）,,08568021777,18408569263
新时代主题宾馆,,08565262678,18722921899
晶鑫宾馆,,15338566831,15117714836
汉华商务酒店,,08565629777,13885689966
梵净山迎曦山庄乡村客栈,,15186003583,
供水大酒店,,08565752333,18885415811
7天连锁酒店（江口梵净山国家公园店）,,08566830777,
小森林青年旅舍,,15688065606,
金桥商务宾馆,,08565227778,
城南古泉酒店,,08567650666,15121605028
万山红大酒店,,08563528888,15881197150
梵净山杜鹃山庄乡村客栈,,13985864375,13983852065
三毛的家客栈,,18688837981,
舒芯屋宾馆,,08567159678,18085603039
睡佛宾馆,,08566720166,15286713450
双龙宾馆,,13595607482,15885163520
同辉宾馆,,08565209939,17785679939
九瑞国际酒店,,08566761999,
铜仁锦江温泉宾馆,,08565931002,5931105
金盛宾馆,,08567462818,15286735326
梵净山金山角度假山庄,,08564196766,
安华酒店,,08567227866,
铜仁云芝宾馆,,08568131567,
城南招待所,,15885781681,18785619751
鑫城宾馆,,08562688996,15286701620
锦云阁宾馆,,18385859387,
黔旅商务酒店,,13595602287,
东方宾馆,,15285440188,
林苑宾馆,,13765643939,
怡馨宾馆,,08566906688,
红树林度假酒店,,15086283328,
名豪山庄,,15121666523,
后岸铂悦酒店（A店）,,08565241588,
顺风大酒店,,08568525777,
白鹭洲国际大酒店,,08566988888,
颐馨宾馆,,13618565324,
7+1商务宾馆,,08566925718,18311857626
广场宾馆,,08567650948,
芳林宾馆,,08562348428,13378563921
金鼎商务宾馆,,08566926362,
梵净山飞跃农庄,,18985336947,
梵江避暑苑,,18744885559,18385927391
寨沙侗寨桃园山庄,,17678963836,18722934474
净心雅苑,,18785603886,
福安宾馆,,08566767251,
武源山庄,,15185967752,
凤凰宾馆,,18886389814,
石阡国际大酒店,,08563916999-9999,
仁杰大酒店,,08566732555,
沸腾宾馆,,15985644040,
梵净农庄,,08566720018,13984101219
锦鸿商务宾馆,,08565257771,5257772
168宾馆,,08565757157,5757158
6+1宾馆,,08565757076,17785299685
玫瑰园洒店,,08566922196,13595665233
山里居农庄,,18608566705,
梵净山招待所,,13638568364,
梵净山青年客栈,,15185933699,
海通招待所,,15185936576,
武陵山大酒店,,08566978999,
馨怡商务宾馆,,08566468009,
老表宾馆,,13049567603,
有福客栈,,08566831118,13310469068
鑫悦酒店,,08566769088,18984676688
宜家宾馆,,08566825288,18985349898
月台主题酒店,,08568147974,18188161854
捌间房客栈,,08562343118,
鑫润鑫酒店,,08566923501,18285621121
米兰主题酒店,,08563916789,
凤德客栈,,15121612530,18285697747
皇家宾馆,,08568147172,
夷州小城宾馆,,08564180788,
清阳宾馆,,15185992327,
瑞丰酒店,,08567655581,
一品商务酒店,,08567225519,
紫苑精品小宾馆,,15008561812,
河鱼土鸡馆客栈,,13885651623,
鸿福商务酒店,,13312459000,
怡馨宾馆,,15329950173,
幸福山庄,,15286442232,
朱砂大酒店,,08563529999,
华星客栈,,15286433211,
港定宾馆,,13885663909,
天天商务酒店,,15086264196,
鸿鑫宾馆,,08565326866,
梵净山宝格利寨沙侗寨民宿酒店,,18285640891,13086926555
铜仁江口佳源宾馆,,18385893127,
星期天连锁酒店,,08568819888,
博宇宾馆,,08567932777,13595659858
八一宾馆,,08568127770,17785672125
松源商务宾馆,,08562830008,
梵净缘客栈,,18385884865,
华园宾馆,,18185618961,18188168566
杰欣宾馆,,13765698225,
华天大酒店,,08562620778,18911969206
雅居宾馆,,15329959709,
永兴商务宾馆,,08565267567,18085612618
河缘山庄民宿,,18083243296,18311742943
元亨大酒店,,08566936111,
水云间客栈,,18744876896,
民族宾馆,,08566626118,18390513722
钟姐农家住宿,,13312455574,
友谊宾馆,,15870249848,
佳缘宾馆,,18285696820,18386017595
白天鹅宾馆,,08566915188,
村尚农家,,15117712085,13595602015
都市酒店,,08566820333,18085606372
珍璀宾馆,,18744854998,
丽珠宾馆,,08567150500,
山水鱼庄,,13765600080,
安巢主题酒店,,08566911111,
俊逸宾馆,,15121687862,
时光小筑酒店,,08568986888,18185699699
天益酒店,,08563238678,
香源宾馆,,18785621564,15086297851
沂江源宾馆,,13221966780,
友间宾馆,,15086288397,
福鑫酒店,,08563940555,
天和商务宾馆,,08566932999,
书香名苑精品酒店,,08566978888,6978788
川渝宾馆,,08565206181,
梵净山天福大酒店,,08566829692,
铜仁归然居宾馆,,15985620051,
都市酒店,,08563320288,
鑫發宾馆,,18285693469,
玉屏黔东宾馆,,08566950999,
梵净山梦幻江边净心客栈,,13482436625,
梵净山光头强山庄,,13638120027,
玉屏鸿福宾馆,,15185888357,
华美宾馆,,08568533988,
新东江宾馆,,15286435892,
鑫诚宾馆,,18108561827,
梵净山富邦宾馆,,18285692888,
松桃天豪宾馆,,08562349887,
聚贤山庄,,13721570577,
瑞景精品酒店,,08565282681,15286718688
洪帝宾馆,,18885654898,
金猴山庄,,18785697955,
润丰酒店,,08566937999,
鑫雨宾馆,,08566920099,
睿源宾馆,,15985637265,
金李宾馆,,08565203668,
御都大酒店,,08568832999,
世特豪斯（东太大道店）,,08565650000,
悦华主题宾馆,,18311858752,18083238752
博豪宾馆,,08568810110,
七日阳光酒店,,08566223330,
龙腾大酒店,,08567931777,
沁园宾馆,,13885676576,
名都宾馆,,08567156866,13885676286
石阡温泉度假酒店,,08563928999,3930088
鸿运宾馆,,18385938712,
帝鑫宾馆,,15985630369,
祥萍酒店,,08567620224,
皇家驿站商务酒店,,08568060006,
阳光商务宾馆,,08566900133,
驿路港湾酒店,,13638116900,13688565673
清秋宾馆,,13658561496,
院子客栈,,08566622389,
宏福宾馆,,15688018123,
7喜酒店,,08566948777,
好心情宾馆,,15329267118,
梵净山天龙宾馆,,13638569895,
曹妹山庄,,18085699914,
梵净山农江山庄,,18722996200,
