姓,名,家庭手机,工作手机
港都商务宾馆,,07595587668,5587666
华城大酒店,,07595933188,
吉兆湾渔民村酒店,,07595131178,
福泉商务酒店,,07595921688,5921388
浩英酒店,,07595927999,
城市便捷酒店（湛江吴川店）,,07595588658,
吴川宽厚文化酒店,,07595939888,
喜尔顺假日酒店,,07595939999,
吴川鼎龙湾酒店,,07598203888,
圣意酒店,,07595112233,
万和假日酒店,,07595838888,
吴川星桥国际酒店,,07595323333,
吉龙湾酒店,,07595132299,18933766282
吴川帝豪酒店,,07595117777,
裕达酒店,,07595188888,
金海悦大酒店,,07595118888,
海滨卡威达酒店,,07595219999,5333088
天佑商务酒店,,07595307888,
威斯登大酒店,,07595332888,
贵佳商务酒店,,07595307666,
和兴大酒店,,07595119999,
国都商务酒店,,07595331888,
喜悦酒店,,07595766888,
维多利亚酒店,,07595335888,
金汇酒店,,07595239999,5233333
新东方商务大酒店,,07595926688,
广通酒店,,07595582211,
潮州大厦,,07595216666,
六景台花园酒店,,07595813999,5813666
三得商务酒店,,07595991188,
月牙湾酒店,,07595130388,
半岛酒店,,07595116666,
海景一城酒店,,07595588888,
裕康度假村,,07595133388,
新时旅店,,07595301517,
裕兴旅馆,,07595581668,
富源大厦,,07595583888,
四季阳光酒店,,07595216666,
福源大厦客房中心,,07595924888,
川汇商务国际酒店,,07595935888,
维纳斯酒店,,07595933888,
银海酒店,,07595323888,5333600
时尚八喜连锁酒店,,07595929999,5922888
广源大厦金豪商务酒店,,07595558558,5555550
红馆商务酒店,,07595332222,
华侨宾馆,,07595933628,
京华大酒店,,07596518666,
同禾大厦,,07595582888,18922078163
八喜商务连锁酒店,,07595928888,5921888
港天商务酒店,,07595585666,
福海大酒店,,07595562222,
湛杨渔民山庄,,07595110028,5110078
华宇酒店,,07595921188,5575389
海发宾馆,,07595998888,
圣子商务公寓,,07595922333,
明苑酒店,,07595113333,
汇景湾度假村,,07595131008,
鹏泰酒店,,07595306898,
鸿宝丰酒店,,07595999928,
花园大酒店,,07595997888,5991550
泮海度假村,,07595130999,
香港度假村,,07595130443,
丽都大酒店,,07595933366,
府迎宾馆,,07595580108,
吴川店,,07595939888,
金源宾馆,,07595555313,
瑞湖宾馆,,07595587666,
吴川市一三八商务酒店,,07595586138,5586188
海景酒店,,07595808082,
金泉大酒店,,07595195716,5236353
海滨招待所,,07595555798,
农业招待所,,07595613956,
梅江宾馆,,07595613093,
南园宾馆,,07595568599,
竹园宾馆,,07595808222,
椰林度假村,,07595130678,
居乐村度假村,,07595130938,
粤海山庄,,07595111111,
海腾阁,,07595556609,
碧海度假村,,07595130283,
听涛居度假村,,07595130228,
海蓝渡假村,,07595131181,
鸿运度假村,,07595130838,
中吉度假村,,07595130188,
金岛度假村,,07595589188,
富仕大厦旅业,,07595570870,
汇丰大酒店,,07595580190,
夏威夷度假村,,07595133333,
广胜大厦,,18933772319,
新辉煌酒店,,07595557888,5582188
雅涛度假村,,07595133308,
南洋度假村,,07595131188,
宏基宾馆,,07595582700,
吉之岛度假村,,07595131128,
金海宾馆,,07595307777,
陶然度假村,,07595130168,
金山旅业,,07595923688,
168海景酒店,,07595131168,
兴业大厦,,07595223388,
金世纪旅业部,,07595998899,
星辰阁度假村,,07595130323,
怡景度假村,,07595130735,
