姓,名,家庭手机,工作手机
武当风味轩,,15387268722,
巴马休闲养生会所,,13581372808,13872844441
永辉宾馆,,18163195289,13581374432
武当山荣幸宾馆,,07195668769,13971923164
武当山鑫宁商务宾馆,,07195658066,
香山丽景酒店,,07195078111,15997278683
九龙山庄,,07195689176,
武当峡谷幽幽小客栈,,07195611111,13593740789
剑庄客栈（景区内店）,,15377269204,
武当山武当青年客栈,,15997821889,
温馨客栈,,15571420182,
缘来客栈,,13197277662,
林贸宾馆,,07195666488,
武当山平安宾馆,,07195667180,
武当山佳乐商务宾馆,,07195658666,
太和人家,,15271444899,
原汁原味特色农庄,,07195689838,
悦来客栈,,15872745638,
光喜农家客栈,,13872774469,13636237378
武当君悦山荘,,07195652729,
幸福酒店,,15872705615,
土菜馆旅馆,,13677192831,
武当山七星山庄,,13197248811,
武当山居家宾馆,,07195661683,
玄丰旅馆,,18272330622,
宜家宾馆（武当山太和中路店）,,07195706777,13317292390
有间客栈,,13872812353,15972562353
康宁之居,,07195663329,
青山居养生苑,,18772856728,
聚龙乡土人家,,07195661628,15771099998
武当山林海商务宾馆,,07195710999,13135728700
丹江口武当中银假日酒店,,07195662888,
国宾大酒店,,07195658598,5061888
天宜假日酒店,,07195658588,
武当山汇豪酒店,,07195666318,
武当山泰和山庄,,13687200756,
南尊商务宾馆,,07195661366,18772231413
雅典大酒店,,07195666677,5652840
武当山宜家宾馆（民营街店）,,13317292390,
永盛宾馆,,07195661398,
武当山仙山旅馆（景区内店）,,13135718169,15697198167
武当山天新大酒店（南岩乌鸦岭店）,,07195689136,18772847262
善水客栈,,07195662600,
新宾馆,,13397289648,
永兴宾馆,,07195660958,
丽景商务宾馆,,07195668844,5669797
武当山同福客栈,,13636232222,
乔家院宾馆,,07195658222,
武当道舍客栈,,07195663633,
大众宾馆（太河东路店）,,15997819401,
武当探路者道家客栈,,07195667310,15549996127
武当山武当印象大酒店,,07195653666,
福地农庄,,13581367195,
金山丽水宾馆,,07195663168,
五悦景区连锁酒店（武当山店）,,07195665888,
武当山宗铭苑宾馆,,07195689618,
玄岳饭店,,07195663222,15897849776
祥和山庄,,07195689018,
金街假日酒店,,07195666689,
太和养生院酒店,,07195076988,18372624891
武当山家庭旅馆,,15697192676,
姊妹花快捷酒店（武当山店）,,07195653222,15997822678
德顺客栈（武当山七星树店）,,15872745638,
鸿泰客栈（原神七农家饭庄）,,13807281048,
武当道客青年旅舍,,13387135281,
范家别院（武当山七星树店）,,13886803103,
好再来农家,,13733589046,15897888409
武当山范氏农家乐,,13135718675,
神龙酒店,,13986906871,
冬梅酒店,,15071616047,
山水间客栈,,13217192228,
武当招待所,,13872843212,
武当大酒店,,07195688581,
君悦商务宾馆,,07195903666,5668558
武当山真武大酒店,,07195689777,
小武当农家院,,18986891697,
仙都宾馆,,07195665434,
武当山天保九如宾馆,,07195660908,5661537
武当山太子坡仙缘农家小院,,13636195100,13235667250
武当山蓝天商务宾馆,,07195663333,
太极客栈,,13636260588,
刘记客栈,,13986878172,
道缘客栈（七星树店）,,13197295313,
黄树发客栈,,15697198167,
九龙鼎青年旅舍,,13635707682,15068718095
名山住宿,,13329853700,18771637752
灵山居民宿,,13367195752,
青林宾馆,,07195667789,13197265065
七星野菜馆客房,,13581367105,
十堰武当山永乐宾馆,,15897827778,
凯旋电力大酒店,,07195076688,
