姓,名,家庭手机,工作手机
自由天堂之威廉古堡,,18827336739,
武汉汉城故事青年旅舍,,13163287834,
广缘公寓,,18702772990,13995854418
东湖印象青年旅舍,,02788128698,
吉家旅馆,,13971646986,
阿凡达太空舱青年旅社,,17771795378,
橙果创意太空舱青年旅社（万达楚河汉街店）,,13164665406,
新浪潮公寓,,13995520135,
happy时光酒店公寓,,15391517990,
泰安快捷宾馆,,15337274345,
大自然宾馆,,02761504288,
宏林旅馆,,13007109987,
安顺旅馆,,18071127807,
骄子客栈,,02783863266,
佳恒旅馆,,17764066806,15827406258
丽姐公寓,,13638696205,
学子之家客栈（湖北大学店）,,15907164056,
好美家青年公寓,,17762517126,
武汉安华酒店,,02788308888,
鑫都宾馆,,13163242269,
爱家爱情公寓,,15807157280,
龙飞招待所,,02783739023,
美丽园招待所,,15171437969,
阳光大学生公寓,,13035122481,
光谷米兰青年公寓,,13545907536,
中兴旅社,,02785327249,
家南公寓,,18008636319,
盛博公寓（一店）,,15387119085,
流年青年旅社,,15907199772,
豪雅旅馆,,13581354465,
宜乐居公寓,,18162316820,15207188346
中国网约共享住宿,,15972069011,
添星宾馆,,02788616776,
金涛鸿欣雨宾馆,,13638694985,
月月红住宿,,13554398700,
洋洋宾馆,,15972057210,
以梦为马青年旅舍,,15926494711,
汉口火车站福景宾馆,,17720569139,
知乎青年空间公寓,,15527078782,
工大青年公寓,,13971618436,
起源公寓,,15172370163,
华庭时代酒店（七雄路店）,,02783381888,
洁心诚客栈,,13545227272,
和平招待所（司门口店）,,18986138595,15926269338
武汉高铁玉和公寓（武汉火车站店）,,13387515167,
天佳招待所,,15337271705,
武汉路飞国际青年旅舍（光谷步行街店）,,17002757000,
苹果公寓,,17702710739,
果然快捷酒店,,02759598152,
順鑫旅馆,,15827262392,
卡迪亚别墅33号公寓,,13871595658,
诚鑫旅馆,,18916914003,18916975351
大城小宾馆,,15926876217,
速7快捷宾馆（仁和路店）,,13627287300,13986134616
珺珺公寓,,18071106936,
阳光青年公寓,,15717165158,
JOJO家庭公寓,,15171413379,
圆梦学生公寓,,13667265606,
豪青酒店公寓,,15071144983,
精致公寓酒店,,13638654201,
光谷达内青年公寓,,02765022365,
雀友旅馆,,02783901773,
爱我家公寓,,18827396201,
安心青年旅舍（付家坡店）,,13667137089,
肖怡公寓,,13657248493,
红润来时尚旅店,,02785882793,
大唐宾馆,,18186159232,
洪鑫公寓（丁字桥南路理工大）,,18872867889,17764065476
988宾馆,,02783309279,
莫泰168酒店公寓（武汉站店）,,15971444377,
武汉湖滨客舍,,02788166666,88399999
缘来公寓,,13212743679,18627018215
6+1旅馆,,02782796986,
天宜宾馆,,02759260687,
铜人像旅馆,,02785895266,13647218113
归家旅馆,,13659813068,
星七酒店式公寓（湖北大学店）,,18372803231,
天天公寓,,15102729306,
航海招待所,,02751868314,
陈阿姨青年旅舍,,18971160103,
洪鑫旅馆,,13207136660,
红乐园旅馆,,02783445918,15207139886
发展平价公寓旅馆,,13659824380,
武鑫迎宾馆,,02787212221,
秦园假日公寓,,02786829388,13986048210
高铁锦绣缘公寓,,18186136995,
唐宴酒店,,02781781890,
武汉美辰悦尚精品酒店,,02751222222,
舒畅住宿,,13212738997,
人和公寓,,15377006086,
滨海招待所,,18971268728,
顺鑫旅馆,,13971336042,
文安招待所（洪达巷）,,02787382765,
新世纪宾馆,,13797792922,
成熙客栈,,15927486626,
鑫展时尚旅馆,,18995530505,
好运时尚旅馆,,02788616398,
天梨豪园姐妹公馆,,13871245677,
东方公寓,,13871553297,
锦辉旅馆,,02783888196,
鑫宇宾馆,,18827387616,
江城旅馆,,02784755288,
起航求职公寓,,13545352555,
鑫鑫公寓,,13638698589,
鑫东方宾馆,,18971309448,
常福来旅馆,,15377612901,
名仕快捷旅馆,,02782651187,
好运住宿,,15172310732,
凯盛龙逸酒店,,02761681688,61681588
安泰分时酒店,,02783829288,
中环宾馆（民族大道店）,,02787776099,
馨居公寓,,18502713698,
心如傢宾馆,,15827376030,
缘梦住宿,,13971869329,
千升大酒店,,02787130881,87130997
古驿旅馆,,15207188355,
尚之捷商务宾馆,,02788222556,
武汉陌上花开青年旅舍,,02786969601,18971269263
星7公寓,,15927652256,15927509653
捷顺商务酒店,,02784665666,
江夏印象文化主题酒店,,02781800878,
骑士青年旅舍,,18627210229,
旅行纪青年旅舍,,17720568896,
佳佳招待所,,13638613029,
华荣旅馆,,13477711321,17771461745
鸿运住宿,,15337271825,
v8汽车旅馆,,18007138639,
武汉尚缘公寓,,15527870348,
鑫成欣旅馆,,15827171356,
澄果创意青年旅舍（江汉路万达店）,,13237174020,
筑梦者太空舱酒店,,02788779833,18995609688
小耳朵青年旅舍（黄鹤楼户部巷店）,,15927694949,
左岸青旅（武汉大学店）,,15071437659,
金华公寓（2号店）,,13871319750,
居家住宿,,15827238160,13667247123
泽福公寓,,13659855072,
国创楚源酒店,,02765686666,
圆梦公寓（同济店）,,18062586802,
遇见你主题公寓,,13429825839,15927207015
良宿青年旅舍（武汉鲁巷光谷店）,,17720551917,
万兴旅社,,02788024455,
捷峰商务旅馆,,15827317201,
鑫鹏时尚旅馆,,13451199373,
橙子水晶连锁酒店（汉口火车站店）,,02785728777,
太阳雨青年旅舍,,13036141323,
忘不了青年旅舍,,13971557982,
金怡快捷酒店（汉口火车站店）,,15802774350,13163389790
天天家商务宾馆,,02788089511,
向阳住宿,,13429845348,
梦想车站公寓,,15997454558,
和平住宿农家乐,,15927266287,
凹凸宾馆,,13554652081,
春天旅馆,,13349962698,
顺鑫商务宾馆,,02788515381,13135757186
伴之旅城市旅馆,,13971076418,
楚材旅馆,,18271168359,13997922319
温鑫住宿,,15827335650,
老乡长宾馆,,13886063102,
火车站酒店公寓,,18995657893,
龙湾贵宾商务酒店（复江道店）,,02787936909,
迷你公寓,,13476282258,13277978980
8090青年公寓,,18672972169,
吉鑫出租屋,,15827648530,
锦兴公寓,,13545132207,
情之韵住宿,,18986286970,
速龙旅馆,,15342351827,
鑫帝公寓（火车站店）,,15623558458,
鸿泰时尚宾馆,,02783885548,
博汇精品酒店（武汉高铁站店）,,02786338399,86337299
窝窝青年主题客栈,,18694032215,
光谷朝阳青年旅舍,,02765022365,
康桥青年公寓,,15327120697,
圆梦阁宾馆,,13554639085,
龙在天时尚宾馆,,02761805198,
艾仕丽宾馆（纸坊店）,,02781815959,
七雄宾馆,,02783217776,
舒雅宾馆（航空小路店）,,02783627798,
江南公寓,,13437273958,
武汉公民花园酒店 （客房部）,,02783211011,
瀚庭快捷酒店,,13886068034,18062158312
友缘公寓,,18771138160,
阳光商务旅馆,,02786581710,
天天平价公寓,,13886068034,18062158312
帝缘时尚旅馆,,02765667365,13986224089
七家快捷酒店,,02751858866,
聚隆宾馆,,02787859788,
馨梦宾馆,,02785840292,
武汉中南花园饭店,,02767817678,67817698
嘉州宾馆,,02782812143,18064009156
绿之源商务宾馆（十二支沟店）,,02783098711,
龙和宾馆,,15271947315,
缤果创意青年旅舍,,15072480245,
晒湖小窝,,13797323785,
ing住宿,,18108617166,
宏宇宾馆（汉口火车站店）,,02783938026,
佳宇宾馆,,18202737980,15927313570
鸿圣宾馆,,02783838508,
青途旅行家民宿（光谷店）,,18672398687,
比家美招待所,,18971661360,
武汉天宏公寓,,18120557758,
金霖住宿,,13016466820,
豪仕宾馆（武胜路凯德广场店）,,02783789088,
海怡之星时尚酒店（石牌岭店）,,02787157008,
鑫如嘉商务宾馆（武汉站店）,,15072378566,13808697755
隆馨时尚旅店,,02782866811,13545214988
尚客精品酒店公寓（武汉站店）,,15972978404,13071277595
锦鑫旅馆,,15927689996,
温馨酒店式公寓（湖北大学店）,,02788043498,15392968289
鑫园旅馆（三眼桥地铁站店）,,15337222341,13260673610
鑫利住宿,,13545888931,15327211736
广源旅馆,,15997425539,
回家宾馆,,15926251717,
港湾宾馆,,02788166809,
818商务宾馆,,02788153778,
东花快捷宾馆,,02783222206,13407133176
君泰快捷旅馆,,02788324007,18672988133
武汉喜瑞得大酒店,,02784256666,
平价旅馆,,13545047390,13554172557
古道住宿,,18064068288,
爱情公寓（湖北二师店）,,18907153075,
鸿飞旅馆,,18086487512,
武建商务旅馆,,02788220027,
威斯商务宾馆,,02783083833,
角落青年主题宾馆（地大店）,,15102774540,
江华园旅馆,,02783628311,
欣家宾馆,,02786888069,
记忆旅行主题宾馆（武汉站）,,18971313770,
刘三姐客栈,,13476032103,
艾菲公寓,,13007140289,
华坤城市酒店（七雄路店）,,02783388366,
速8酒店（武汉扬子江青山店）,,02768865888,
爱情公寓（汉口火车站店）,,15827276989,
佳缘住宿,,13429813772,13667139276
高铁聚缘旅馆（二店）,,13407189500,
军涛公寓,,13329721304,
天缘宾馆（张之洞路店）,,02788326977,18502742668
欣怡佳宾馆,,13871439113,
速8时尚宾馆（湖北大学店）,,18827060098,
名丰宾馆,,02783789199,18627135699
家梦住宿,,15827377254,
锦都招待所,,13720231133,
佳缘公寓,,13429896500,
银湖时尚酒店,,02783083677,
青奥酒店式公寓（中南路洪山广场店）,,13163254638,
仁梦宾馆（台东路店）,,02785700199,
幸福阳光商务酒店,,02788082616,88083979
颐馨宾馆（二店）,,13072798722,13458201114
发展公寓酒店（汉口火车站店）,,15071204366,
爱尚家连锁酒店（武汉白玉山店）,,02786681077,
星鑫宾馆,,15172493588,
喜明乐艺术酒店（首义广场店）,,02786750500,17702763556
幸运星宾馆,,02788077829,
金涛鸿飞杨宾馆,,13037140730,
千秋客房,,18971363538,
天天住宿,,15327376873,
汉庭快捷酒店公寓（武汉站店）,,17771436976,
惠苑酒店（首义路地铁站店）,,02788318666,
爱格精品酒店（武昌火车站店）,,02767845151,
城市便捷酒店（东西湖大道店）,,02783387668,
山水宾馆,,15071035630,
鑫京鹏商务宾馆,,02750708690,
武汉东湖大厦,,02767813999,
爱琴公寓,,18771138348,
白合园商务旅馆,,02788100816,
凯邦快捷宾馆（黄家湖店）,,02788136368,
武汉森泰中洋酒店,,02788061632,88050185
鸿福住宿（中南路洪山广场店）,,13871061589,
佰利德快捷爱心酒店,,02768771877,
金雅源商务宾馆,,02788737358,
万达九号公寓,,02788107270,400027-9109
6+1主题酒店公寓（武汉站店）,,13971126737,
双赢宾馆,,13476163766,
安星丽雅酒店,,02750803330,
不想走客栈（昙华林户部巷中心旗舰店）,,17002755501,
明明旅社,,18507137265,
君悦宾馆,,18986060269,
九思堂宾馆,,02782942781,15997457995
东航旅馆,,02782785021,13207101078
晶灿商务宾馆,,02783068098,18163539837
千寻主题宾馆,,02786671198,
好来屋主题酒店,,02759886009,
雅斯特酒店PLUS（武汉省博物馆店）,,02786711888,
武汉如佳公寓（湖北大学店）,,18942905320,
沁雅公寓,,15927113619,
君之家宾馆,,02785688355,
华坤全国连锁宾馆总店,,02783256746,
简爱主题酒店（藏龙岛湖经店）,,02786633521,400151-3521
天馨馨商务酒店,,02783219018,
吴先生公寓,,15071053543,
周末假日酒店,,02787781120,17740543116
百合主题酒店（汉口火车站店）,,15994295572,15527856124
鑫源宾馆,,02785323318,
优居连锁酒店（小东门店）,,02788860966,
百福商务公寓（尖东智能花园店）,,02787528186,18064005583
